Date,Time,Open,High,Low,Close,Volume
20031202,00:00:00,79.592,79.912,79.271,79.390,418295999370
20031203,00:00:00,79.369,79.820,79.247,79.750,416104100120
20031204,00:00:00,79.784,79.823,79.230,79.520,405309100160
20031205,00:00:00,79.531,79.677,79.104,79.241,395366099990
20031208,00:00:00,79.300,79.692,79.021,79.454,398405899910
20031209,00:00:00,79.444,79.655,79.052,79.377,411650999880
20031210,00:00:00,79.418,80.252,79.141,80.139,406466399890
20031211,00:00:00,80.168,80.236,79.356,79.822,418011300280
20031212,00:00:00,79.858,80.111,79.682,79.970,405715499810
20031215,00:00:00,79.854,80.110,79.606,80.018,414135600330
20031216,00:00:00,80.010,80.179,79.741,79.844,415643100150
20031217,00:00:00,79.844,79.950,78.978,79.326,417647300270
20031218,00:00:00,79.321,79.846,79.056,79.642,417901100040
20031219,00:00:00,79.657,79.750,79.174,79.278,412331400710
20031222,00:00:00,79.309,79.455,78.645,78.849,337250699870
20031223,00:00:00,78.853,79.129,78.693,79.090,419500700300
20031224,00:00:00,79.097,79.725,79.041,79.522,418865799610
20031225,00:00:00,79.541,79.670,79.289,79.499,381105900460
20031226,00:00:00,79.491,79.707,79.312,79.663,398656299880
20031229,00:00:00,79.565,79.670,79.239,79.600,411060799840
20031230,00:00:00,79.578,80.178,79.397,80.024,418128299750
20031231,00:00:00,80.086,80.841,79.214,80.491,417032100220
20040101,00:00:00,80.495,80.850,80.100,80.632,320459400350
20040102,00:00:00,80.746,81.183,80.130,81.080,413174099210
20040105,00:00:00,80.998,82.100,80.977,81.475,394749799510
20040106,00:00:00,81.472,82.034,81.279,81.666,412224800370
20040107,00:00:00,81.664,81.750,81.165,81.460,416969400560
20040108,00:00:00,81.495,82.339,81.146,82.277,413393100270
20040109,00:00:00,82.303,83.662,82.111,82.883,418095400130
20040112,00:00:00,82.798,83.000,82.632,82.838,430441999790
20040113,00:00:00,82.849,83.108,82.468,82.668,428630699650
20040114,00:00:00,82.688,82.847,82.065,82.065,424986500140
20040115,00:00:00,82.097,82.473,81.515,81.848,427926900550
