Date,Time,Open,High,Low,Close,Volume
20030506,00:00:00,118.591,118.751,117.290,117.500,581707000390
20030507,00:00:00,117.456,117.830,116.052,116.303,584496201510
20030508,00:00:00,116.311,116.969,115.940,116.823,588236700140
20030509,00:00:00,116.835,117.612,116.794,117.151,583132899300
20030512,00:00:00,117.286,117.286,116.304,117.025,586660300290
20030513,00:00:00,117.053,117.528,116.338,116.561,584984398820
20030514,00:00:00,116.554,116.837,115.557,116.160,586464899980
20030515,00:00:00,116.173,116.525,115.282,116.515,585585098480
20030516,00:00:00,116.538,116.596,115.768,115.898,586008499920
20030519,00:00:00,115.578,117.445,115.030,117.275,584904198560
20030520,00:00:00,117.239,117.382,116.565,116.656,584088201280
20030521,00:00:00,116.710,117.507,116.479,117.217,588101199780
20030522,00:00:00,117.216,117.752,116.878,117.176,582177800570
20030523,00:00:00,117.173,117.413,116.720,116.821,590246399750
20030526,00:00:00,116.793,117.367,116.644,116.791,583042200880
20030527,00:00:00,116.816,117.288,116.170,117.229,588924700770
20030528,00:00:00,117.233,118.890,116.923,118.639,591922000100
20030529,00:00:00,118.630,119.125,117.893,118.222,587138399510
20030530,00:00:00,118.223,119.616,117.902,119.283,580397799980
20030602,00:00:00,119.521,119.631,118.303,118.510,539129600040
20030603,00:00:00,118.487,119.320,118.263,119.115,584692099320
20030604,00:00:00,119.116,119.362,118.337,118.768,581157100240
20030605,00:00:00,118.790,118.932,117.326,117.706,579461500610
20030606,00:00:00,117.691,118.912,117.551,118.665,583342899200
20030609,00:00:00,118.637,118.760,117.783,118.137,580584200210
20030610,00:00:00,118.157,118.363,117.516,117.748,578869500490
20030611,00:00:00,117.798,118.104,117.478,117.642,581342099940
20030612,00:00:00,117.642,117.940,117.444,117.543,580964699650
20030613,00:00:00,117.587,117.861,117.154,117.457,578610400200
20030616,00:00:00,117.327,117.779,117.143,117.567,587751600070
20030617,00:00:00,117.572,118.385,117.412,118.081,586952999860
20030618,00:00:00,118.093,118.681,117.720,117.755,586807100800
20030619,00:00:00,117.778,119.068,117.735,118.229,582876499190
20030620,00:00:00,118.263,118.613,117.987,118.268,576150200620
20030623,00:00:00,118.364,118.605,117.451,117.626,574948799590
20030624,00:00:00,117.627,118.056,117.536,117.885,581943599970
20030625,00:00:00,117.909,118.128,117.304,117.920,582694199540
20030626,00:00:00,117.900,119.440,117.872,119.350,584320499850
20030627,00:00:00,119.332,120.044,119.138,119.619,586984899780
20030630,00:00:00,119.597,120.249,119.535,119.683,585636199340
20030701,00:00:00,119.670,119.954,119.001,119.393,582651900630
20030702,00:00:00,119.365,119.453,117.829,117.968,585936999920
20030703,00:00:00,117.989,118.634,117.843,118.166,578623701300
20030704,00:00:00,118.159,118.497,117.944,118.093,588561499820
20030707,00:00:00,117.959,118.306,117.804,118.122,585449500100
20030708,00:00:00,118.126,118.676,117.579,118.173,584021600090
20030709,00:00:00,118.173,118.432,117.580,117.691,587930001610
20030710,00:00:00,117.741,118.026,117.357,117.550,587810499700
20030711,00:00:00,117.514,117.985,117.507,117.635,587343499110
20030714,00:00:00,117.742,117.831,117.281,117.588,579209599640
20030715,00:00:00,117.598,117.913,116.650,117.807,579314799880
20030716,00:00:00,117.812,118.669,117.755,118.133,589553000490
20030717,00:00:00,118.129,118.953,117.849,118.733,587243600090
20030718,00:00:00,118.756,119.224,118.227,118.354,586894099730
20030721,00:00:00,118.504,118.769,118.218,118.435,578698799980
20030722,00:00:00,118.450,119.396,118.384,119.063,573239800700
20030723,00:00:00,119.066,119.140,118.578,118.852,581170199600
20030724,00:00:00,118.811,119.302,118.514,118.899,588377600140
20030725,00:00:00,118.900,119.283,118.524,118.826,585210999420
20030728,00:00:00,119.226,119.640,118.757,119.410,67619300150
20030729,00:00:00,119.380,119.950,119.050,119.910,36759000000
20030730,00:00:00,119.920,120.760,119.570,120.430,30182000000
20030731,00:00:00,120.400,120.640,120.340,120.510,4936000000
20030801,00:00:00,120.490,120.694,119.768,119.994,525053401200
20030804,00:00:00,120.128,120.610,119.620,120.320,82616899920
20030805,00:00:00,120.290,120.640,119.700,119.830,36914000000
20030806,00:00:00,119.820,120.440,119.670,120.220,35901000000
20030807,00:00:00,120.220,120.300,118.780,118.950,41903000000
20030808,00:00:00,118.950,119.250,118.786,118.974,335018000100
20030811,00:00:00,119.050,119.110,118.150,118.560,32514000000
20030812,00:00:00,118.570,118.760,118.330,118.710,34878000000
20030813,00:00:00,118.690,119.480,118.470,119.110,36718000000
20030814,00:00:00,119.070,119.680,118.860,119.120,30686000000
20030815,00:00:00,119.100,119.449,118.736,119.163,554718900780
20030818,00:00:00,119.182,119.760,119.039,119.430,58985699910
20030819,00:00:00,119.430,119.790,118.210,118.340,37283000000
20030820,00:00:00,118.340,118.800,117.760,118.040,39335000000
20030821,00:00:00,118.150,118.240,117.500,117.770,37613000000
20030822,00:00:00,117.800,118.034,117.281,117.490,580982599880
20030825,00:00:00,117.610,117.680,117.100,117.310,29269000000
20030826,00:00:00,117.300,117.780,117.140,117.320,33264000000
20030827,00:00:00,117.330,118.010,117.260,117.420,34747000000
20030828,00:00:00,117.410,117.630,117.190,117.280,32877000000
20030829,00:00:00,117.290,117.410,116.130,116.872,589504400070
20030901,00:00:00,116.720,116.820,116.300,116.530,22865000000
20030902,00:00:00,116.540,117.250,115.790,116.560,37483000000
20030903,00:00:00,116.550,116.600,115.830,115.850,41255000000
20030904,00:00:00,115.850,117.080,115.710,116.710,32690000000
20030905,00:00:00,116.720,117.149,116.419,116.767,579541899880
20030908,00:00:00,116.800,117.720,116.340,116.820,35963000000
20030909,00:00:00,116.810,116.960,116.040,116.810,36149000000
20030910,00:00:00,116.810,117.250,116.580,117.050,37025000000
