Date,Time,Open,High,Low,Close,Volume
20030805,00:00:00,0.64640,0.64781,0.64035,0.64607,122336980080
20030806,00:00:00,0.64659,0.65053,0.64496,0.64725,117152850040
20030807,00:00:00,0.64729,0.65148,0.64391,0.65102,126714272550
20030808,00:00:00,0.65111,0.65347,0.64967,0.65209,122279979960
20030811,00:00:00,0.65226,0.65952,0.64986,0.65782,131071199910
20030812,00:00:00,0.65785,0.66100,0.65521,0.65565,126003650030
20030813,00:00:00,0.65589,0.65863,0.65201,0.65774,119816990120
20030814,00:00:00,0.65815,0.65895,0.65453,0.65582,125878360990
20030815,00:00:00,0.65600,0.66035,0.65529,0.65951,118210909870
20030818,00:00:00,0.66009,0.66175,0.65473,0.65745,134005749850
20030819,00:00:00,0.65755,0.65810,0.65197,0.65544,124529280010
20030820,00:00:00,0.65592,0.66190,0.65362,0.66006,122234919920
20030821,00:00:00,0.66002,0.66065,0.65060,0.65340,132049885430
20030822,00:00:00,0.65352,0.65460,0.64679,0.65190,128361739940
20030825,00:00:00,0.65090,0.65320,0.64915,0.64930,129449329940
20030826,00:00:00,0.64965,0.65018,0.64157,0.64363,127098989920
20030827,00:00:00,0.64380,0.64460,0.63632,0.63880,123946530090
20030828,00:00:00,0.63905,0.64187,0.63497,0.64011,132844929960
20030829,00:00:00,0.63990,0.64928,0.63876,0.64665,125359960050
20030901,00:00:00,0.64652,0.64805,0.64380,0.64533,123469080030
20030902,00:00:00,0.64514,0.64595,0.63503,0.63611,121860419930
20030903,00:00:00,0.63622,0.64145,0.63392,0.63986,123798970150
20030904,00:00:00,0.63992,0.64330,0.63648,0.64204,132074789460
20030905,00:00:00,0.64201,0.64864,0.64047,0.64745,128187069870
20030908,00:00:00,0.64664,0.65165,0.64420,0.64795,134426000000
20030909,00:00:00,0.64815,0.66055,0.64619,0.65897,126896339850
20030910,00:00:00,0.65908,0.65985,0.65583,0.65641,124032880040
20030911,00:00:00,0.65645,0.66165,0.65378,0.65992,133004459880
20030912,00:00:00,0.66008,0.66409,0.65630,0.66296,124292390100
20030915,00:00:00,0.66198,0.66680,0.66054,0.66506,132798700040
20030916,00:00:00,0.66486,0.66702,0.65981,0.66278,126090980120
20030917,00:00:00,0.66261,0.66585,0.65821,0.66540,123816639890
20030918,00:00:00,0.66565,0.66944,0.66300,0.66573,130183036090
20030919,00:00:00,0.66592,0.67338,0.66512,0.67227,126866920020
20030922,00:00:00,0.67671,0.68373,0.67618,0.67707,137512349930
20030923,00:00:00,0.67725,0.68097,0.67484,0.67484,126179490000
20030924,00:00:00,0.67521,0.67926,0.67254,0.67709,123812459890
20030925,00:00:00,0.67715,0.68240,0.67634,0.67848,133028412010
20030926,00:00:00,0.67844,0.68011,0.67295,0.67336,128946860030
20030929,00:00:00,0.67545,0.67878,0.66759,0.67790,135820339920
20030930,00:00:00,0.67802,0.68675,0.67498,0.67941,128389849990
20031001,00:00:00,0.68025,0.68770,0.67898,0.68614,123173319890
20031002,00:00:00,0.68621,0.68740,0.68115,0.68424,132190104050
20031003,00:00:00,0.68465,0.68571,0.67609,0.67875,127878400110
20031006,00:00:00,0.67855,0.68580,0.67547,0.68491,136780380220
20031007,00:00:00,0.68492,0.69180,0.68387,0.68907,125510230070
20031008,00:00:00,0.68966,0.69313,0.68791,0.68914,120849090100
20031009,00:00:00,0.68929,0.69570,0.68561,0.68931,132526963230
20031010,00:00:00,0.68943,0.69372,0.68660,0.69127,119433879900
20031013,00:00:00,0.69233,0.69272,0.68568,0.68902,132363159970
20031014,00:00:00,0.68918,0.69130,0.68210,0.68937,127287770070
20031015,00:00:00,0.68927,0.69230,0.68501,0.68575,122043200100
20031016,00:00:00,0.68568,0.69265,0.68547,0.68789,131955915600
20031017,00:00:00,0.68808,0.69323,0.68660,0.69229,123761760050
20031020,00:00:00,0.69345,0.69505,0.68914,0.69091,138075539990
20031021,00:00:00,0.69122,0.70035,0.69073,0.69933,126866499870
20031022,00:00:00,0.69932,0.70735,0.69722,0.70452,120348409980
20031023,00:00:00,0.70465,0.70655,0.69603,0.69943,133767198190
20031024,00:00:00,0.69944,0.70242,0.69786,0.69860,124638889970
20031027,00:00:00,0.69840,0.70585,0.69777,0.70368,137891330200
20031028,00:00:00,0.70395,0.70645,0.70084,0.70520,127014880100
20031029,00:00:00,0.70495,0.70718,0.70237,0.70325,122541340080
20031030,00:00:00,0.70317,0.71067,0.70195,0.70430,132028252130
20031031,00:00:00,0.70420,0.70972,0.70192,0.70799,128238509980
20031103,00:00:00,0.70664,0.70912,0.69545,0.69630,136140289950
20031104,00:00:00,0.69661,0.70375,0.69534,0.70292,128229569940
20031105,00:00:00,0.70261,0.71195,0.70194,0.70822,124076709830
20031106,00:00:00,0.70837,0.71245,0.70445,0.70672,133097162600
20031107,00:00:00,0.70646,0.70995,0.70326,0.70810,128068479930
20031110,00:00:00,0.70834,0.71770,0.70827,0.71505,2131223441260
20031111,00:00:00,0.71505,0.71645,0.71252,0.71512,247547399580
20031112,00:00:00,0.71517,0.71912,0.71182,0.71652,122455999780
20031113,00:00:00,0.71625,0.72240,0.71559,0.72070,131401117390
20031114,00:00:00,0.72081,0.72217,0.71714,0.72022,117147150080
20031117,00:00:00,0.72016,0.72152,0.70927,0.71141,123714359920
20031118,00:00:00,0.71131,0.72485,0.70890,0.72398,129406599930
20031119,00:00:00,0.72415,0.72452,0.71972,0.72061,124301410030
20031120,00:00:00,0.72065,0.72655,0.71995,0.72169,132519974370
20031121,00:00:00,0.72145,0.72470,0.71970,0.72325,117340309900
20031124,00:00:00,0.72291,0.72425,0.71504,0.71822,121452740080
20031125,00:00:00,0.71807,0.72125,0.71584,0.71893,126657940040
20031126,00:00:00,0.71910,0.72495,0.71561,0.72352,124164049950
20031127,00:00:00,0.72332,0.72415,0.72069,0.72214,127706167540
20031128,00:00:00,0.72239,0.72555,0.71853,0.72340,116091939930
20031201,00:00:00,0.72332,0.72882,0.72226,0.72808,137164229850
20031202,00:00:00,0.72808,0.73260,0.72566,0.73080,132940800000
20031203,00:00:00,0.73070,0.73735,0.72904,0.73655,122617260000
20031204,00:00:00,0.73581,0.73810,0.73111,0.73510,133188874200
20031205,00:00:00,0.73490,0.73700,0.73261,0.73597,127811899910
20031208,00:00:00,0.73634,0.74140,0.73491,0.74052,137664430190
20031209,00:00:00,0.73968,0.74305,0.73659,0.74125,132978340040
20031210,00:00:00,0.74092,0.74175,0.73564,0.73942,124669769980
20031211,00:00:00,0.73930,0.73972,0.73287,0.73955,135217790040
20031212,00:00:00,0.73920,0.74365,0.73780,0.74170,128676089990
20031215,00:00:00,0.73723,0.74465,0.73611,0.74372,140407209960
20031216,00:00:00,0.74400,0.74550,0.74149,0.74320,133696659840
20031217,00:00:00,0.74294,0.74395,0.73665,0.73872,123151220010
20031218,00:00:00,0.73863,0.74280,0.73430,0.74020,133745649830
20031219,00:00:00,0.74000,0.74155,0.73520,0.73565,128114289940
20031222,00:00:00,0.73667,0.73710,0.73201,0.73332,140715520180
20031223,00:00:00,0.73322,0.73715,0.73259,0.73685,130233210020
20031224,00:00:00,0.73627,0.74330,0.73606,0.74142,117090280070
20031225,00:00:00,0.74137,0.74269,0.74026,0.74150,31902337040
20031226,00:00:00,0.74150,0.74375,0.74001,0.74140,98987809950
20031229,00:00:00,0.74057,0.74435,0.73975,0.74385,138127480030
20031230,00:00:00,0.74372,0.74935,0.74232,0.74863,131735339970
20031231,00:00:00,0.74896,0.75395,0.74700,0.75165,118074370000
