Date,Time,Open,High,Low,Close,Volume
20041026,00:00:00,87.340,87.560,86.900,87.270,32506000000
20041027,00:00:00,87.270,87.490,86.720,86.880,41477000000
20041028,00:00:00,86.880,87.230,86.220,86.870,47867000000
20041029,00:00:00,86.870,87.080,86.590,86.830,40668000000
20041101,00:00:00,86.830,87.300,86.770,87.070,39680000000
20041102,00:00:00,87.060,87.150,86.450,86.540,38608000000
20041103,00:00:00,86.450,87.890,86.430,87.830,40873000000
20041104,00:00:00,87.830,88.190,87.650,87.840,47649000000
20041105,00:00:00,87.840,88.248,87.638,88.104,340844399470
20041108,00:00:00,88.150,88.620,87.970,88.310,44726000000
20041109,00:00:00,88.290,88.740,88.020,88.070,43827000000
20041110,00:00:00,88.050,89.730,88.000,89.670,38514000000
20041111,00:00:00,89.670,89.670,88.990,89.110,33804000000
20041112,00:00:00,89.110,89.280,88.210,88.480,38332000000
20041115,00:00:00,88.480,88.480,87.580,87.700,39561000000
20041116,00:00:00,87.700,88.360,87.610,88.170,40816000000
20041117,00:00:00,88.010,88.240,86.970,87.080,38993000000
20041118,00:00:00,87.080,87.200,86.190,86.400,44620000000
20041119,00:00:00,86.400,86.574,85.603,86.278,392388623990
20041122,00:00:00,86.300,87.260,86.230,87.030,38741000000
20041123,00:00:00,87.020,87.200,86.810,87.090,41482000000
20041124,00:00:00,87.090,87.460,86.830,87.190,28950000000
20041125,00:00:00,87.050,87.180,86.850,87.040,13254000000
20041126,00:00:00,87.040,87.490,86.880,87.460,14185000000
20050719,00:00:00,87.460,92.700,87.460,92.380,12180000000
20050720,00:00:00,92.380,93.000,92.130,92.470,61116000000
20050721,00:00:00,92.470,92.500,90.380,90.580,100758000000
20050722,00:00:00,90.580,91.520,90.580,91.320,75420000000
20050725,00:00:00,91.320,91.910,91.280,91.470,58464000000
20050726,00:00:00,91.470,91.950,91.120,91.450,75727000000
20050727,00:00:00,91.450,91.600,90.520,90.930,77454000000
20050728,00:00:00,90.930,91.460,90.690,91.170,75180000000
20050729,00:00:00,91.170,91.910,90.910,91.890,71520000000
20050801,00:00:00,91.890,92.720,91.720,92.580,69228000000
20050802,00:00:00,92.580,92.620,91.420,91.430,68808000000
20050803,00:00:00,91.430,92.080,91.250,91.280,66318000000
20050804,00:00:00,91.280,91.970,91.220,91.600,73842000000
20050805,00:00:00,91.600,92.130,91.320,92.040,72726000000
20050808,00:00:00,92.040,92.430,91.840,92.300,54516000000
20050809,00:00:00,92.300,92.390,91.940,92.280,58608000000
20050810,00:00:00,92.280,92.340,91.020,91.390,75420000000
20050811,00:00:00,91.390,91.680,90.980,91.390,79992000000
20050812,00:00:00,91.390,91.810,91.110,91.370,74544000000
20050815,00:00:00,91.370,91.770,90.970,91.020,58080000000
20050816,00:00:00,91.020,91.510,90.670,91.380,67182000000
20050817,00:00:00,91.380,91.570,90.560,90.580,71658000000
20050818,00:00:00,90.580,90.980,90.350,90.650,68844000000
20050819,00:00:00,90.650,91.250,90.480,91.190,61410000000
20050822,00:00:00,91.190,91.280,90.490,91.250,57312000000
20050823,00:00:00,91.250,91.940,91.020,91.730,65934000000
20050824,00:00:00,91.730,92.640,91.710,92.540,77454000000
20050825,00:00:00,92.540,92.930,92.190,92.280,64392000000
20050826,00:00:00,92.280,92.580,91.570,91.890,67710000000
20050829,00:00:00,91.890,92.800,91.850,92.150,62484000000
20050830,00:00:00,92.150,93.600,92.150,93.310,66294000000
20050831,00:00:00,93.310,93.810,93.050,93.100,84756000000
20050901,00:00:00,93.100,93.170,92.710,92.750,58284000000
20050902,00:00:00,92.750,93.000,92.050,92.310,81024000000
20050905,00:00:00,92.310,92.370,91.720,91.910,34164000000
20050906,00:00:00,91.910,92.490,91.600,92.190,64359000000
20050907,00:00:00,92.190,92.970,91.890,92.630,76650000000
20050908,00:00:00,92.630,93.550,92.520,93.510,63371000000
20050909,00:00:00,93.510,93.860,93.030,93.060,74154000000
20050912,00:00:00,93.060,93.080,92.570,92.920,33568000000
20050913,00:00:00,92.920,94.000,92.760,93.610,69084000000
20050914,00:00:00,93.610,93.800,92.970,93.480,70048000000
20050915,00:00:00,93.460,93.600,92.760,93.350,75108000000
20050916,00:00:00,93.350,94.500,93.260,94.350,70806000000
20050919,00:00:00,94.350,95.520,94.160,95.470,64500000000
20050920,00:00:00,95.470,95.770,95.120,95.600,70962000000
20050921,00:00:00,95.600,95.820,94.970,95.300,71388000000
20050922,00:00:00,95.300,95.780,95.220,95.340,73411000000
20050923,00:00:00,95.340,96.120,94.920,96.050,48951000000
20050926,00:00:00,95.770,96.040,95.260,95.610,7218000000
20050927,00:00:00,95.610,96.550,95.610,96.170,9919000000
20050928,00:00:00,96.170,96.470,95.690,96.330,8476000000
20050929,00:00:00,96.330,96.650,95.900,96.450,7511000000
20050930,00:00:00,96.450,97.900,96.290,97.570,11442000000
20051003,00:00:00,97.570,98.210,97.570,97.890,11849000000
20051004,00:00:00,97.890,98.140,97.300,97.400,12564000000
20051005,00:00:00,97.400,97.550,96.270,96.400,16656000000
20051006,00:00:00,96.400,96.660,95.670,95.890,20472000000
20051007,00:00:00,95.890,97.040,95.890,96.730,12801000000
20051010,00:00:00,96.730,97.440,96.610,97.060,6327000000
20051011,00:00:00,97.060,97.490,96.520,97.380,12878000000
20051012,00:00:00,97.380,97.830,97.260,97.580,11590000000
20051013,00:00:00,97.580,98.000,96.580,96.790,60310000000
20051014,00:00:00,96.790,97.150,95.960,96.100,91036000000
20051017,00:00:00,96.100,97.490,96.100,97.380,69031000000
20051018,00:00:00,97.380,98.290,97.380,98.210,71061000000
20051019,00:00:00,98.210,98.520,97.840,98.090,73712000000
20051020,00:00:00,98.090,98.620,97.830,97.920,48567000000
20051021,00:00:00,97.920,98.170,97.520,97.560,40712000000
20051024,00:00:00,97.560,97.740,96.780,97.230,75001000000
20051025,00:00:00,97.230,97.990,97.150,97.840,105045000000
20051026,00:00:00,97.840,99.110,97.650,99.110,90414000000
20051027,00:00:00,99.110,99.320,98.390,98.480,92004000000
20051028,00:00:00,98.480,98.620,97.940,98.270,70551000000
20051031,00:00:00,98.270,98.940,98.110,98.440,64608000000
20051101,00:00:00,98.440,99.370,98.420,99.310,81972000000
20051102,00:00:00,99.310,99.440,98.820,99.070,55921000000
20051103,00:00:00,99.070,99.460,98.940,99.160,59972000000
20051104,00:00:00,99.190,100.570,99.170,99.950,51473000000
20051107,00:00:00,99.950,99.950,98.680,99.160,113219000000
20051108,00:00:00,99.160,99.160,98.210,99.000,171276000000
20051109,00:00:00,99.000,99.330,98.450,99.000,124077000000
20051110,00:00:00,99.000,99.710,98.960,99.240,127048000000
20051111,00:00:00,99.240,99.280,98.900,99.180,78530000000
20051114,00:00:00,99.180,99.650,98.860,99.580,216976000000
20051115,00:00:00,99.580,99.840,99.350,99.690,4638504000000
20051116,00:00:00,99.690,100.100,99.570,99.830,2376965000000
20051117,00:00:00,99.830,100.140,99.360,100.030,2083976000000
20051118,00:00:00,100.030,100.393,99.786,100.126,762177480780
20051121,00:00:00,100.135,100.790,99.800,100.650,1893803829860
20051122,00:00:00,100.650,101.440,100.530,101.110,1975334000000
20051123,00:00:00,101.110,101.460,100.740,101.250,2599093000000
20051124,00:00:00,101.250,101.590,101.160,101.450,2229979000000
20051125,00:00:00,101.450,102.455,101.420,102.234,819074283810
20051128,00:00:00,102.270,102.570,101.480,101.780,1982101000000
20051129,00:00:00,101.780,102.400,101.630,102.350,2037884000000
20051130,00:00:00,102.350,102.880,102.050,102.750,2143890000000
20051201,00:00:00,102.750,103.610,102.450,103.400,2095348000000
20051202,00:00:00,103.400,104.201,103.178,103.699,713689946140
20051205,00:00:00,103.730,104.590,103.730,104.400,1377846000000
20051206,00:00:00,104.400,105.040,104.330,104.410,1961066000000
20051207,00:00:00,104.410,104.600,103.860,104.330,1938352000000
20051208,00:00:00,104.330,104.440,103.520,103.840,2112551000000
20051209,00:00:00,103.840,104.325,103.589,104.222,799942245680
20051212,00:00:00,104.250,104.680,103.730,104.060,1951849000000
20051213,00:00:00,104.060,104.500,104.000,104.260,2066013000000
20051214,00:00:00,104.260,104.500,101.230,101.890,1586905000000
20051215,00:00:00,101.890,102.230,100.060,100.290,1734491000000
