Date,Time,Open,High,Low,Close,Volume
20131001,00:00:00,8619.20,8691.20,8613.40,8686.20,4264000
20131002,00:00:00,8652.00,8670.90,8585.30,8628.10,4358000
20131003,00:00:00,8618.40,8643.36,8590.65,8596.27,3806000
20131004,00:00:00,8584.32,8637.72,8573.14,8623.09,4720000
20131007,00:00:00,8526.62,8604.36,8516.29,8592.11,4566000
20131008,00:00:00,8591.53,8606.09,8553.64,8557.98,5190000
20131009,00:00:00,8541.03,8588.70,8502.70,8513.61,5026000
20131010,00:00:00,8592.07,8691.60,8587.95,8685.91,3280000
20131011,00:00:00,8708.62,8728.93,8697.13,8723.92,4450000
20131014,00:00:00,8688.44,8723.68,8676.40,8702.80,3916000
20131015,00:00:00,8765.28,8795.85,8764.17,8795.85,1802000
20131016,00:00:00,8804.43,8807.48,8788.33,8790.83,396000
20131017,00:00:00,8798.72,8812.02,8769.12,8808.20,19714000
20131018,00:00:00,8809.72,8851.16,8804.80,8843.11,34174000
20131021,00:00:00,8828.46,8876.13,8827.51,8867.21,11856000
20131022,00:00:00,8867.21,8987.62,8850.61,8953.35,21413170
20131023,00:00:00,8951.82,8952.59,8897.49,8915.60,31594000
20131024,00:00:00,8915.64,8976.17,8904.50,8957.16,14068000
20131025,00:00:00,8957.28,8987.02,8951.32,8977.64,17828000
20131028,00:00:00,8984.50,8999.78,8951.30,8983.60,813380
20131029,00:00:00,8980.00,9039.00,8962.00,9030.80,15627080
20131030,00:00:00,9027.20,9070.30,8976.30,9001.38,8932550
20131031,00:00:00,8980.70,9052.30,8952.10,9019.40,12169740
20131101,00:00:00,9019.40,9046.30,8992.30,9026.30,10622660
20131104,00:00:00,9022.80,9057.90,9007.81,9054.30,14303270
20131105,00:00:00,9046.87,9054.50,8963.00,9005.60,5858980
20131106,00:00:00,9006.20,9064.80,8998.00,9034.90,629830
20131107,00:00:00,9032.00,9193.80,9001.50,9021.70,13276850
20131108,00:00:00,9019.30,9097.70,8988.00,9078.26,8657410
20131111,00:00:00,9083.00,9122.72,9063.80,9116.70,10646510
20131112,00:00:00,9117.30,9124.90,9057.30,9077.70,13305950
20131113,00:00:00,9077.70,9124.50,8980.30,9113.10,12466770
20131114,00:00:00,9111.30,9153.30,9101.30,9141.70,13468690
