Date,Time,Open,High,Low,Close,Volume
20131001,00:00:00,15131.66,15205.78,15114.67,15186.77,2962000
20131002,00:00:00,15177.76,15177.76,15045.68,15127.67,2690000
20131003,00:00:00,15120.76,15120.76,14946.68,14975.69,962000
20131004,00:00:00,14994.68,15083.92,14976.31,15076.43,3548000
20131007,00:00:00,15072.58,15072.58,14922.43,14938.36,3894000
20131008,00:00:00,14936.24,14936.24,14773.57,14773.57,2594000
20131009,00:00:00,14776.53,14852.30,14720.19,14805.07,2588000
20131010,00:00:00,14802.98,15121.89,14802.97,15121.89,3034000
20131011,00:00:00,15101.92,15235.97,15101.92,15235.97,3254000
20131016,00:00:00,15168.00,15168.00,15168.00,15168.00,4000
20131017,00:00:00,15373.82,15373.82,15229.01,15309.67,6296000
20131018,00:00:00,15309.35,15385.96,15306.37,15353.37,16296000
20131021,00:00:00,15399.64,15410.17,15362.65,15393.34,11316000
20131022,00:00:00,15393.48,15518.08,15367.50,15455.49,9577940
20131023,00:00:00,15455.37,15500.80,15366.15,15410.28,18372000
20131024,00:00:00,15410.22,15428.11,15371.91,15413.30,15294000
20131025,00:00:00,15509.19,15509.19,15509.18,15509.18,6000
20131028,00:00:00,15529.55,15600.97,15528.77,15572.85,5211850
20131029,00:00:00,15581.64,15685.85,15545.76,15683.77,12090850
20131030,00:00:00,15682.61,15736.75,15573.91,15601.90,9213110
20131031,00:00:00,15584.65,15652.96,15543.82,15581.64,10440690
20131101,00:00:00,15585.60,15651.00,15543.87,15602.86,9705760
20131104,00:00:00,15607.67,15669.97,15586.90,15635.71,10733330
20131105,00:00:00,15635.74,15651.87,15518.93,15614.63,11671670
20131106,00:00:00,15605.98,15751.91,15596.62,15736.95,418690
20131107,00:00:00,15733.64,15827.84,15590.90,15596.94,3174480
20131108,00:00:00,15592.88,15766.96,15543.94,15745.83,8281640
20131111,00:00:00,15745.64,15791.95,15722.63,15773.90,12121130
20131112,00:00:00,15774.65,15798.93,15705.91,15758.71,10781120
20131113,00:00:00,15749.86,15846.99,15650.96,15832.91,10653570
20131114,00:00:00,15824.60,15885.99,15797.90,15872.60,10162600
20131115,00:00:00,15872.81,15964.14,15857.93,15948.67,13193950
20131118,00:00:00,15945.71,16028.71,15928.65,15980.99,2239550
20131119,00:00:00,15978.69,16025.92,15942.92,15966.68,9480380
20131120,00:00:00,15961.85,16016.65,15862.98,15908.74,11048410
20131121,00:00:00,15909.81,16014.20,15874.78,16003.67,8243860
20131122,00:00:00,16000.95,16065.93,15971.93,16053.81,11373020
20131125,00:00:00,16101.79,16120.77,16055.00,16079.86,13341800
20131126,00:00:00,16082.81,16121.95,16067.60,16085.97,13122030
20131127,00:00:00,16075.90,16110.00,16056.91,16088.82,14206590
