Date,Time,Open,High,Low,Close,Volume
20030805,00:00:00,136.662,137.028,135.797,136.413,244029899640
20030806,00:00:00,136.442,136.960,135.987,136.273,248763099900
20030807,00:00:00,136.253,136.410,135.165,135.224,241974400080
20030808,00:00:00,135.193,135.563,134.278,134.581,244836899930
20030811,00:00:00,134.572,134.930,133.400,134.640,39364900020
20030812,00:00:00,134.640,134.990,133.740,133.940,32277000000
20030813,00:00:00,133.940,134.990,133.510,134.880,32840000000
20030814,00:00:00,134.890,135.340,133.810,134.140,29943000000
20030815,00:00:00,134.110,134.440,133.665,134.227,257119800170
20030818,00:00:00,134.183,134.266,132.920,133.120,53163799930
20030819,00:00:00,133.110,133.230,131.590,131.840,33034000000
20030820,00:00:00,131.830,132.320,130.780,131.270,33816000000
20030821,00:00:00,131.300,131.380,128.150,128.630,33472000000
20030822,00:00:00,128.630,128.952,127.262,127.802,256825500460
20030825,00:00:00,127.860,128.260,127.370,127.510,27845000000
20030826,00:00:00,127.520,128.020,126.650,127.400,30535000000
20030827,00:00:00,127.380,128.720,127.290,127.820,31927000000
20030828,00:00:00,127.750,128.170,126.860,127.670,30964000000
20030829,00:00:00,127.700,128.508,126.793,128.346,263030000040
20030901,00:00:00,128.340,128.590,127.490,127.800,24868000000
20030902,00:00:00,127.800,127.930,125.460,125.970,36157000000
20030903,00:00:00,125.970,126.190,124.980,125.650,48526000000
20030904,00:00:00,125.730,127.820,125.260,127.760,40984000000
20030905,00:00:00,127.750,129.847,127.487,129.681,262666699680
20030908,00:00:00,129.700,130.620,129.040,129.260,42852000000
20030909,00:00:00,129.250,131.370,128.900,131.130,42599000000
20030910,00:00:00,131.100,131.400,130.180,131.220,49336000000
20030911,00:00:00,131.240,132.130,130.160,131.210,53195000000
20030912,00:00:00,131.210,132.835,130.270,132.400,264047199520
20030915,00:00:00,132.450,132.880,131.920,132.470,33592000000
20030916,00:00:00,132.510,132.640,129.490,129.810,36921000000
20030917,00:00:00,129.810,131.470,129.200,130.890,49612000000
20030918,00:00:00,130.890,131.070,129.290,129.730,44287000000
20030919,00:00:00,129.690,130.320,128.916,129.570,261369199950
20030922,00:00:00,129.920,129.920,127.940,128.610,46184000000
20030923,00:00:00,128.590,128.750,127.480,128.440,37451000000
20030924,00:00:00,128.510,128.570,127.430,128.460,36202000000
20030925,00:00:00,128.440,129.090,127.980,128.910,39905000000
20030926,00:00:00,128.890,128.990,128.003,128.003,260514299490
20030929,00:00:00,128.080,128.790,126.860,128.440,39500000000
20030930,00:00:00,128.510,130.230,128.370,129.970,38424000000
20031001,00:00:00,129.980,130.110,129.180,129.580,37734000000
20031002,00:00:00,129.650,130.530,129.260,129.440,37891000000
20031003,00:00:00,129.430,129.660,128.128,128.402,264908200190
20031006,00:00:00,128.360,130.030,128.060,129.930,37940000000
20031007,00:00:00,129.930,130.370,128.800,129.250,37245000000
20031008,00:00:00,129.250,129.810,128.900,129.390,37363000000
20031009,00:00:00,129.410,129.630,127.550,128.070,40019000000
20031010,00:00:00,128.120,128.495,127.125,128.110,260647600130
20031013,00:00:00,128.260,128.260,126.510,127.430,26697000000
20031014,00:00:00,127.470,128.570,126.660,127.600,32509000000
20031015,00:00:00,127.590,128.000,127.130,127.390,33296000000
20031016,00:00:00,127.420,127.900,127.160,127.370,34418000000
20031017,00:00:00,127.350,127.824,126.825,127.638,259305499870
20031020,00:00:00,127.550,128.800,127.250,128.410,36954000000
20031021,00:00:00,128.380,128.480,127.480,127.700,34529000000
20031022,00:00:00,127.700,128.800,127.560,128.580,31884000000
20031023,00:00:00,128.610,129.990,128.450,129.110,36240000000
20031024,00:00:00,129.120,129.828,128.620,128.647,259108499910
20031027,00:00:00,128.638,128.762,127.180,127.430,38629599980
20031028,00:00:00,127.420,127.480,126.150,126.310,35673000000
20031029,00:00:00,126.240,126.660,126.070,126.300,30006000000
20031030,00:00:00,126.310,127.120,125.960,126.380,37944000000
20031031,00:00:00,126.370,127.890,126.200,127.400,36482000000
20031103,00:00:00,127.215,128.120,126.830,127.150,41668100000
20031104,00:00:00,127.170,127.290,125.750,125.880,47212000000
20031105,00:00:00,125.890,126.350,125.290,125.650,37434000000
20031106,00:00:00,125.660,126.050,125.440,125.800,45117000000
20031107,00:00:00,125.750,126.160,125.440,126.100,48148000000
20031110,00:00:00,125.732,126.330,124.120,124.930,41135700010
20031111,00:00:00,124.940,125.390,124.370,125.200,44509000000
20031112,00:00:00,125.190,126.820,124.960,126.610,51352000000
20031113,00:00:00,126.620,127.080,126.060,126.850,50600000000
20031114,00:00:00,126.840,127.670,126.650,127.540,49566000000
20031117,00:00:00,127.722,129.350,127.615,127.940,62194900030
20031118,00:00:00,127.950,129.330,127.810,129.190,60996000000
20031119,00:00:00,129.210,130.240,128.420,129.790,66955000000
20031120,00:00:00,129.790,130.270,129.350,129.880,55710000000
20031121,00:00:00,129.880,130.110,128.910,129.550,48992000000
20031124,00:00:00,129.519,129.850,128.410,128.670,56610200030
