Date,Time,Open,High,Low,Close,Volume
20030805,00:00:00,193.833,194.397,191.950,193.572,116641299770
20030806,00:00:00,193.522,194.186,192.815,193.499,118810299940
20030807,00:00:00,193.536,193.589,191.575,192.440,117573599900
20030808,00:00:00,192.386,192.640,190.568,190.815,119159000000
20030811,00:00:00,190.726,191.113,189.372,190.534,115736700080
20030812,00:00:00,190.593,190.989,189.431,190.165,118668199830
20030813,00:00:00,190.159,191.931,189.668,191.541,116589000020
20030814,00:00:00,191.386,192.463,190.352,190.756,117504599770
20030815,00:00:00,190.753,190.967,189.734,189.933,115407899780
20030818,00:00:00,190.210,190.584,189.530,189.927,113916199910
20030819,00:00:00,189.991,190.095,187.650,187.836,119346999960
20030820,00:00:00,187.789,188.938,187.684,188.156,120630599870
20030821,00:00:00,188.338,188.383,185.357,185.660,108219599820
20030822,00:00:00,185.659,185.739,184.315,185.067,75194099910
20030825,00:00:00,185.043,185.455,184.127,184.233,118447800010
20030826,00:00:00,184.272,184.828,183.312,183.978,119419599800
20030827,00:00:00,183.985,185.475,183.824,184.498,117786599830
20030828,00:00:00,184.491,185.397,183.578,185.052,118887700010
20030829,00:00:00,185.027,185.308,183.321,184.427,114225799970
20030901,00:00:00,184.408,184.512,182.511,183.002,96958400000
20030902,00:00:00,183.026,183.713,181.916,182.662,117024500140
20030903,00:00:00,182.622,182.701,181.235,181.996,116309899950
20030904,00:00:00,181.951,184.967,181.515,184.637,121113999930
20030905,00:00:00,184.625,186.127,184.279,185.440,120237199990
20030908,00:00:00,185.620,186.947,184.440,184.845,118896500010
20030909,00:00:00,184.856,186.021,183.541,185.799,118453599920
20030910,00:00:00,185.756,186.447,185.273,186.331,119827499920
20030911,00:00:00,186.310,187.037,185.465,186.745,119536799940
20030912,00:00:00,186.750,188.490,186.105,187.852,120121900060
20030915,00:00:00,188.242,188.853,187.846,187.975,119711400100
20030916,00:00:00,187.960,188.280,184.003,184.342,118564100030
20030917,00:00:00,184.299,187.349,184.042,186.651,119890200120
20030918,00:00:00,186.653,187.046,185.719,186.302,120125600130
20030919,00:00:00,186.350,187.608,185.462,186.401,120541899950
20030922,00:00:00,185.303,185.936,183.632,185.032,121638600130
20030923,00:00:00,185.051,185.491,183.305,185.312,119579200040
20030924,00:00:00,185.314,185.450,183.946,185.302,120334699970
20030925,00:00:00,185.324,186.303,184.641,186.090,120180699830
20030926,00:00:00,186.107,186.193,185.177,185.305,118572300080
20030929,00:00:00,185.200,185.249,183.457,184.560,118646099860
20030930,00:00:00,184.557,186.240,183.940,185.242,120380699960
20031001,00:00:00,185.236,185.395,183.192,184.594,120051400080
20031002,00:00:00,184.558,185.493,184.370,184.843,120038800050
20031003,00:00:00,184.857,185.305,183.941,184.447,120121899970
20031005,00:00:00,184.241,184.351,184.241,184.310,1870200000
20031006,00:00:00,184.312,186.181,183.896,185.209,118739599910
20031007,00:00:00,185.227,186.047,181.939,182.703,119511700160
20031008,00:00:00,182.735,182.886,181.587,182.058,119806800070
20031009,00:00:00,182.137,182.247,180.695,181.700,121127499680
20031010,00:00:00,181.705,181.925,180.040,180.679,116665899940
20031012,00:00:00,180.470,180.515,180.425,180.480,482500000
20031013,00:00:00,180.500,181.721,179.356,181.411,116416899930
20031014,00:00:00,181.445,182.972,180.823,182.095,119626300030
20031015,00:00:00,182.119,183.183,181.698,182.631,119834600080
20031016,00:00:00,182.613,184.035,182.523,183.776,120741100050
20031017,00:00:00,183.750,184.063,182.831,183.510,116459200020
20031019,00:00:00,182.848,182.992,182.584,182.682,2481700000
20031020,00:00:00,182.703,185.036,182.578,184.340,121744500050
20031021,00:00:00,184.346,184.428,183.123,183.390,118984700110
20031022,00:00:00,183.395,184.566,183.186,184.366,119877000120
20031023,00:00:00,184.345,186.049,184.312,185.539,121988800050
20031024,00:00:00,185.557,186.359,184.922,185.140,117962199950
20031027,00:00:00,185.158,185.395,183.400,183.798,118974200020
20031028,00:00:00,183.818,184.018,182.864,183.637,119799300000
