Date,Time,Open,High,Low,Close,Volume
20120120,00:00:00,2441.70,2441.70,2428.66,2437.02,10754000000
20120123,00:00:00,2437.02,2455.22,2424.29,2437.22,9494000000
20120124,00:00:00,2437.22,2440.20,2423.36,2433.96,8887000000
20120125,00:00:00,2433.96,2470.57,2433.96,2465.66,9802000000
20120126,00:00:00,2465.66,2479.31,2444.87,2454.63,12864000000
20120127,00:00:00,2454.63,2467.46,2449.83,2461.78,13566000000
20120130,00:00:00,2438.33,2468.34,2433.64,2465.32,14639000000
20120131,00:00:00,2465.32,2481.51,2453.06,2467.95,11345000000
20120201,00:00:00,2467.95,2497.31,2467.95,2488.18,14721000000
20120202,00:00:00,2488.18,2504.16,2487.15,2495.83,15608000000
20120203,00:00:00,2495.83,2532.26,2495.83,2529.17,15120000000
20120206,00:00:00,2519.33,2528.30,2513.66,2528.30,13875000000
20120207,00:00:00,2522.79,2537.64,2514.90,2532.06,14424000000
20120208,00:00:00,2532.06,2545.77,2524.21,2545.72,8470000000
20120209,00:00:00,2545.72,2567.28,2541.42,2563.93,8406000000
20120210,00:00:00,2563.93,2563.93,2537.99,2547.32,16101000000
20120213,00:00:00,2564.93,2572.58,2554.41,2569.49,10169000000
20120214,00:00:00,2569.49,2575.24,2553.95,2575.24,15162000000
20120215,00:00:00,2575.24,2600.96,2552.56,2556.01,15987000000
20120216,00:00:00,2556.01,2594.71,2551.59,2592.29,16710000000
20120217,00:00:00,2592.29,2593.56,2572.85,2584.24,12746000000
20120221,00:00:00,2589.21,2601.74,2574.36,2590.24,7080000000
20120222,00:00:00,2590.24,2593.05,2575.31,2579.78,14478000000
20120223,00:00:00,2578.91,2598.10,2570.07,2594.93,15720000000
20120224,00:00:00,2594.93,2609.45,2594.93,2604.21,15000000000
20120227,00:00:00,2589.38,2616.67,2579.63,2606.76,12720000000
20120228,00:00:00,2606.76,2634.23,2606.76,2633.46,15629000000
20120229,00:00:00,2633.46,2645.19,2615.39,2623.77,2831000000
20120301,00:00:00,2623.10,2645.91,2623.10,2643.54,14423000000
20120302,00:00:00,2643.54,2650.00,2633.28,2641.58,15245000000
20120305,00:00:00,2636.60,2642.75,2605.59,2614.92,16122000000
20120306,00:00:00,2614.92,2614.92,2575.21,2588.92,12038000000
20120307,00:00:00,2588.95,2614.23,2588.95,2607.85,12719000000
20120308,00:00:00,2623.45,2643.89,2618.47,2637.18,13793000000
20120309,00:00:00,2641.15,2651.98,2639.60,2646.85,14657000000
20120312,00:00:00,2646.85,2651.64,2635.76,2646.85,14015000000
20120313,00:00:00,2646.85,2697.16,2646.85,2697.11,8703000000
20120315,00:00:00,2708.41,2720.49,2701.65,2714.79,16783000000
20120316,00:00:00,2714.79,2719.61,2706.96,2712.78,15054000000
20120319,00:00:00,2716.98,2738.22,2710.63,2733.26,16421000000
20120320,00:00:00,2733.26,2740.35,2711.10,2737.63,16568000000
20120321,00:00:00,2737.63,2752.46,2733.91,2736.88,15986000000
20120322,00:00:00,2736.88,2737.83,2720.23,2731.50,14241000000
20120323,00:00:00,2731.50,2734.68,2714.61,2728.70,14639000000
20120326,00:00:00,2746.98,2778.02,2746.43,2778.02,14259000000
20120327,00:00:00,2778.02,2793.44,2778.02,2782.12,15648000000
20120328,00:00:00,2782.12,2794.00,2754.97,2770.97,16336000000
20120329,00:00:00,2770.97,2770.97,2741.32,2761.96,12810000000
20120330,00:00:00,2762.05,2774.52,2744.47,2755.27,13083000000
20120402,00:00:00,2752.19,2787.25,2747.54,2784.42,14528000000
20120403,00:00:00,2784.42,2795.35,2767.05,2782.78,13469000000
20120404,00:00:00,2782.78,2782.78,2729.26,2745.00,14820000000
20120405,00:00:00,2740.70,2764.21,2739.10,2762.50,14034000000
20120406,00:00:00,2762.50,2762.50,2762.50,2762.50,1000000
20120409,00:00:00,2725.87,2751.44,2722.77,2739.98,15579000000
20120410,00:00:00,2739.98,2749.51,2688.21,2695.12,16404000000
20120411,00:00:00,2695.12,2726.89,2695.12,2708.13,15437000000
20120412,00:00:00,2716.06,2743.41,2711.04,2740.26,9485000000
20120413,00:00:00,2730.65,2731.35,2698.11,2698.99,15063000000
20120416,00:00:00,2698.99,2713.82,2661.10,2670.10,15476000000
20120417,00:00:00,2670.10,2731.38,2670.10,2723.70,12063000000
20120418,00:00:00,2723.58,2732.03,2707.91,2716.14,16187000000
20120419,00:00:00,2716.14,2738.57,2676.09,2686.82,14173000000
20120420,00:00:00,2686.82,2712.01,2674.66,2676.04,14894000000
20120423,00:00:00,2650.61,2657.36,2629.70,2653.50,16016000000
20120424,00:00:00,2653.50,2659.47,2628.96,2638.73,15285000000
20120425,00:00:00,2638.73,2710.52,2638.73,2709.62,10767000000
20120426,00:00:00,2709.62,2731.73,2705.91,2725.23,15827000000
20120427,00:00:00,2737.67,2750.50,2723.18,2741.34,15340000000
20120430,00:00:00,2731.26,2737.54,2720.44,2723.68,16361000000
20120501,00:00:00,2723.68,2756.81,2715.75,2726.92,15748000000
20120502,00:00:00,2726.92,2736.30,2708.54,2734.77,15118000000
20120503,00:00:00,2734.77,2737.14,2697.78,2704.59,13956000000
20120504,00:00:00,2682.11,2683.25,2637.76,2637.92,15182000000
20120507,00:00:00,2622.67,2651.74,2620.96,2639.28,16056000000
20120508,00:00:00,2639.28,2639.28,2587.53,2629.87,11649000000
20120509,00:00:00,2629.87,2635.71,2588.97,2621.35,16297000000
20120510,00:00:00,2621.35,2631.97,2606.79,2616.24,15765000000
20120511,00:00:00,2606.01,2642.66,2604.99,2615.98,14891000000
20120514,00:00:00,2593.33,2611.37,2587.78,2589.93,15042000000
20120515,00:00:00,2590.28,2617.23,2576.77,2580.75,14742000000
20120516,00:00:00,2580.75,2597.16,2558.69,2561.56,9530000000
20120517,00:00:00,2562.13,2567.55,2509.05,2509.05,15355000000
20120518,00:00:00,2518.30,2523.15,2474.70,2478.53,16311000000
20120521,00:00:00,2482.31,2547.69,2478.55,2545.43,14911000000
20120522,00:00:00,2545.43,2562.48,2524.11,2539.20,15175000000
20120523,00:00:00,2539.20,2553.19,2499.36,2547.13,10037000000
20120524,00:00:00,2547.08,2553.89,2512.35,2531.35,13598000000
20120525,00:00:00,2532.32,2537.56,2520.17,2527.05,12815000000
20120529,00:00:00,2542.66,2570.70,2536.62,2558.97,11451000000
20120530,00:00:00,2558.97,2558.97,2522.57,2536.94,14543000000
20120531,00:00:00,2537.40,2540.14,2507.67,2524.87,9072000000
20120601,00:00:00,2524.87,2524.87,2458.94,2458.95,14321000000
20120604,00:00:00,2458.97,2480.92,2444.21,2477.69,9934000000
20120605,00:00:00,2478.13,2492.53,2467.73,2487.26,15889000000
20120606,00:00:00,2487.50,2546.32,2487.50,2546.32,14312000000
20120607,00:00:00,2569.53,2570.15,2531.95,2535.41,13925000000
20120608,00:00:00,2529.42,2561.48,2522.39,2559.21,13790000000
20120611,00:00:00,2578.73,2579.04,2513.67,2517.21,14972000000
20120612,00:00:00,2517.18,2546.80,2510.79,2546.20,9924000000
20120613,00:00:00,2546.20,2557.27,2519.69,2527.44,12420000000
20120614,00:00:00,2529.28,2546.57,2515.17,2539.97,9232000000
20120615,00:00:00,2539.97,2572.84,2539.97,2571.23,11442000000
20120618,00:00:00,2570.98,2599.52,2554.85,2592.52,9118000000
20120619,00:00:00,2592.52,2630.86,2592.52,2620.83,12025000000
20120620,00:00:00,2620.83,2633.21,2603.88,2623.33,14522000000
20120621,00:00:00,2619.25,2622.76,2554.65,2556.92,10683000000
20120622,00:00:00,2567.30,2587.00,2559.28,2585.53,12079000000
20120625,00:00:00,2562.98,2563.09,2527.01,2533.53,13198000000
20120626,00:00:00,2533.54,2556.92,2531.60,2549.84,14568000000
20120627,00:00:00,2549.84,2575.65,2549.84,2565.53,9503000000
20120628,00:00:00,2565.53,2565.53,2510.37,2537.49,12299000000
20120629,00:00:00,2536.65,2615.77,2536.65,2615.72,14485000000
20120702,00:00:00,2616.52,2625.26,2604.90,2625.03,14816000000
20120703,00:00:00,2625.03,2645.20,2624.06,2645.20,4891000000
20120704,00:00:00,2645.84,2645.84,2645.84,2645.84,1000000
20120705,00:00:00,2641.05,2660.26,2629.91,2647.47,12773000000
20120706,00:00:00,2603.49,2613.62,2596.10,2612.29,6861000000
20120709,00:00:00,2610.38,2620.22,2597.34,2609.92,11423000000
20120710,00:00:00,2626.61,2630.03,2574.26,2585.52,13350000000
20120711,00:00:00,2580.07,2587.02,2549.06,2570.99,15058000000
20120712,00:00:00,2561.68,2561.68,2522.93,2545.30,16095000000
20120713,00:00:00,2545.98,2589.58,2545.98,2584.97,12224000000
20120716,00:00:00,2579.96,2589.57,2567.45,2577.05,14300000000
20120717,00:00:00,2591.78,2598.47,2554.34,2591.65,16268000000
20120718,00:00:00,2586.86,2633.02,2585.48,2625.87,15992000000
20120719,00:00:00,2645.34,2663.12,2639.43,2655.81,17182000000
20120720,00:00:00,2655.81,2655.81,2618.30,2618.30,15507000000
20120723,00:00:00,2575.29,2596.61,2549.96,2589.80,15970000000
20120724,00:00:00,2589.93,2596.04,2551.35,2567.46,17022000000
20120725,00:00:00,2551.70,2566.46,2535.04,2549.20,17194000000
20120726,00:00:00,2549.20,2598.31,2549.20,2584.85,16186000000
20120727,00:00:00,2600.03,2649.98,2594.88,2647.03,16269000000
20120730,00:00:00,2649.78,2662.62,2634.50,2642.12,15682000000
20120731,00:00:00,2642.12,2657.27,2640.26,2642.53,16272000000
20120801,00:00:00,2660.49,2661.79,2625.09,2635.13,16122000000
20120802,00:00:00,2616.04,2650.98,2606.54,2625.52,16835000000
20120803,00:00:00,2625.52,2684.58,2625.52,2676.00,15927000000
20120806,00:00:00,2686.38,2705.70,2681.72,2692.76,10669000000
20120807,00:00:00,2694.09,2727.29,2694.09,2716.45,9031000000
20120808,00:00:00,2717.16,2721.02,2705.53,2714.02,11708000000
20120809,00:00:00,2712.97,2724.43,2708.24,2719.61,14247000000
20120810,00:00:00,2719.61,2722.96,2704.91,2722.96,13888000000
20120813,00:00:00,2721.49,2728.88,2708.38,2728.83,14233000000
20120814,00:00:00,2737.85,2742.74,2721.12,2727.79,10916000000
20120815,00:00:00,2725.84,2739.14,2725.84,2735.47,13074000000
