Date,Time,Open,High,Low,Close,Volume
20110920,00:00:00,8864.16,8864.16,8704.23,8721.24,531000000
20110921,00:00:00,8717.00,8771.62,8707.28,8741.16,1008000000
20110922,00:00:00,8634.65,8634.65,8545.46,8560.26,823000000
20110923,00:00:00,8560.26,8560.26,8560.26,8560.26,1000000
20120206,00:00:00,8939.99,8949.32,8916.94,8929.20,1102000000
20120207,00:00:00,8904.16,8928.44,8887.40,8917.52,1118000000
20120208,00:00:00,8971.88,9015.59,8957.04,9015.59,1165000000
20120209,00:00:00,9015.59,9018.49,8942.87,9002.24,1177000000
20120210,00:00:00,9010.53,9016.97,8947.17,8947.17,1216000000
20120213,00:00:00,8954.03,9023.50,8948.54,8999.18,1134000000
20120214,00:00:00,8999.18,9072.08,8972.74,9052.07,1211000000
20120215,00:00:00,9108.84,9314.33,9107.68,9260.34,1208000000
20120216,00:00:00,9232.38,9308.93,9214.23,9238.10,1224000000
20120217,00:00:00,9371.12,9435.03,9369.25,9384.17,1171000000
20120220,00:00:00,9534.03,9547.58,9462.67,9485.09,1207000000
20120221,00:00:00,9458.68,9517.04,9440.41,9463.02,1202000000
20120222,00:00:00,9463.02,9564.05,9442.96,9554.00,1207000000
20120223,00:00:00,9549.77,9609.84,9513.65,9595.57,1220000000
20120224,00:00:00,9594.85,9647.38,9576.21,9647.38,1217000000
20120227,00:00:00,9726.20,9736.11,9629.34,9633.93,1195000000
20120228,00:00:00,9567.12,9722.52,9528.77,9722.52,1164000000
20120229,00:00:00,9771.62,9866.41,9706.22,9723.24,1193000000
20120301,00:00:00,9771.34,9864.24,9666.02,9707.37,1168000000
20120302,00:00:00,9797.05,9800.66,9729.24,9777.03,1220000000
20120305,00:00:00,9756.98,9792.14,9678.12,9698.59,1133000000
20120306,00:00:00,9704.61,9732.28,9602.84,9637.63,1206000000
20120307,00:00:00,9637.63,9637.63,9509.10,9576.06,1216000000
20120308,00:00:00,9674.94,9768.96,9659.15,9768.96,1135000000
20120309,00:00:00,9911.07,10007.62,9854.65,9929.74,1192000000
20120312,00:00:00,10015.92,10019.06,9889.86,9889.86,1200000000
20120313,00:00:00,9921.25,10009.52,9890.70,9899.08,1157000000
20120315,00:00:00,10140.12,10147.45,10111.04,10123.28,144000000
20120316,00:00:00,10110.57,10148.47,10090.09,10129.83,718000000
20120319,00:00:00,10150.85,10172.64,10134.48,10141.99,1212000000
20120320,00:00:00,10141.99,10141.99,10141.99,10141.99,2000000
20120321,00:00:00,10100.87,10132.02,10073.90,10086.49,1141000000
20120322,00:00:00,10086.49,10136.47,10052.50,10127.08,1140000000
20120323,00:00:00,10014.87,10031.96,9999.37,10011.47,1217000000
20120326,00:00:00,10040.10,10056.20,10016.05,10018.24,1130000000
20120327,00:00:00,10018.24,10255.15,10018.24,10255.15,1131000000
20120328,00:00:00,10153.51,10196.81,10124.28,10182.57,1198000000
20120329,00:00:00,10134.78,10146.53,10084.77,10114.79,1178000000
20120330,00:00:00,10089.10,10110.67,10033.19,10083.56,1175000000
20120402,00:00:00,10161.72,10188.97,10111.66,10111.66,1171000000
20120403,00:00:00,10082.21,10084.07,10041.78,10050.39,1117000000
