Date,Time,Open,High,Low,Close,Volume
20060104,00:00:00,0.78870,0.79394,0.78591,0.78946,56478400100
20060105,00:00:00,0.78917,0.79974,0.78395,0.79746,54693400040
20060106,00:00:00,0.79762,0.80646,0.79258,0.80541,51982399920
20060109,00:00:00,0.80492,0.81165,0.80185,0.80932,51923600040
20060110,00:00:00,0.80961,0.81264,0.80363,0.80799,53492200020
20060111,00:00:00,0.80736,0.81051,0.80389,0.80800,53248000030
20060112,00:00:00,0.80807,0.81086,0.80292,0.80556,51771600040
20060113,00:00:00,0.80518,0.81146,0.80186,0.80977,50416600040
20060116,00:00:00,0.81017,0.81173,0.80458,0.80722,41867800010
20060117,00:00:00,0.80685,0.80685,0.79564,0.80224,53578200050
20060118,00:00:00,0.80224,0.80607,0.79590,0.80331,58553400000
20060119,00:00:00,0.80266,0.80519,0.78732,0.78963,57814600000
20060120,00:00:00,0.78995,0.79410,0.77870,0.78049,56334800080
20060123,00:00:00,0.78065,0.78932,0.78032,0.78543,43700199960
20060124,00:00:00,0.78571,0.78808,0.77615,0.78476,57778200060
20060125,00:00:00,0.78458,0.79102,0.78239,0.78752,56084000080
20060126,00:00:00,0.78743,0.79570,0.78346,0.78765,52266599990
20060127,00:00:00,0.78796,0.78809,0.77686,0.78324,57438799990
20060130,00:00:00,0.78356,0.78424,0.77539,0.78058,51697400030
20060131,00:00:00,0.78041,0.78510,0.77667,0.77960,53990800070
20060201,00:00:00,0.78052,0.78560,0.77569,0.77988,54166800050
20060202,00:00:00,0.78017,0.78988,0.77778,0.78875,52086599970
20060203,00:00:00,0.78848,0.79229,0.78314,0.78461,51468000030
20060206,00:00:00,0.78494,0.78634,0.77680,0.78023,51832200050
20060207,00:00:00,0.78016,0.78643,0.77753,0.78545,51465999980
20060208,00:00:00,0.78543,0.78629,0.77655,0.77885,55666399950
20060209,00:00:00,0.77930,0.78050,0.77275,0.77621,54283800040
20060210,00:00:00,0.77620,0.78486,0.77544,0.78178,56430400070
20060213,00:00:00,0.78161,0.78596,0.77943,0.78415,50593200030
20060214,00:00:00,0.78376,0.78440,0.77383,0.77678,53268399940
20060215,00:00:00,0.77689,0.78448,0.77636,0.77913,51455000050
20060216,00:00:00,0.77876,0.78117,0.77089,0.77328,50447000000
20060217,00:00:00,0.77353,0.77675,0.76348,0.76605,54023600090
20060220,00:00:00,0.76575,0.77058,0.76413,0.76845,41943800060
20060221,00:00:00,0.76874,0.76904,0.75484,0.75732,53256800060
20060222,00:00:00,0.75763,0.75964,0.75174,0.75618,52512799980
20060223,00:00:00,0.75569,0.76201,0.75244,0.76182,53956400030
20060224,00:00:00,0.76127,0.76659,0.75765,0.76017,51702600030
20060227,00:00:00,0.75926,0.75926,0.74953,0.75194,52726599980
20060228,00:00:00,0.75195,0.75435,0.74817,0.75290,53879399960
20060301,00:00:00,0.75303,0.75850,0.74960,0.75384,52753400010
20060302,00:00:00,0.75427,0.75696,0.75024,0.75278,51757200020
20060303,00:00:00,0.75304,0.75626,0.74911,0.75351,51649599960
20060306,00:00:00,0.75348,0.75673,0.74471,0.74711,53682600000
20060307,00:00:00,0.74689,0.74851,0.73736,0.74449,56344200040
20060308,00:00:00,0.74485,0.75430,0.74296,0.75241,56345199960
20060309,00:00:00,0.75250,0.75496,0.74641,0.74863,55038800080
20060310,00:00:00,0.74876,0.74990,0.74016,0.74210,54738199980
20060313,00:00:00,0.74246,0.74688,0.73957,0.74088,51123000110
20060314,00:00:00,0.74000,0.74084,0.73054,0.73932,54527400000
20060315,00:00:00,0.73915,0.74577,0.73833,0.74433,53571799970
20060316,00:00:00,0.74439,0.74589,0.73112,0.73453,54530400010
20060317,00:00:00,0.73507,0.73857,0.72540,0.73369,54998000150
20060320,00:00:00,0.73424,0.73581,0.72250,0.72566,57855000080
20060321,00:00:00,0.72558,0.72841,0.71947,0.72500,55481600090
