Date,Time,Open,High,Low,Close,Volume
20120123,00:00:00,1315.38,1322.00,1309.89,1316.00,2566000000
20120124,00:00:00,1316.00,1316.00,1306.16,1314.65,2510000000
20120125,00:00:00,1314.65,1328.30,1307.81,1326.06,2562000000
20120126,00:00:00,1326.06,1333.47,1313.67,1318.45,3360000000
20120127,00:00:00,1318.43,1320.06,1311.72,1319.27,3394000000
20120130,00:00:00,1316.33,1316.33,1300.54,1313.01,3652000000
20120131,00:00:00,1313.01,1321.34,1306.69,1312.41,3395000000
20120201,00:00:00,1312.41,1330.52,1312.41,1324.08,3509000000
20120202,00:00:00,1324.09,1329.19,1321.57,1325.54,3820000000
20120203,00:00:00,1325.54,1345.34,1325.54,1344.90,3706000000
20120206,00:00:00,1344.90,1344.90,1337.52,1344.33,3436000000
20120207,00:00:00,1344.33,1349.24,1335.92,1347.05,3776000000
20120208,00:00:00,1347.05,1351.00,1342.12,1349.96,2122000000
20120209,00:00:00,1349.96,1354.20,1344.63,1351.95,2120000000
20120210,00:00:00,1351.95,1351.95,1337.35,1342.64,3871000000
20120213,00:00:00,1342.64,1353.35,1342.64,1351.77,2634000000
20120214,00:00:00,1351.77,1351.77,1340.83,1350.50,3717000000
20120215,00:00:00,1350.50,1355.87,1340.85,1343.23,3587000000
20120216,00:00:00,1343.23,1359.02,1341.22,1358.04,3876000000
20120217,00:00:00,1358.04,1363.40,1357.24,1361.23,3603000000
20120221,00:00:00,1363.36,1367.76,1358.11,1362.21,2203000000
20120222,00:00:00,1362.21,1362.70,1355.53,1357.66,3669000000
20120223,00:00:00,1357.66,1364.24,1352.28,1363.46,3876000000
20120224,00:00:00,1363.46,1368.92,1363.46,1365.74,3700000000
20120227,00:00:00,1365.74,1371.94,1354.99,1367.59,3674000000
20120228,00:00:00,1367.59,1373.09,1365.97,1372.18,3823000000
20120229,00:00:00,1372.18,1378.04,1364.51,1365.68,746000000
20120301,00:00:00,1365.68,1376.17,1365.68,1374.09,3532000000
20120302,00:00:00,1374.09,1374.53,1366.42,1369.63,3699000000
20120305,00:00:00,1369.63,1369.63,1359.13,1364.33,3876000000
20120306,00:00:00,1364.33,1364.33,1340.05,1343.36,3062000000
20120307,00:00:00,1343.36,1354.85,1343.36,1352.63,3438000000
20120308,00:00:00,1352.63,1368.72,1352.63,1365.91,3480000000
20120309,00:00:00,1365.91,1374.76,1365.91,1370.87,3679000000
20120312,00:00:00,1370.87,1372.95,1366.69,1371.09,3705000000
20120313,00:00:00,1371.09,1396.13,1371.09,1395.95,2349000000
20120315,00:00:00,1394.28,1402.63,1392.78,1402.60,3969000000
20120316,00:00:00,1402.55,1405.88,1401.47,1404.17,3832000000
20120319,00:00:00,1404.17,1414.00,1402.43,1409.75,3941000000
