Date,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2003-12-02,79.592,79.912,79.271,79.39,418295999370,1,Tuesday,,
2003-12-03,79.369,79.82,79.247,79.75,416104100120,2,Wednesday,,
2003-12-04,79.784,79.823,79.23,79.52,405309100160,3,Thursday,,
2003-12-05,79.531,79.677,79.104,79.241,395366099990,4,Friday,,
2003-12-08,79.3,79.692,79.021,79.454,398405899910,0,Monday,0.059,0.0745
2003-12-09,79.444,79.655,79.052,79.377,411650999880,1,Tuesday,,
2003-12-10,79.418,80.252,79.141,80.139,406466399890,2,Wednesday,,
2003-12-11,80.168,80.236,79.356,79.822,418011300280,3,Thursday,,
2003-12-12,79.858,80.111,79.682,79.97,405715499810,4,Friday,,
2003-12-15,79.854,80.11,79.606,80.018,414135600330,0,Monday,-0.116,-0.1451
2003-12-16,80.01,80.179,79.741,79.844,415643100150,1,Tuesday,,
2003-12-17,79.844,79.95,78.978,79.326,417647300270,2,Wednesday,,
2003-12-18,79.321,79.846,79.056,79.642,417901100040,3,Thursday,,
2003-12-19,79.657,79.75,79.174,79.278,412331400710,4,Friday,,
2003-12-22,79.309,79.455,78.645,78.849,337250699870,0,Monday,0.031,0.0391
2003-12-23,78.853,79.129,78.693,79.09,419500700300,1,Tuesday,,
2003-12-24,79.097,79.725,79.041,79.522,418865799610,2,Wednesday,,
2003-12-25,79.541,79.67,79.289,79.499,381105900460,3,Thursday,,
2003-12-26,79.491,79.707,79.312,79.663,398656299880,4,Friday,,
2003-12-29,79.565,79.67,79.239,79.6,411060799840,0,Monday,-0.098,-0.123
2003-12-30,79.578,80.178,79.397,80.024,418128299750,1,Tuesday,,
2003-12-31,80.086,80.841,79.214,80.491,417032100220,2,Wednesday,,
2004-01-01,80.495,80.85,80.1,80.632,320459400350,3,Thursday,,
2004-01-02,80.746,81.183,80.13,81.08,413174099210,4,Friday,,
2004-01-05,80.998,82.1,80.977,81.475,394749799510,0,Monday,-0.082,-0.1011
2004-01-06,81.472,82.034,81.279,81.666,412224800370,1,Tuesday,,
2004-01-07,81.664,81.75,81.165,81.46,416969400560,2,Wednesday,,
2004-01-08,81.495,82.339,81.146,82.277,413393100270,3,Thursday,,
2004-01-09,82.303,83.662,82.111,82.883,418095400130,4,Friday,,
2004-01-12,82.798,83.0,82.632,82.838,430441999790,0,Monday,-0.085,-0.1026
2004-01-13,82.849,83.108,82.468,82.668,428630699650,1,Tuesday,,
2004-01-14,82.688,82.847,82.065,82.065,424986500140,2,Wednesday,,
2004-01-15,82.097,82.473,81.515,81.848,427926900550,3,Thursday,,
2004-01-16,81.843,82.009,81.146,81.345,429673999890,4,Friday,,
2004-01-19,81.374,81.425,80.379,80.92,422193899460,0,Monday,0.029,0.0357
2004-01-20,80.92,82.693,80.795,82.061,423541299780,1,Tuesday,,
2004-01-21,82.101,82.877,81.988,82.642,424772400430,2,Wednesday,,
2004-01-22,82.657,82.844,82.327,82.433,426472099990,3,Thursday,,
2004-01-23,82.449,82.626,81.802,82.252,426105099500,4,Friday,,
2004-01-26,82.077,82.29,81.645,81.739,424554799830,0,Monday,-0.175,-0.2128
2004-01-27,81.73,82.402,81.394,82.13,419029999970,1,Tuesday,,
2004-01-28,82.152,82.732,81.682,81.755,427768900260,2,Wednesday,,
2004-01-29,81.768,82.018,80.301,80.456,426639699610,3,Thursday,,
2004-01-30,80.486,81.008,79.819,80.694,433570400670,4,Friday,,
2004-02-02,80.621,80.807,79.738,80.03,417261000830,0,Monday,-0.073,-0.0905
2004-02-03,80.093,81.019,79.941,80.694,426920200270,1,Tuesday,,
2004-02-04,80.711,80.883,80.041,80.25,427895900280,2,Wednesday,,
2004-02-05,80.275,80.926,80.151,80.465,426339299920,3,Thursday,,
2004-02-06,80.468,81.45,80.399,81.222,424422100790,4,Friday,,
2004-02-09,81.235,82.307,80.828,81.957,432544800050,0,Monday,0.013,0.016
2004-02-10,81.947,82.53,81.871,82.206,426517499740,1,Tuesday,,
2004-02-11,82.184,83.165,81.857,83.022,426995399190,2,Wednesday,,
2004-02-12,83.041,83.252,82.702,83.099,430383099820,3,Thursday,,
2004-02-13,83.121,83.666,82.936,83.226,422704399800,4,Friday,,
2004-02-16,83.262,83.609,83.146,83.547,424742000140,0,Monday,0.036,0.0433
2004-02-17,83.556,84.442,83.363,84.337,429046499860,1,Tuesday,,
2004-02-18,84.329,84.481,83.928,84.208,429610900460,2,Wednesday,,
2004-02-19,84.231,84.799,84.002,84.642,426537799960,3,Thursday,,
2004-02-20,84.649,84.982,83.42,84.0,429333900050,4,Friday,,
2004-02-23,83.849,84.078,83.302,83.562,429331999980,0,Monday,-0.151,-0.1798
2004-02-24,83.581,84.517,83.366,84.32,431440600390,1,Tuesday,,
2004-02-25,84.315,84.673,83.938,84.066,430862000050,2,Wednesday,,
2004-02-26,84.071,84.595,83.941,84.445,432054699460,3,Thursday,,
2004-02-27,84.456,84.593,83.511,84.372,429660899190,4,Friday,,
2004-03-01,84.215,84.795,83.904,84.154,432665700200,0,Monday,-0.157,-0.1861
2004-03-02,84.165,84.675,83.592,84.01,430195199870,1,Tuesday,,
2004-03-03,84.0,84.07,81.438,82.464,433440100450,2,Wednesday,,
2004-03-04,82.434,83.541,82.2,83.415,426955699860,3,Thursday,,
2004-03-05,83.412,85.234,83.11,85.021,426986899740,4,Friday,,
2004-03-08,85.239,85.239,84.103,84.385,431545299760,0,Monday,0.218,0.2564
2004-03-09,84.424,85.144,84.174,84.369,427869698990,1,Tuesday,,
2004-03-10,84.368,84.549,82.42,82.58,431923700380,2,Wednesday,,
2004-03-11,82.609,83.266,80.879,81.575,427965299500,3,Thursday,,
2004-03-12,81.57,81.602,80.446,81.092,428161300440,4,Friday,,
2004-03-15,80.928,81.565,80.465,81.198,429301099970,0,Monday,-0.164,-0.2022
2004-03-16,81.181,81.342,80.427,80.7,433657100150,1,Tuesday,,
2004-03-17,80.69,80.808,79.602,80.214,426751900550,2,Wednesday,,
2004-03-18,80.23,80.398,79.241,80.205,430670500210,3,Thursday,,
2004-03-19,80.222,80.462,79.556,79.88,431670900510,4,Friday,,
2004-03-22,79.84,80.724,79.725,80.446,426622599820,0,Monday,-0.04,-0.0501
2004-03-23,80.465,80.515,79.985,80.276,429072599430,1,Tuesday,,
2004-03-24,80.276,80.598,78.872,79.055,431906899830,2,Wednesday,,
2004-03-25,79.064,79.149,78.108,78.381,433826300110,3,Thursday,,
2004-03-26,78.381,79.157,77.926,79.012,428859600730,4,Friday,,
2004-03-29,78.676,78.963,78.282,78.726,433673100100,0,Monday,-0.336,-0.4253
2004-03-30,78.767,79.815,78.62,79.592,406516600560,1,Tuesday,,
2004-03-31,79.61,79.979,78.575,79.859,434738900390,2,Wednesday,,
2004-04-01,79.833,79.906,79.028,79.43,436997700030,3,Thursday,,
2004-04-02,79.442,79.904,78.844,79.11,435087800750,4,Friday,,
2004-04-04,79.105,79.105,78.809,78.862,10997299940,6,Sunday,,
2004-04-05,78.827,79.558,78.53,79.046,437676699760,0,Monday,-0.035,-0.0444
2004-04-06,79.067,80.858,79.04,80.438,433009700130,1,Tuesday,,
2004-04-07,80.44,80.883,79.8,80.561,423562800420,2,Wednesday,,
2004-04-08,80.584,81.069,80.286,80.977,431575900100,3,Thursday,,
2004-04-09,81.021,81.341,80.77,81.182,385673600340,4,Friday,,
2004-04-12,81.138,81.387,80.613,80.658,423205399450,0,Monday,-0.044,-0.0542
2004-04-13,80.713,80.911,80.224,80.285,419327400210,1,Tuesday,,
2004-04-14,80.352,80.59,79.143,79.668,437409300250,2,Wednesday,,
2004-04-15,79.754,80.47,79.463,80.17,433621899380,3,Thursday,,
2004-04-16,80.213,80.725,79.835,80.046,429873400250,4,Friday,,
2004-04-19,80.191,81.085,80.105,80.812,426684499590,0,Monday,0.145,0.1811
2004-04-20,80.901,81.096,79.393,79.595,435887800050,1,Tuesday,,
2004-04-21,79.634,80.344,79.151,79.8,433821999740,2,Wednesday,,
2004-04-22,79.856,80.463,79.247,80.284,434319400500,3,Thursday,,
2004-04-23,80.318,80.495,79.233,79.86,435076199840,4,Friday,,
2004-04-26,79.547,79.956,79.293,79.68,433342099780,0,Monday,-0.313,-0.3919
2004-04-27,79.769,80.468,79.451,80.271,436074199680,1,Tuesday,,
2004-04-28,80.312,80.68,79.161,79.357,433838100420,2,Wednesday,,
2004-04-29,79.432,79.597,78.82,79.137,438268100670,3,Thursday,,
2004-04-30,79.222,79.829,78.838,79.524,434479799960,4,Friday,,
2004-05-03,79.647,79.788,78.983,79.43,428513700430,0,Monday,0.123,0.1547
2004-05-04,79.535,80.192,79.205,79.693,435666000110,1,Tuesday,,
2004-05-05,79.789,80.135,79.011,79.515,434323399900,2,Wednesday,,
2004-05-06,79.589,80.115,79.069,79.108,435946499600,3,Thursday,,
2004-05-07,79.17,79.83,78.729,78.856,435904800000,4,Friday,,
2004-05-10,78.735,79.205,78.369,78.975,435005800720,0,Monday,-0.121,-0.1534
2004-05-11,79.022,79.192,78.625,78.757,438020900350,1,Tuesday,,
2004-05-12,78.801,79.393,78.475,78.848,433822400000,2,Wednesday,,
2004-05-13,78.907,79.477,78.245,78.72,435033099620,3,Thursday,,
2004-05-14,78.784,79.075,78.306,78.898,438119699950,4,Friday,,
2004-05-17,78.91,79.093,78.089,78.271,438292300090,0,Monday,0.012,0.0152
2004-05-18,78.311,78.542,77.672,78.479,439458599750,1,Tuesday,,
2004-05-19,78.481,79.132,78.168,78.581,436370800310,2,Wednesday,,
2004-05-20,78.648,78.789,78.104,78.462,436860599740,3,Thursday,,
2004-05-21,78.486,78.725,78.162,78.244,435170399800,4,Friday,,
2004-05-24,78.297,78.851,78.247,78.592,437817000270,0,Monday,0.053,0.0677
2004-05-25,78.674,79.478,78.608,79.163,434779000350,1,Tuesday,,
2004-05-26,79.204,79.298,78.639,79.036,430393899930,2,Wednesday,,
2004-05-27,79.087,79.665,78.95,79.397,434374400180,3,Thursday,,
2004-05-28,79.457,79.681,78.455,78.682,440771999520,4,Friday,,
2004-05-31,78.63,78.675,78.005,78.193,321313500380,0,Monday,-0.052,-0.0661
2004-06-01,78.251,78.534,77.779,78.209,435479599750,1,Tuesday,,
2004-06-02,78.243,78.465,76.285,76.358,435989200050,2,Wednesday,,
2004-06-03,76.457,77.513,76.028,76.188,435697799880,3,Thursday,,
2004-06-04,76.256,77.335,76.22,77.269,432637000510,4,Friday,,
2004-06-07,77.194,77.598,76.947,77.364,437203799230,0,Monday,-0.075,-0.0971
2004-06-08,77.411,77.512,76.655,76.756,432228100110,1,Tuesday,,
2004-06-09,76.791,76.825,75.425,76.125,436641900150,2,Wednesday,,
2004-06-10,76.142,76.496,75.503,76.138,434314500290,3,Thursday,,
2004-06-11,76.156,76.443,75.817,76.106,432595299970,4,Friday,,
2004-06-14,76.266,76.836,75.638,76.233,436208299550,0,Monday,0.16,0.2102
2004-06-15,76.261,76.556,75.336,76.295,436693300060,1,Tuesday,,
2004-06-16,76.288,76.386,75.457,75.804,435770900630,2,Wednesday,,
2004-06-17,75.835,75.872,74.652,74.658,436963199400,3,Thursday,,
2004-06-18,74.734,75.054,74.158,74.92,436343100660,4,Friday,,
2004-06-21,74.919,75.206,74.428,75.053,437763699430,0,Monday,-0.001,-0.0013
2004-06-22,75.118,75.21,74.3,75.113,434299400680,1,Tuesday,,
2004-06-23,75.132,75.132,74.304,74.548,434659799910,2,Wednesday,,
2004-06-24,74.581,75.193,74.256,74.838,434921000260,3,Thursday,,
2004-06-25,74.924,75.421,74.829,75.295,436455800290,4,Friday,,
2004-06-28,75.364,75.675,74.91,75.371,435349999370,0,Monday,0.069,0.0916
2004-06-29,75.434,75.894,74.531,74.568,431978799830,1,Tuesday,,
2004-06-30,74.665,76.164,74.47,75.948,438068800030,2,Wednesday,,
2004-07-01,75.957,76.438,75.17,76.301,437604200000,3,Thursday,,
2004-07-02,76.371,77.484,76.222,77.223,431384500340,4,Friday,,
2004-07-05,77.248,77.796,77.078,77.535,434493500260,0,Monday,0.025,0.0324
2004-07-06,77.587,78.528,77.551,77.964,438577400340,1,Tuesday,,
2004-07-07,78.034,78.551,77.815,78.508,434335800330,2,Wednesday,,
2004-07-08,78.528,78.585,78.133,78.36,436688399700,3,Thursday,,
2004-07-09,78.401,78.637,77.773,77.983,436985199440,4,Friday,,
2004-07-12,78.039,78.878,77.815,78.657,430289400200,0,Monday,0.056,0.0718
2004-07-13,78.711,79.21,78.364,78.636,431808900060,1,Tuesday,,
2004-07-14,78.725,79.384,78.434,78.894,433514600040,2,Wednesday,,
2004-07-15,78.95,79.417,78.695,79.212,435871499560,3,Thursday,,
2004-07-16,79.274,79.615,78.98,79.473,429998200260,4,Friday,,
2004-07-19,79.605,79.901,79.092,79.121,433554300090,0,Monday,0.132,0.1661
2004-07-20,79.186,79.633,78.836,78.99,429433001120,1,Tuesday,,
2004-07-21,79.025,79.087,78.24,78.415,434611400150,2,Wednesday,,
2004-07-22,78.493,78.659,77.942,78.417,433576699670,3,Thursday,,
2004-07-23,78.445,78.553,77.815,78.074,432005200060,4,Friday,,
2004-07-26,78.137,78.299,77.546,77.906,427843300210,0,Monday,0.063,0.0807
2004-07-27,77.928,78.441,77.352,77.454,433736199890,1,Tuesday,,
2004-07-28,77.553,78.174,77.396,78.066,432738900300,2,Wednesday,,
2004-07-29,78.064,78.377,77.779,78.238,429637500170,3,Thursday,,
2004-07-30,78.297,78.508,77.854,78.106,433079700140,4,Friday,,
2004-08-02,78.208,78.38,77.718,77.804,432839799860,0,Monday,0.102,0.1306
2004-08-03,77.825,78.271,77.456,78.063,431529299560,1,Tuesday,,
2004-08-04,78.149,78.47,77.866,78.182,433397000050,2,Wednesday,,
2004-08-05,78.203,78.665,78.053,78.553,431796000560,3,Thursday,,
2004-08-06,78.622,78.881,77.881,78.752,431368299490,4,Friday,,
2004-08-09,78.814,79.409,78.626,79.058,435641099530,0,Monday,0.062,0.0787
2004-08-10,79.097,79.449,78.935,79.328,432593999880,1,Tuesday,,
2004-08-11,79.345,79.413,78.757,79.228,429386700210,2,Wednesday,,
2004-08-12,79.274,79.443,78.787,79.182,431383799510,3,Thursday,,
2004-08-13,79.212,79.57,78.89,79.237,430116599610,4,Friday,,
2004-08-16,79.353,79.655,78.86,79.221,430706999360,0,Monday,0.116,0.1464
2004-08-17,79.291,79.451,78.385,78.646,430844599910,1,Tuesday,,
2004-08-18,78.727,78.801,78.103,78.184,435189600460,2,Wednesday,,
2004-08-19,78.226,79.416,78.098,79.119,430088299890,3,Thursday,,
2004-08-20,79.215,79.321,78.811,78.932,438568899400,4,Friday,,
2004-08-23,79.052,79.109,77.968,78.278,430518299660,0,Monday,0.12,0.152
2004-08-24,78.325,78.371,76.886,77.119,428902800100,1,Tuesday,,
2004-08-25,77.193,78.009,76.951,77.698,433397100830,2,Wednesday,,
2004-08-26,77.713,77.93,76.769,77.047,438008999680,3,Thursday,,
2004-08-27,77.108,77.605,76.895,76.923,433491199740,4,Friday,,
2004-08-30,77.131,77.229,76.648,76.81,430325399760,0,Monday,0.208,0.2704
2004-08-31,76.842,77.484,76.627,76.745,431334699430,1,Tuesday,,
2004-09-01,76.822,77.209,76.713,76.948,429115900210,2,Wednesday,,
2004-09-02,76.983,76.992,75.842,76.285,431697499990,3,Thursday,,
2004-09-03,76.313,76.549,75.609,76.253,434883199450,4,Friday,,
2004-09-06,76.316,76.454,75.928,76.18,431051001080,0,Monday,0.063,0.0826
2004-09-07,76.225,76.377,75.638,75.819,435133800120,1,Tuesday,,
2004-09-08,75.897,76.21,75.329,76.021,431305299140,2,Wednesday,,
2004-09-09,76.112,76.274,75.17,75.387,432541899950,3,Thursday,,
2004-09-10,75.45,76.477,75.237,76.183,435273600070,4,Friday,,
2004-09-13,76.177,76.892,76.062,76.494,432471300390,0,Monday,-0.006,-0.0079
2004-09-14,76.555,77.161,76.491,76.882,434093100050,1,Tuesday,,
2004-09-15,76.909,77.061,76.259,76.393,435468500600,2,Wednesday,,
2004-09-16,76.465,76.815,76.086,76.513,436305899710,3,Thursday,,
2004-09-17,76.508,77.011,76.36,76.558,431174100540,4,Friday,,
2004-09-20,76.557,77.078,76.539,76.964,430010600270,0,Monday,-0.001,-0.0013
2004-09-21,76.971,77.239,76.794,77.053,433162200400,1,Tuesday,,
2004-09-22,77.073,78.219,77.039,78.17,441982299800,2,Wednesday,,
2004-09-23,78.169,79.137,78.043,78.978,434501900720,3,Thursday,,
2004-09-24,79.004,79.208,78.563,78.902,421255000560,4,Friday,,
2004-09-26,78.992,78.992,78.734,78.85,11096099990,6,Sunday,,
2004-09-27,78.845,79.5,78.513,79.335,432696600160,0,Monday,-0.005,-0.0063
2004-09-28,79.366,80.102,79.313,79.927,433775601170,1,Tuesday,,
2004-09-29,79.963,79.98,79.07,79.449,434990300960,2,Wednesday,,
2004-09-30,79.453,80.154,79.012,79.885,436109899390,3,Thursday,,
2004-10-01,79.931,80.278,79.633,80.173,422026600240,4,Friday,,
2004-10-03,80.134,80.154,79.951,80.019,9754600050,6,Sunday,,
2004-10-04,80.009,80.249,79.689,79.898,430310500320,0,Monday,-0.01,-0.0125
2004-10-05,79.917,80.596,79.571,80.463,430233099680,1,Tuesday,,
2004-10-06,80.478,80.651,80.078,80.41,435320300700,2,Wednesday,,
2004-10-07,80.381,80.992,80.263,80.833,431884700100,3,Thursday,,
2004-10-08,80.871,80.94,80.136,80.447,421808399700,4,Friday,,
2004-10-10,80.564,80.792,80.564,80.769,11916100080,6,Sunday,,
2004-10-11,80.781,80.843,79.988,80.17,429826100430,0,Monday,0.012,0.0149
2004-10-12,80.146,80.488,79.812,79.981,434045300070,1,Tuesday,,
2004-10-13,79.991,80.221,79.203,79.563,435450500090,2,Wednesday,,
2004-10-14,79.575,80.256,79.259,79.779,431936600130,3,Thursday,,
2004-10-15,79.813,80.137,79.494,79.865,421657200530,4,Friday,,
2004-10-17,79.789,79.832,79.623,79.751,11186400040,6,Sunday,,
2004-10-18,79.762,79.981,79.059,79.082,431571700250,0,Monday,0.011,0.0138
2004-10-19,79.097,79.329,78.532,78.697,433162599640,1,Tuesday,,
