Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2004-10-26,00:00:00,87.34,87.56,86.9,87.27,32506000000,1,Tuesday,,
2004-10-27,00:00:00,87.27,87.49,86.72,86.88,41477000000,2,Wednesday,,
2004-10-28,00:00:00,86.88,87.23,86.22,86.87,47867000000,3,Thursday,,
2004-10-29,00:00:00,86.87,87.08,86.59,86.83,40668000000,4,Friday,,
2004-11-01,00:00:00,86.83,87.3,86.77,87.07,39680000000,0,Monday,0.0,0.0
2004-11-02,00:00:00,87.06,87.15,86.45,86.54,38608000000,1,Tuesday,,
2004-11-03,00:00:00,86.45,87.89,86.43,87.83,40873000000,2,Wednesday,,
2004-11-04,00:00:00,87.83,88.19,87.65,87.84,47649000000,3,Thursday,,
2004-11-05,00:00:00,87.84,88.248,87.638,88.104,340844399470,4,Friday,,
2004-11-08,00:00:00,88.15,88.62,87.97,88.31,44726000000,0,Monday,0.046,0.05221
2004-11-09,00:00:00,88.29,88.74,88.02,88.07,43827000000,1,Tuesday,,
2004-11-10,00:00:00,88.05,89.73,88.0,89.67,38514000000,2,Wednesday,,
2004-11-11,00:00:00,89.67,89.67,88.99,89.11,33804000000,3,Thursday,,
2004-11-12,00:00:00,89.11,89.28,88.21,88.48,38332000000,4,Friday,,
2004-11-15,00:00:00,88.48,88.48,87.58,87.7,39561000000,0,Monday,0.0,0.0
2004-11-16,00:00:00,87.7,88.36,87.61,88.17,40816000000,1,Tuesday,,
2004-11-17,00:00:00,88.01,88.24,86.97,87.08,38993000000,2,Wednesday,,
2004-11-18,00:00:00,87.08,87.2,86.19,86.4,44620000000,3,Thursday,,
2004-11-19,00:00:00,86.4,86.574,85.603,86.278,392388623990,4,Friday,,
2004-11-22,00:00:00,86.3,87.26,86.23,87.03,38741000000,0,Monday,0.022,0.0255
2004-11-23,00:00:00,87.02,87.2,86.81,87.09,41482000000,1,Tuesday,,
2004-11-24,00:00:00,87.09,87.46,86.83,87.19,28950000000,2,Wednesday,,
2004-11-25,00:00:00,87.05,87.18,86.85,87.04,13254000000,3,Thursday,,
2004-11-26,00:00:00,87.04,87.49,86.88,87.46,14185000000,4,Friday,,
2005-07-19,00:00:00,87.46,92.7,87.46,92.38,12180000000,1,Tuesday,,
2005-07-20,00:00:00,92.38,93.0,92.13,92.47,61116000000,2,Wednesday,,
2005-07-21,00:00:00,92.47,92.5,90.38,90.58,100758000000,3,Thursday,,
2005-07-22,00:00:00,90.58,91.52,90.58,91.32,75420000000,4,Friday,,
2005-07-25,00:00:00,91.32,91.91,91.28,91.47,58464000000,0,Monday,0.0,0.0
2005-07-26,00:00:00,91.47,91.95,91.12,91.45,75727000000,1,Tuesday,,
2005-07-27,00:00:00,91.45,91.6,90.52,90.93,77454000000,2,Wednesday,,
2005-07-28,00:00:00,90.93,91.46,90.69,91.17,75180000000,3,Thursday,,
2005-07-29,00:00:00,91.17,91.91,90.91,91.89,71520000000,4,Friday,,
2005-08-01,00:00:00,91.89,92.72,91.72,92.58,69228000000,0,Monday,0.0,0.0
2005-08-02,00:00:00,92.58,92.62,91.42,91.43,68808000000,1,Tuesday,,
2005-08-03,00:00:00,91.43,92.08,91.25,91.28,66318000000,2,Wednesday,,
2005-08-04,00:00:00,91.28,91.97,91.22,91.6,73842000000,3,Thursday,,
2005-08-05,00:00:00,91.6,92.13,91.32,92.04,72726000000,4,Friday,,
2005-08-08,00:00:00,92.04,92.43,91.84,92.3,54516000000,0,Monday,0.0,0.0
2005-08-09,00:00:00,92.3,92.39,91.94,92.28,58608000000,1,Tuesday,,
2005-08-10,00:00:00,92.28,92.34,91.02,91.39,75420000000,2,Wednesday,,
2005-08-11,00:00:00,91.39,91.68,90.98,91.39,79992000000,3,Thursday,,
2005-08-12,00:00:00,91.39,91.81,91.11,91.37,74544000000,4,Friday,,
2005-08-15,00:00:00,91.37,91.77,90.97,91.02,58080000000,0,Monday,0.0,0.0
2005-08-16,00:00:00,91.02,91.51,90.67,91.38,67182000000,1,Tuesday,,
2005-08-17,00:00:00,91.38,91.57,90.56,90.58,71658000000,2,Wednesday,,
2005-08-18,00:00:00,90.58,90.98,90.35,90.65,68844000000,3,Thursday,,
2005-08-19,00:00:00,90.65,91.25,90.48,91.19,61410000000,4,Friday,,
2005-08-22,00:00:00,91.19,91.28,90.49,91.25,57312000000,0,Monday,0.0,0.0
2005-08-23,00:00:00,91.25,91.94,91.02,91.73,65934000000,1,Tuesday,,
2005-08-24,00:00:00,91.73,92.64,91.71,92.54,77454000000,2,Wednesday,,
2005-08-25,00:00:00,92.54,92.93,92.19,92.28,64392000000,3,Thursday,,
2005-08-26,00:00:00,92.28,92.58,91.57,91.89,67710000000,4,Friday,,
2005-08-29,00:00:00,91.89,92.8,91.85,92.15,62484000000,0,Monday,0.0,0.0
2005-08-30,00:00:00,92.15,93.6,92.15,93.31,66294000000,1,Tuesday,,
2005-08-31,00:00:00,93.31,93.81,93.05,93.1,84756000000,2,Wednesday,,
2005-09-01,00:00:00,93.1,93.17,92.71,92.75,58284000000,3,Thursday,,
2005-09-02,00:00:00,92.75,93.0,92.05,92.31,81024000000,4,Friday,,
2005-09-05,00:00:00,92.31,92.37,91.72,91.91,34164000000,0,Monday,0.0,0.0
2005-09-06,00:00:00,91.91,92.49,91.6,92.19,64359000000,1,Tuesday,,
2005-09-07,00:00:00,92.19,92.97,91.89,92.63,76650000000,2,Wednesday,,
2005-09-08,00:00:00,92.63,93.55,92.52,93.51,63371000000,3,Thursday,,
2005-09-09,00:00:00,93.51,93.86,93.03,93.06,74154000000,4,Friday,,
2005-09-12,00:00:00,93.06,93.08,92.57,92.92,33568000000,0,Monday,0.0,0.0
2005-09-13,00:00:00,92.92,94.0,92.76,93.61,69084000000,1,Tuesday,,
2005-09-14,00:00:00,93.61,93.8,92.97,93.48,70048000000,2,Wednesday,,
2005-09-15,00:00:00,93.46,93.6,92.76,93.35,75108000000,3,Thursday,,
2005-09-16,00:00:00,93.35,94.5,93.26,94.35,70806000000,4,Friday,,
2005-09-19,00:00:00,94.35,95.52,94.16,95.47,64500000000,0,Monday,0.0,0.0
2005-09-20,00:00:00,95.47,95.77,95.12,95.6,70962000000,1,Tuesday,,
2005-09-21,00:00:00,95.6,95.82,94.97,95.3,71388000000,2,Wednesday,,
2005-09-22,00:00:00,95.3,95.78,95.22,95.34,73411000000,3,Thursday,,
2005-09-23,00:00:00,95.34,96.12,94.92,96.05,48951000000,4,Friday,,
2005-09-26,00:00:00,95.77,96.04,95.26,95.61,7218000000,0,Monday,-0.28,-0.29151
2005-09-27,00:00:00,95.61,96.55,95.61,96.17,9919000000,1,Tuesday,,
2005-09-28,00:00:00,96.17,96.47,95.69,96.33,8476000000,2,Wednesday,,
2005-09-29,00:00:00,96.33,96.65,95.9,96.45,7511000000,3,Thursday,,
2005-09-30,00:00:00,96.45,97.9,96.29,97.57,11442000000,4,Friday,,
2005-10-03,00:00:00,97.57,98.21,97.57,97.89,11849000000,0,Monday,0.0,0.0
2005-10-04,00:00:00,97.89,98.14,97.3,97.4,12564000000,1,Tuesday,,
2005-10-05,00:00:00,97.4,97.55,96.27,96.4,16656000000,2,Wednesday,,
2005-10-06,00:00:00,96.4,96.66,95.67,95.89,20472000000,3,Thursday,,
2005-10-07,00:00:00,95.89,97.04,95.89,96.73,12801000000,4,Friday,,
2005-10-10,00:00:00,96.73,97.44,96.61,97.06,6327000000,0,Monday,0.0,0.0
2005-10-11,00:00:00,97.06,97.49,96.52,97.38,12878000000,1,Tuesday,,
2005-10-12,00:00:00,97.38,97.83,97.26,97.58,11590000000,2,Wednesday,,
2005-10-13,00:00:00,97.58,98.0,96.58,96.79,60310000000,3,Thursday,,
2005-10-14,00:00:00,96.79,97.15,95.96,96.1,91036000000,4,Friday,,
2005-10-17,00:00:00,96.1,97.49,96.1,97.38,69031000000,0,Monday,0.0,0.0
2005-10-18,00:00:00,97.38,98.29,97.38,98.21,71061000000,1,Tuesday,,
2005-10-19,00:00:00,98.21,98.52,97.84,98.09,73712000000,2,Wednesday,,
2005-10-20,00:00:00,98.09,98.62,97.83,97.92,48567000000,3,Thursday,,
2005-10-21,00:00:00,97.92,98.17,97.52,97.56,40712000000,4,Friday,,
2005-10-24,00:00:00,97.56,97.74,96.78,97.23,75001000000,0,Monday,0.0,0.0
2005-10-25,00:00:00,97.23,97.99,97.15,97.84,105045000000,1,Tuesday,,
