Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2013-10-01,00:00:00,8619.2,8691.2,8613.4,8686.2,4264000,1,Tuesday,,
2013-10-02,00:00:00,8652.0,8670.9,8585.3,8628.1,4358000,2,Wednesday,,
2013-10-03,00:00:00,8618.4,8643.36,8590.65,8596.27,3806000,3,Thursday,,
2013-10-04,00:00:00,8584.32,8637.72,8573.14,8623.09,4720000,4,Friday,,
2013-10-07,00:00:00,8526.62,8604.36,8516.29,8592.11,4566000,0,Monday,-96.47,-1.11874
2013-10-08,00:00:00,8591.53,8606.09,8553.64,8557.98,5190000,1,Tuesday,,
2013-10-09,00:00:00,8541.03,8588.7,8502.7,8513.61,5026000,2,Wednesday,,
2013-10-10,00:00:00,8592.07,8691.6,8587.95,8685.91,3280000,3,Thursday,,
2013-10-11,00:00:00,8708.62,8728.93,8697.13,8723.92,4450000,4,Friday,,
2013-10-14,00:00:00,8688.44,8723.68,8676.4,8702.8,3916000,0,Monday,-35.48,-0.4067
2013-10-15,00:00:00,8765.28,8795.85,8764.17,8795.85,1802000,1,Tuesday,,
2013-10-16,00:00:00,8804.43,8807.48,8788.33,8790.83,396000,2,Wednesday,,
2013-10-17,00:00:00,8798.72,8812.02,8769.12,8808.2,19714000,3,Thursday,,
2013-10-18,00:00:00,8809.72,8851.16,8804.8,8843.11,34174000,4,Friday,,
2013-10-21,00:00:00,8828.46,8876.13,8827.51,8867.21,11856000,0,Monday,-14.65,-0.16567
2013-10-22,00:00:00,8867.21,8987.62,8850.61,8953.35,21413170,1,Tuesday,,
2013-10-23,00:00:00,8951.82,8952.59,8897.49,8915.6,31594000,2,Wednesday,,
2013-10-24,00:00:00,8915.64,8976.17,8904.5,8957.16,14068000,3,Thursday,,
2013-10-25,00:00:00,8957.28,8987.02,8951.32,8977.64,17828000,4,Friday,,
2013-10-28,00:00:00,8984.5,8999.78,8951.3,8983.6,813380,0,Monday,6.86,0.07641
2013-10-29,00:00:00,8980.0,9039.0,8962.0,9030.8,15627080,1,Tuesday,,
2013-10-30,00:00:00,9027.2,9070.3,8976.3,9001.38,8932550,2,Wednesday,,
2013-10-31,00:00:00,8980.7,9052.3,8952.1,9019.4,12169740,3,Thursday,,
2013-11-01,00:00:00,9019.4,9046.3,8992.3,9026.3,10622660,4,Friday,,
2013-11-04,00:00:00,9022.8,9057.9,9007.81,9054.3,14303270,0,Monday,-3.5,-0.03878
2013-11-05,00:00:00,9046.87,9054.5,8963.0,9005.6,5858980,1,Tuesday,,
2013-11-06,00:00:00,9006.2,9064.8,8998.0,9034.9,629830,2,Wednesday,,
2013-11-07,00:00:00,9032.0,9193.8,9001.5,9021.7,13276850,3,Thursday,,
2013-11-08,00:00:00,9019.3,9097.7,8988.0,9078.26,8657410,4,Friday,,
2013-11-11,00:00:00,9083.0,9122.72,9063.8,9116.7,10646510,0,Monday,4.74,0.05221
2013-11-12,00:00:00,9117.3,9124.9,9057.3,9077.7,13305950,1,Tuesday,,
2013-11-13,00:00:00,9077.7,9124.5,8980.3,9113.1,12466770,2,Wednesday,,
2013-11-14,00:00:00,9111.3,9153.3,9101.3,9141.7,13468690,3,Thursday,,
2013-11-15,00:00:00,9142.3,9188.5,9128.9,9168.68,11981420,4,Friday,,
2013-11-18,00:00:00,9164.9,9254.8,9140.0,9197.8,11631160,0,Monday,-3.78,-0.04123
2013-11-19,00:00:00,9197.8,9217.3,9161.3,9179.7,12017680,1,Tuesday,,
2013-11-20,00:00:00,9179.1,9235.3,9142.3,9164.0,12962160,2,Wednesday,,
2013-11-21,00:00:00,9164.6,9217.0,9115.0,9210.7,831490,3,Thursday,,
2013-11-22,00:00:00,9211.3,9228.3,9169.0,9219.02,11972040,4,Friday,,
2013-11-25,00:00:00,9259.1,9324.3,9230.87,9285.4,11759550,0,Monday,40.08,0.43475
2013-11-26,00:00:00,9287.2,9316.46,9280.0,9303.4,9397620,1,Tuesday,,
2013-11-27,00:00:00,9303.4,9365.0,9290.04,9351.6,10887980,2,Wednesday,,
