Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2013-10-01,00:00:00,15131.66,15205.78,15114.67,15186.77,2962000,1,Tuesday,,
2013-10-02,00:00:00,15177.76,15177.76,15045.68,15127.67,2690000,2,Wednesday,,
2013-10-03,00:00:00,15120.76,15120.76,14946.68,14975.69,962000,3,Thursday,,
2013-10-04,00:00:00,14994.68,15083.92,14976.31,15076.43,3548000,4,Friday,,
2013-10-07,00:00:00,15072.58,15072.58,14922.43,14938.36,3894000,0,Monday,-3.85,-0.02554
2013-10-08,00:00:00,14936.24,14936.24,14773.57,14773.57,2594000,1,Tuesday,,
2013-10-09,00:00:00,14776.53,14852.3,14720.19,14805.07,2588000,2,Wednesday,,
2013-10-10,00:00:00,14802.98,15121.89,14802.97,15121.89,3034000,3,Thursday,,
2013-10-11,00:00:00,15101.92,15235.97,15101.92,15235.97,3254000,4,Friday,,
2013-10-16,00:00:00,15168.0,15168.0,15168.0,15168.0,4000,2,Wednesday,,
2013-10-17,00:00:00,15373.82,15373.82,15229.01,15309.67,6296000,3,Thursday,,
2013-10-18,00:00:00,15309.35,15385.96,15306.37,15353.37,16296000,4,Friday,,
2013-10-21,00:00:00,15399.64,15410.17,15362.65,15393.34,11316000,0,Monday,46.27,0.30137
2013-10-22,00:00:00,15393.48,15518.08,15367.5,15455.49,9577940,1,Tuesday,,
2013-10-23,00:00:00,15455.37,15500.8,15366.15,15410.28,18372000,2,Wednesday,,
2013-10-24,00:00:00,15410.22,15428.11,15371.91,15413.3,15294000,3,Thursday,,
2013-10-25,00:00:00,15509.19,15509.19,15509.18,15509.18,6000,4,Friday,,
2013-10-28,00:00:00,15529.55,15600.97,15528.77,15572.85,5211850,0,Monday,20.37,0.13134
2013-10-29,00:00:00,15581.64,15685.85,15545.76,15683.77,12090850,1,Tuesday,,
2013-10-30,00:00:00,15682.61,15736.75,15573.91,15601.9,9213110,2,Wednesday,,
2013-10-31,00:00:00,15584.65,15652.96,15543.82,15581.64,10440690,3,Thursday,,
