Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2003-08-05,00:00:00,136.662,137.028,135.797,136.413,244029899640,1,Tuesday,,
2003-08-06,00:00:00,136.442,136.96,135.987,136.273,248763099900,2,Wednesday,,
2003-08-07,00:00:00,136.253,136.41,135.165,135.224,241974400080,3,Thursday,,
2003-08-08,00:00:00,135.193,135.563,134.278,134.581,244836899930,4,Friday,,
2003-08-11,00:00:00,134.572,134.93,133.4,134.64,39364900020,0,Monday,-0.009,-0.00669
2003-08-12,00:00:00,134.64,134.99,133.74,133.94,32277000000,1,Tuesday,,
2003-08-13,00:00:00,133.94,134.99,133.51,134.88,32840000000,2,Wednesday,,
2003-08-14,00:00:00,134.89,135.34,133.81,134.14,29943000000,3,Thursday,,
2003-08-15,00:00:00,134.11,134.44,133.665,134.227,257119800170,4,Friday,,
2003-08-18,00:00:00,134.183,134.266,132.92,133.12,53163799930,0,Monday,-0.044,-0.03278
2003-08-19,00:00:00,133.11,133.23,131.59,131.84,33034000000,1,Tuesday,,
2003-08-20,00:00:00,131.83,132.32,130.78,131.27,33816000000,2,Wednesday,,
2003-08-21,00:00:00,131.3,131.38,128.15,128.63,33472000000,3,Thursday,,
2003-08-22,00:00:00,128.63,128.952,127.262,127.802,256825500460,4,Friday,,
2003-08-25,00:00:00,127.86,128.26,127.37,127.51,27845000000,0,Monday,0.058,0.04538
2003-08-26,00:00:00,127.52,128.02,126.65,127.4,30535000000,1,Tuesday,,
2003-08-27,00:00:00,127.38,128.72,127.29,127.82,31927000000,2,Wednesday,,
2003-08-28,00:00:00,127.75,128.17,126.86,127.67,30964000000,3,Thursday,,
2003-08-29,00:00:00,127.7,128.508,126.793,128.346,263030000040,4,Friday,,
2003-09-01,00:00:00,128.34,128.59,127.49,127.8,24868000000,0,Monday,-0.006,-0.00467
2003-09-02,00:00:00,127.8,127.93,125.46,125.97,36157000000,1,Tuesday,,
2003-09-03,00:00:00,125.97,126.19,124.98,125.65,48526000000,2,Wednesday,,
2003-09-04,00:00:00,125.73,127.82,125.26,127.76,40984000000,3,Thursday,,
2003-09-05,00:00:00,127.75,129.847,127.487,129.681,262666699680,4,Friday,,
2003-09-08,00:00:00,129.7,130.62,129.04,129.26,42852000000,0,Monday,0.019,0.01465
2003-09-09,00:00:00,129.25,131.37,128.9,131.13,42599000000,1,Tuesday,,
2003-09-10,00:00:00,131.1,131.4,130.18,131.22,49336000000,2,Wednesday,,
2003-09-11,00:00:00,131.24,132.13,130.16,131.21,53195000000,3,Thursday,,
2003-09-12,00:00:00,131.21,132.835,130.27,132.4,264047199520,4,Friday,,
2003-09-15,00:00:00,132.45,132.88,131.92,132.47,33592000000,0,Monday,0.05,0.03776
2003-09-16,00:00:00,132.51,132.64,129.49,129.81,36921000000,1,Tuesday,,
2003-09-17,00:00:00,129.81,131.47,129.2,130.89,49612000000,2,Wednesday,,
2003-09-18,00:00:00,130.89,131.07,129.29,129.73,44287000000,3,Thursday,,
2003-09-19,00:00:00,129.69,130.32,128.916,129.57,261369199950,4,Friday,,
2003-09-22,00:00:00,129.92,129.92,127.94,128.61,46184000000,0,Monday,0.35,0.27012
2003-09-23,00:00:00,128.59,128.75,127.48,128.44,37451000000,1,Tuesday,,
2003-09-24,00:00:00,128.51,128.57,127.43,128.46,36202000000,2,Wednesday,,
2003-09-25,00:00:00,128.44,129.09,127.98,128.91,39905000000,3,Thursday,,
2003-09-26,00:00:00,128.89,128.99,128.003,128.003,260514299490,4,Friday,,
2003-09-29,00:00:00,128.08,128.79,126.86,128.44,39500000000,0,Monday,0.077,0.06015
2003-09-30,00:00:00,128.51,130.23,128.37,129.97,38424000000,1,Tuesday,,
2003-10-01,00:00:00,129.98,130.11,129.18,129.58,37734000000,2,Wednesday,,
2003-10-02,00:00:00,129.65,130.53,129.26,129.44,37891000000,3,Thursday,,
2003-10-03,00:00:00,129.43,129.66,128.128,128.402,264908200190,4,Friday,,
2003-10-06,00:00:00,128.36,130.03,128.06,129.93,37940000000,0,Monday,-0.042,-0.03271
2003-10-07,00:00:00,129.93,130.37,128.8,129.25,37245000000,1,Tuesday,,
2003-10-08,00:00:00,129.25,129.81,128.9,129.39,37363000000,2,Wednesday,,
2003-10-09,00:00:00,129.41,129.63,127.55,128.07,40019000000,3,Thursday,,
2003-10-10,00:00:00,128.12,128.495,127.125,128.11,260647600130,4,Friday,,
2003-10-13,00:00:00,128.26,128.26,126.51,127.43,26697000000,0,Monday,0.15,0.11709
2003-10-14,00:00:00,127.47,128.57,126.66,127.6,32509000000,1,Tuesday,,
2003-10-15,00:00:00,127.59,128.0,127.13,127.39,33296000000,2,Wednesday,,
2003-10-16,00:00:00,127.42,127.9,127.16,127.37,34418000000,3,Thursday,,
2003-10-17,00:00:00,127.35,127.824,126.825,127.638,259305499870,4,Friday,,
2003-10-20,00:00:00,127.55,128.8,127.25,128.41,36954000000,0,Monday,-0.088,-0.06894
2003-10-21,00:00:00,128.38,128.48,127.48,127.7,34529000000,1,Tuesday,,
2003-10-22,00:00:00,127.7,128.8,127.56,128.58,31884000000,2,Wednesday,,
2003-10-23,00:00:00,128.61,129.99,128.45,129.11,36240000000,3,Thursday,,
2003-10-24,00:00:00,129.12,129.828,128.62,128.647,259108499910,4,Friday,,
2003-10-27,00:00:00,128.638,128.762,127.18,127.43,38629599980,0,Monday,-0.009,-0.007
2003-10-28,00:00:00,127.42,127.48,126.15,126.31,35673000000,1,Tuesday,,
2003-10-29,00:00:00,126.24,126.66,126.07,126.3,30006000000,2,Wednesday,,
2003-10-30,00:00:00,126.31,127.12,125.96,126.38,37944000000,3,Thursday,,
2003-10-31,00:00:00,126.37,127.89,126.2,127.4,36482000000,4,Friday,,
2003-11-03,00:00:00,127.215,128.12,126.83,127.15,41668100000,0,Monday,-0.185,-0.14521
2003-11-04,00:00:00,127.17,127.29,125.75,125.88,47212000000,1,Tuesday,,
2003-11-05,00:00:00,125.89,126.35,125.29,125.65,37434000000,2,Wednesday,,
2003-11-06,00:00:00,125.66,126.05,125.44,125.8,45117000000,3,Thursday,,
2003-11-07,00:00:00,125.75,126.16,125.44,126.1,48148000000,4,Friday,,
2003-11-10,00:00:00,125.732,126.33,124.12,124.93,41135700010,0,Monday,-0.368,-0.29183
2003-11-11,00:00:00,124.94,125.39,124.37,125.2,44509000000,1,Tuesday,,
2003-11-12,00:00:00,125.19,126.82,124.96,126.61,51352000000,2,Wednesday,,
2003-11-13,00:00:00,126.62,127.08,126.06,126.85,50600000000,3,Thursday,,
2003-11-14,00:00:00,126.84,127.67,126.65,127.54,49566000000,4,Friday,,
2003-11-17,00:00:00,127.722,129.35,127.615,127.94,62194900030,0,Monday,0.182,0.1427
2003-11-18,00:00:00,127.95,129.33,127.81,129.19,60996000000,1,Tuesday,,
2003-11-19,00:00:00,129.21,130.24,128.42,129.79,66955000000,2,Wednesday,,
2003-11-20,00:00:00,129.79,130.27,129.35,129.88,55710000000,3,Thursday,,
2003-11-21,00:00:00,129.88,130.11,128.91,129.55,48992000000,4,Friday,,
2003-11-24,00:00:00,129.519,129.85,128.41,128.67,56610200030,0,Monday,-0.031,-0.02393
2003-11-25,00:00:00,128.66,129.81,128.55,129.02,57868000000,1,Tuesday,,
2003-11-26,00:00:00,128.97,130.36,128.72,130.17,59446000000,2,Wednesday,,
2003-11-27,00:00:00,130.17,130.33,129.73,129.88,37497000000,3,Thursday,,
2003-11-28,00:00:00,129.86,131.54,129.83,131.47,56796000000,4,Friday,,
2003-12-01,00:00:00,131.355,132.28,130.77,131.08,77223299960,0,Monday,-0.115,-0.08747
2003-12-02,00:00:00,131.09,131.95,130.45,131.13,55786000000,1,Tuesday,,
2003-12-03,00:00:00,131.13,131.61,130.61,131.08,50166000000,2,Wednesday,,
2003-12-04,00:00:00,131.09,131.44,130.28,130.77,42485000000,3,Thursday,,
2003-12-05,00:00:00,130.75,131.17,130.48,130.94,44163000000,4,Friday,,
2003-12-08,00:00:00,131.027,131.46,130.72,131.19,49615100030,0,Monday,0.087,0.06644
2003-12-09,00:00:00,131.19,131.67,130.67,131.3,38034000000,1,Tuesday,,
2003-12-10,00:00:00,131.3,132.7,130.77,132.42,42434000000,2,Wednesday,,
2003-12-11,00:00:00,132.48,132.49,131.15,132.0,41013000000,3,Thursday,,
2003-12-12,00:00:00,132.0,132.53,131.67,132.4,34633000000,4,Friday,,
2003-12-15,00:00:00,131.526,132.61,131.209,132.5,50888200000,0,Monday,-0.874,-0.66012
2003-12-16,00:00:00,132.47,133.11,132.24,132.52,39136000000,1,Tuesday,,
2003-12-17,00:00:00,132.52,133.38,132.12,133.25,37128000000,2,Wednesday,,
2003-12-18,00:00:00,133.25,133.8,132.98,133.68,35321000000,3,Thursday,,
2003-12-19,00:00:00,133.66,133.88,133.2,133.36,29386000000,4,Friday,,
2003-12-22,00:00:00,133.551,133.75,133.12,133.26,43634600010,0,Monday,0.191,0.14322
2003-12-23,00:00:00,133.27,133.44,132.95,133.14,27373000000,1,Tuesday,,
2003-12-24,00:00:00,133.16,133.79,133.04,133.52,25213000000,2,Wednesday,,
2003-12-25,00:00:00,133.51,133.7,133.25,133.53,10061000000,3,Thursday,,
2003-12-26,00:00:00,133.54,133.75,133.06,133.53,19861000000,4,Friday,,
2003-12-29,00:00:00,133.582,133.78,133.03,133.64,39495799960,0,Monday,0.052,0.03894
2003-12-30,00:00:00,133.64,134.48,133.33,134.24,29062000000,1,Tuesday,,
2003-12-31,00:00:00,134.25,135.23,133.93,134.99,25925000000,2,Wednesday,,
2004-01-01,00:00:00,135.0,135.38,133.9,134.81,2394000000,3,Thursday,,
2004-01-02,00:00:00,134.74,135.16,134.02,134.69,29538000000,4,Friday,,
