Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2003-08-05,00:00:00,0.6464,0.64781,0.64035,0.64607,122336980080,1,Tuesday,,
2003-08-06,00:00:00,0.64659,0.65053,0.64496,0.64725,117152850040,2,Wednesday,,
2003-08-07,00:00:00,0.64729,0.65148,0.64391,0.65102,126714272550,3,Thursday,,
2003-08-08,00:00:00,0.65111,0.65347,0.64967,0.65209,122279979960,4,Friday,,
2003-08-11,00:00:00,0.65226,0.65952,0.64986,0.65782,131071199910,0,Monday,0.00017,0.02607
2003-08-12,00:00:00,0.65785,0.661,0.65521,0.65565,126003650030,1,Tuesday,,
2003-08-13,00:00:00,0.65589,0.65863,0.65201,0.65774,119816990120,2,Wednesday,,
2003-08-14,00:00:00,0.65815,0.65895,0.65453,0.65582,125878360990,3,Thursday,,
2003-08-15,00:00:00,0.656,0.66035,0.65529,0.65951,118210909870,4,Friday,,
2003-08-18,00:00:00,0.66009,0.66175,0.65473,0.65745,134005749850,0,Monday,0.00058,0.08794
2003-08-19,00:00:00,0.65755,0.6581,0.65197,0.65544,124529280010,1,Tuesday,,
2003-08-20,00:00:00,0.65592,0.6619,0.65362,0.66006,122234919920,2,Wednesday,,
2003-08-21,00:00:00,0.66002,0.66065,0.6506,0.6534,132049885430,3,Thursday,,
2003-08-22,00:00:00,0.65352,0.6546,0.64679,0.6519,128361739940,4,Friday,,
2003-08-25,00:00:00,0.6509,0.6532,0.64915,0.6493,129449329940,0,Monday,-0.001,-0.1534
2003-08-26,00:00:00,0.64965,0.65018,0.64157,0.64363,127098989920,1,Tuesday,,
2003-08-27,00:00:00,0.6438,0.6446,0.63632,0.6388,123946530090,2,Wednesday,,
2003-08-28,00:00:00,0.63905,0.64187,0.63497,0.64011,132844929960,3,Thursday,,
2003-08-29,00:00:00,0.6399,0.64928,0.63876,0.64665,125359960050,4,Friday,,
2003-09-01,00:00:00,0.64652,0.64805,0.6438,0.64533,123469080030,0,Monday,-0.00013,-0.0201
2003-09-02,00:00:00,0.64514,0.64595,0.63503,0.63611,121860419930,1,Tuesday,,
2003-09-03,00:00:00,0.63622,0.64145,0.63392,0.63986,123798970150,2,Wednesday,,
2003-09-04,00:00:00,0.63992,0.6433,0.63648,0.64204,132074789460,3,Thursday,,
2003-09-05,00:00:00,0.64201,0.64864,0.64047,0.64745,128187069870,4,Friday,,
2003-09-08,00:00:00,0.64664,0.65165,0.6442,0.64795,134426000000,0,Monday,-0.00081,-0.12511
2003-09-09,00:00:00,0.64815,0.66055,0.64619,0.65897,126896339850,1,Tuesday,,
2003-09-10,00:00:00,0.65908,0.65985,0.65583,0.65641,124032880040,2,Wednesday,,
2003-09-11,00:00:00,0.65645,0.66165,0.65378,0.65992,133004459880,3,Thursday,,
2003-09-12,00:00:00,0.66008,0.66409,0.6563,0.66296,124292390100,4,Friday,,
2003-09-15,00:00:00,0.66198,0.6668,0.66054,0.66506,132798700040,0,Monday,-0.00098,-0.14782
2003-09-16,00:00:00,0.66486,0.66702,0.65981,0.66278,126090980120,1,Tuesday,,
2003-09-17,00:00:00,0.66261,0.66585,0.65821,0.6654,123816639890,2,Wednesday,,
2003-09-18,00:00:00,0.66565,0.66944,0.663,0.66573,130183036090,3,Thursday,,
2003-09-19,00:00:00,0.66592,0.67338,0.66512,0.67227,126866920020,4,Friday,,
2003-09-22,00:00:00,0.67671,0.68373,0.67618,0.67707,137512349930,0,Monday,0.00444,0.66045
2003-09-23,00:00:00,0.67725,0.68097,0.67484,0.67484,126179490000,1,Tuesday,,
2003-09-24,00:00:00,0.67521,0.67926,0.67254,0.67709,123812459890,2,Wednesday,,
2003-09-25,00:00:00,0.67715,0.6824,0.67634,0.67848,133028412010,3,Thursday,,
2003-09-26,00:00:00,0.67844,0.68011,0.67295,0.67336,128946860030,4,Friday,,
2003-09-29,00:00:00,0.67545,0.67878,0.66759,0.6779,135820339920,0,Monday,0.00209,0.31038
2003-09-30,00:00:00,0.67802,0.68675,0.67498,0.67941,128389849990,1,Tuesday,,
2003-10-01,00:00:00,0.68025,0.6877,0.67898,0.68614,123173319890,2,Wednesday,,
2003-10-02,00:00:00,0.68621,0.6874,0.68115,0.68424,132190104050,3,Thursday,,
2003-10-03,00:00:00,0.68465,0.68571,0.67609,0.67875,127878400110,4,Friday,,
2003-10-06,00:00:00,0.67855,0.6858,0.67547,0.68491,136780380220,0,Monday,-0.0002,-0.02947
2003-10-07,00:00:00,0.68492,0.6918,0.68387,0.68907,125510230070,1,Tuesday,,
2003-10-08,00:00:00,0.68966,0.69313,0.68791,0.68914,120849090100,2,Wednesday,,
2003-10-09,00:00:00,0.68929,0.6957,0.68561,0.68931,132526963230,3,Thursday,,
2003-10-10,00:00:00,0.68943,0.69372,0.6866,0.69127,119433879900,4,Friday,,
2003-10-13,00:00:00,0.69233,0.69272,0.68568,0.68902,132363159970,0,Monday,0.00106,0.15334
2003-10-14,00:00:00,0.68918,0.6913,0.6821,0.68937,127287770070,1,Tuesday,,
2003-10-15,00:00:00,0.68927,0.6923,0.68501,0.68575,122043200100,2,Wednesday,,
2003-10-16,00:00:00,0.68568,0.69265,0.68547,0.68789,131955915600,3,Thursday,,
2003-10-17,00:00:00,0.68808,0.69323,0.6866,0.69229,123761760050,4,Friday,,
2003-10-20,00:00:00,0.69345,0.69505,0.68914,0.69091,138075539990,0,Monday,0.00116,0.16756
2003-10-21,00:00:00,0.69122,0.70035,0.69073,0.69933,126866499870,1,Tuesday,,
2003-10-22,00:00:00,0.69932,0.70735,0.69722,0.70452,120348409980,2,Wednesday,,
2003-10-23,00:00:00,0.70465,0.70655,0.69603,0.69943,133767198190,3,Thursday,,
2003-10-24,00:00:00,0.69944,0.70242,0.69786,0.6986,124638889970,4,Friday,,
2003-10-27,00:00:00,0.6984,0.70585,0.69777,0.70368,137891330200,0,Monday,-0.0002,-0.02863
2003-10-28,00:00:00,0.70395,0.70645,0.70084,0.7052,127014880100,1,Tuesday,,
2003-10-29,00:00:00,0.70495,0.70718,0.70237,0.70325,122541340080,2,Wednesday,,
2003-10-30,00:00:00,0.70317,0.71067,0.70195,0.7043,132028252130,3,Thursday,,
2003-10-31,00:00:00,0.7042,0.70972,0.70192,0.70799,128238509980,4,Friday,,
2003-11-03,00:00:00,0.70664,0.70912,0.69545,0.6963,136140289950,0,Monday,-0.00135,-0.19068
2003-11-04,00:00:00,0.69661,0.70375,0.69534,0.70292,128229569940,1,Tuesday,,
2003-11-05,00:00:00,0.70261,0.71195,0.70194,0.70822,124076709830,2,Wednesday,,
2003-11-06,00:00:00,0.70837,0.71245,0.70445,0.70672,133097162600,3,Thursday,,
2003-11-07,00:00:00,0.70646,0.70995,0.70326,0.7081,128068479930,4,Friday,,
2003-11-10,00:00:00,0.70834,0.7177,0.70827,0.71505,2131223441260,0,Monday,0.00024,0.03389
2003-11-11,00:00:00,0.71505,0.71645,0.71252,0.71512,247547399580,1,Tuesday,,
2003-11-12,00:00:00,0.71517,0.71912,0.71182,0.71652,122455999780,2,Wednesday,,
2003-11-13,00:00:00,0.71625,0.7224,0.71559,0.7207,131401117390,3,Thursday,,
2003-11-14,00:00:00,0.72081,0.72217,0.71714,0.72022,117147150080,4,Friday,,
2003-11-17,00:00:00,0.72016,0.72152,0.70927,0.71141,123714359920,0,Monday,-6e-05,-0.00833
2003-11-18,00:00:00,0.71131,0.72485,0.7089,0.72398,129406599930,1,Tuesday,,
2003-11-19,00:00:00,0.72415,0.72452,0.71972,0.72061,124301410030,2,Wednesday,,
2003-11-20,00:00:00,0.72065,0.72655,0.71995,0.72169,132519974370,3,Thursday,,
2003-11-21,00:00:00,0.72145,0.7247,0.7197,0.72325,117340309900,4,Friday,,
2003-11-24,00:00:00,0.72291,0.72425,0.71504,0.71822,121452740080,0,Monday,-0.00034,-0.04701
2003-11-25,00:00:00,0.71807,0.72125,0.71584,0.71893,126657940040,1,Tuesday,,
2003-11-26,00:00:00,0.7191,0.72495,0.71561,0.72352,124164049950,2,Wednesday,,
2003-11-27,00:00:00,0.72332,0.72415,0.72069,0.72214,127706167540,3,Thursday,,
2003-11-28,00:00:00,0.72239,0.72555,0.71853,0.7234,116091939930,4,Friday,,
2003-12-01,00:00:00,0.72332,0.72882,0.72226,0.72808,137164229850,0,Monday,-8e-05,-0.01106
2003-12-02,00:00:00,0.72808,0.7326,0.72566,0.7308,132940800000,1,Tuesday,,
2003-12-03,00:00:00,0.7307,0.73735,0.72904,0.73655,122617260000,2,Wednesday,,
