Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2003-08-05,00:00:00,193.833,194.397,191.95,193.572,116641299770,1,Tuesday,,
2003-08-06,00:00:00,193.522,194.186,192.815,193.499,118810299940,2,Wednesday,,
2003-08-07,00:00:00,193.536,193.589,191.575,192.44,117573599900,3,Thursday,,
2003-08-08,00:00:00,192.386,192.64,190.568,190.815,119159000000,4,Friday,,
2003-08-11,00:00:00,190.726,191.113,189.372,190.534,115736700080,0,Monday,-0.089,-0.04664
2003-08-12,00:00:00,190.593,190.989,189.431,190.165,118668199830,1,Tuesday,,
2003-08-13,00:00:00,190.159,191.931,189.668,191.541,116589000020,2,Wednesday,,
2003-08-14,00:00:00,191.386,192.463,190.352,190.756,117504599770,3,Thursday,,
2003-08-15,00:00:00,190.753,190.967,189.734,189.933,115407899780,4,Friday,,
2003-08-18,00:00:00,190.21,190.584,189.53,189.927,113916199910,0,Monday,0.277,0.14584
2003-08-19,00:00:00,189.991,190.095,187.65,187.836,119346999960,1,Tuesday,,
2003-08-20,00:00:00,187.789,188.938,187.684,188.156,120630599870,2,Wednesday,,
2003-08-21,00:00:00,188.338,188.383,185.357,185.66,108219599820,3,Thursday,,
2003-08-22,00:00:00,185.659,185.739,184.315,185.067,75194099910,4,Friday,,
2003-08-25,00:00:00,185.043,185.455,184.127,184.233,118447800010,0,Monday,-0.024,-0.01297
2003-08-26,00:00:00,184.272,184.828,183.312,183.978,119419599800,1,Tuesday,,
2003-08-27,00:00:00,183.985,185.475,183.824,184.498,117786599830,2,Wednesday,,
2003-08-28,00:00:00,184.491,185.397,183.578,185.052,118887700010,3,Thursday,,
2003-08-29,00:00:00,185.027,185.308,183.321,184.427,114225799970,4,Friday,,
2003-09-01,00:00:00,184.408,184.512,182.511,183.002,96958400000,0,Monday,-0.019,-0.0103
2003-09-02,00:00:00,183.026,183.713,181.916,182.662,117024500140,1,Tuesday,,
2003-09-03,00:00:00,182.622,182.701,181.235,181.996,116309899950,2,Wednesday,,
2003-09-04,00:00:00,181.951,184.967,181.515,184.637,121113999930,3,Thursday,,
2003-09-05,00:00:00,184.625,186.127,184.279,185.44,120237199990,4,Friday,,
2003-09-08,00:00:00,185.62,186.947,184.44,184.845,118896500010,0,Monday,0.18,0.09707
2003-09-09,00:00:00,184.856,186.021,183.541,185.799,118453599920,1,Tuesday,,
2003-09-10,00:00:00,185.756,186.447,185.273,186.331,119827499920,2,Wednesday,,
2003-09-11,00:00:00,186.31,187.037,185.465,186.745,119536799940,3,Thursday,,
2003-09-12,00:00:00,186.75,188.49,186.105,187.852,120121900060,4,Friday,,
2003-09-15,00:00:00,188.242,188.853,187.846,187.975,119711400100,0,Monday,0.39,0.20761
2003-09-16,00:00:00,187.96,188.28,184.003,184.342,118564100030,1,Tuesday,,
2003-09-17,00:00:00,184.299,187.349,184.042,186.651,119890200120,2,Wednesday,,
2003-09-18,00:00:00,186.653,187.046,185.719,186.302,120125600130,3,Thursday,,
2003-09-19,00:00:00,186.35,187.608,185.462,186.401,120541899950,4,Friday,,
2003-09-22,00:00:00,185.303,185.936,183.632,185.032,121638600130,0,Monday,-1.098,-0.58905
2003-09-23,00:00:00,185.051,185.491,183.305,185.312,119579200040,1,Tuesday,,
2003-09-24,00:00:00,185.314,185.45,183.946,185.302,120334699970,2,Wednesday,,
2003-09-25,00:00:00,185.324,186.303,184.641,186.09,120180699830,3,Thursday,,
2003-09-26,00:00:00,186.107,186.193,185.177,185.305,118572300080,4,Friday,,
2003-09-29,00:00:00,185.2,185.249,183.457,184.56,118646099860,0,Monday,-0.105,-0.05666
2003-09-30,00:00:00,184.557,186.24,183.94,185.242,120380699960,1,Tuesday,,
2003-10-01,00:00:00,185.236,185.395,183.192,184.594,120051400080,2,Wednesday,,
2003-10-02,00:00:00,184.558,185.493,184.37,184.843,120038800050,3,Thursday,,
2003-10-03,00:00:00,184.857,185.305,183.941,184.447,120121899970,4,Friday,,
2003-10-05,00:00:00,184.241,184.351,184.241,184.31,1870200000,6,Sunday,,
2003-10-06,00:00:00,184.312,186.181,183.896,185.209,118739599910,0,Monday,0.002,0.00109
2003-10-07,00:00:00,185.227,186.047,181.939,182.703,119511700160,1,Tuesday,,
2003-10-08,00:00:00,182.735,182.886,181.587,182.058,119806800070,2,Wednesday,,
2003-10-09,00:00:00,182.137,182.247,180.695,181.7,121127499680,3,Thursday,,
2003-10-10,00:00:00,181.705,181.925,180.04,180.679,116665899940,4,Friday,,
2003-10-12,00:00:00,180.47,180.515,180.425,180.48,482500000,6,Sunday,,
2003-10-13,00:00:00,180.5,181.721,179.356,181.411,116416899930,0,Monday,0.02,0.01108
2003-10-14,00:00:00,181.445,182.972,180.823,182.095,119626300030,1,Tuesday,,
