Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2011-09-20,00:00:00,8864.16,8864.16,8704.23,8721.24,531000000,1,Tuesday,,
2011-09-21,00:00:00,8717.0,8771.62,8707.28,8741.16,1008000000,2,Wednesday,,
2011-09-22,00:00:00,8634.65,8634.65,8545.46,8560.26,823000000,3,Thursday,,
2011-09-23,00:00:00,8560.26,8560.26,8560.26,8560.26,1000000,4,Friday,,
2012-02-06,00:00:00,8939.99,8949.32,8916.94,8929.2,1102000000,0,Monday,379.73,4.43596
2012-02-07,00:00:00,8904.16,8928.44,8887.4,8917.52,1118000000,1,Tuesday,,
2012-02-08,00:00:00,8971.88,9015.59,8957.04,9015.59,1165000000,2,Wednesday,,
2012-02-09,00:00:00,9015.59,9018.49,8942.87,9002.24,1177000000,3,Thursday,,
2012-02-10,00:00:00,9010.53,9016.97,8947.17,8947.17,1216000000,4,Friday,,
2012-02-13,00:00:00,8954.03,9023.5,8948.54,8999.18,1134000000,0,Monday,6.86,0.07667
2012-02-14,00:00:00,8999.18,9072.08,8972.74,9052.07,1211000000,1,Tuesday,,
2012-02-15,00:00:00,9108.84,9314.33,9107.68,9260.34,1208000000,2,Wednesday,,
2012-02-16,00:00:00,9232.38,9308.93,9214.23,9238.1,1224000000,3,Thursday,,
2012-02-17,00:00:00,9371.12,9435.03,9369.25,9384.17,1171000000,4,Friday,,
2012-02-20,00:00:00,9534.03,9547.58,9462.67,9485.09,1207000000,0,Monday,149.86,1.59694
2012-02-21,00:00:00,9458.68,9517.04,9440.41,9463.02,1202000000,1,Tuesday,,
2012-02-22,00:00:00,9463.02,9564.05,9442.96,9554.0,1207000000,2,Wednesday,,
2012-02-23,00:00:00,9549.77,9609.84,9513.65,9595.57,1220000000,3,Thursday,,
2012-02-24,00:00:00,9594.85,9647.38,9576.21,9647.38,1217000000,4,Friday,,
2012-02-27,00:00:00,9726.2,9736.11,9629.34,9633.93,1195000000,0,Monday,78.82,0.81701
2012-02-28,00:00:00,9567.12,9722.52,9528.77,9722.52,1164000000,1,Tuesday,,
2012-02-29,00:00:00,9771.62,9866.41,9706.22,9723.24,1193000000,2,Wednesday,,
2012-03-01,00:00:00,9771.34,9864.24,9666.02,9707.37,1168000000,3,Thursday,,
2012-03-02,00:00:00,9797.05,9800.66,9729.24,9777.03,1220000000,4,Friday,,
2012-03-05,00:00:00,9756.98,9792.14,9678.12,9698.59,1133000000,0,Monday,-20.05,-0.20507
2012-03-06,00:00:00,9704.61,9732.28,9602.84,9637.63,1206000000,1,Tuesday,,
2012-03-07,00:00:00,9637.63,9637.63,9509.1,9576.06,1216000000,2,Wednesday,,
2012-03-08,00:00:00,9674.94,9768.96,9659.15,9768.96,1135000000,3,Thursday,,
2012-03-09,00:00:00,9911.07,10007.62,9854.65,9929.74,1192000000,4,Friday,,
2012-03-12,00:00:00,10015.92,10019.06,9889.86,9889.86,1200000000,0,Monday,86.18,0.8679
2012-03-13,00:00:00,9921.25,10009.52,9890.7,9899.08,1157000000,1,Tuesday,,
2012-03-15,00:00:00,10140.12,10147.45,10111.04,10123.28,144000000,3,Thursday,,
2012-03-16,00:00:00,10110.57,10148.47,10090.09,10129.83,718000000,4,Friday,,
2012-03-19,00:00:00,10150.85,10172.64,10134.48,10141.99,1212000000,0,Monday,21.02,0.20751
2012-03-20,00:00:00,10141.99,10141.99,10141.99,10141.99,2000000,1,Tuesday,,
2012-03-21,00:00:00,10100.87,10132.02,10073.9,10086.49,1141000000,2,Wednesday,,
2012-03-22,00:00:00,10086.49,10136.47,10052.5,10127.08,1140000000,3,Thursday,,
2012-03-23,00:00:00,10014.87,10031.96,9999.37,10011.47,1217000000,4,Friday,,
2012-03-26,00:00:00,10040.1,10056.2,10016.05,10018.24,1130000000,0,Monday,28.63,0.28597
2012-03-27,00:00:00,10018.24,10255.15,10018.24,10255.15,1131000000,1,Tuesday,,
2012-03-28,00:00:00,10153.51,10196.81,10124.28,10182.57,1198000000,2,Wednesday,,
2012-03-29,00:00:00,10134.78,10146.53,10084.77,10114.79,1178000000,3,Thursday,,
2012-03-30,00:00:00,10089.1,10110.67,10033.19,10083.56,1175000000,4,Friday,,
2012-04-02,00:00:00,10161.72,10188.97,10111.66,10111.66,1171000000,0,Monday,78.16,0.77512
2012-04-03,00:00:00,10082.21,10084.07,10041.78,10050.39,1117000000,1,Tuesday,,
2012-04-04,00:00:00,10050.39,10059.19,9819.99,9819.99,1144000000,2,Wednesday,,
2012-04-05,00:00:00,9737.5,9805.96,9693.43,9767.61,1218000000,3,Thursday,,
2012-04-06,00:00:00,9710.25,9739.13,9659.16,9688.45,1223000000,4,Friday,,
2012-04-09,00:00:00,9565.31,9616.77,9536.59,9552.01,1148000000,0,Monday,-123.14,-1.271
2012-04-10,00:00:00,9583.36,9647.36,9509.72,9538.02,1172000000,1,Tuesday,,
2012-04-11,00:00:00,9538.02,9538.02,9389.18,9458.74,1133000000,2,Wednesday,,
2012-04-12,00:00:00,9486.19,9541.04,9449.49,9524.79,1209000000,3,Thursday,,
2012-04-13,00:00:00,9613.19,9689.52,9607.43,9637.99,1151000000,4,Friday,,
2012-04-16,00:00:00,9518.58,9526.28,9465.6,9472.36,1042000000,0,Monday,-119.41,-1.23895
2012-04-17,00:00:00,9476.15,9519.79,9455.36,9464.71,1152000000,1,Tuesday,,
2012-04-18,00:00:00,9594.3,9682.88,9594.3,9667.26,1208000000,2,Wednesday,,
2012-04-19,00:00:00,9667.26,9667.26,9565.83,9588.38,1183000000,3,Thursday,,
2012-04-20,00:00:00,9574.99,9580.87,9533.04,9561.36,1164000000,4,Friday,,
2012-04-23,00:00:00,9599.2,9643.27,9522.48,9542.17,1174000000,0,Monday,37.84,0.39576
2012-04-24,00:00:00,9542.17,9542.17,9424.21,9468.04,1210000000,1,Tuesday,,
2012-04-25,00:00:00,9578.42,9582.63,9530.02,9561.01,1144000000,2,Wednesday,,
2012-04-26,00:00:00,9561.01,9627.63,9531.03,9561.83,1146000000,3,Thursday,,
2012-04-27,00:00:00,9564.4,9688.05,9487.53,9520.89,1132000000,4,Friday,,
2012-04-30,00:00:00,9520.89,9520.89,9520.89,9520.89,1000000,0,Monday,0.0,0.0
2012-05-01,00:00:00,9471.66,9472.25,9332.79,9350.95,1163000000,1,Tuesday,,
2012-05-02,00:00:00,9350.95,9417.96,9344.53,9380.76,1166000000,2,Wednesday,,
2012-05-03,00:00:00,9380.25,9380.25,9380.25,9380.25,3000000,3,Thursday,,
2012-05-04,00:00:00,9380.25,9380.25,9380.25,9380.25,1000000,4,Friday,,
2012-05-07,00:00:00,9198.17,9206.18,9109.01,9119.14,1198000000,0,Monday,-182.08,-1.9411
2012-05-08,00:00:00,9190.5,9207.26,9160.96,9181.65,1160000000,1,Tuesday,,
2012-05-09,00:00:00,9181.65,9181.65,9021.2,9045.06,1193000000,2,Wednesday,,
2012-05-10,00:00:00,9045.06,9075.63,8985.91,9009.65,1131000000,3,Thursday,,
2012-05-11,00:00:00,9019.4,9050.61,8944.63,8953.31,1154000000,4,Friday,,
2012-05-14,00:00:00,8986.22,9031.09,8947.82,8973.84,1175000000,0,Monday,32.91,0.36757
2012-05-15,00:00:00,8910.85,8930.15,8838.78,8900.74,1204000000,1,Tuesday,,
2012-05-16,00:00:00,8865.78,8883.73,8756.07,8801.17,1153000000,2,Wednesday,,
2012-05-17,00:00:00,8789.47,8885.08,8765.71,8876.59,1214000000,3,Thursday,,
2012-05-18,00:00:00,8727.58,8735.54,8590.71,8611.31,1204000000,4,Friday,,
2012-05-21,00:00:00,8617.92,8676.2,8611.27,8633.89,1207000000,0,Monday,6.61,0.07676
2012-05-22,00:00:00,8721.59,8740.48,8691.33,8729.29,1149000000,1,Tuesday,,
2012-05-23,00:00:00,8729.29,8729.29,8538.69,8556.6,1146000000,2,Wednesday,,
2012-05-24,00:00:00,8556.6,8597.38,8497.06,8563.38,1091000000,3,Thursday,,
