Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2012-01-23,00:00:00,1315.38,1322.0,1309.89,1316.0,2566000000,0,Monday,,
2012-01-24,00:00:00,1316.0,1316.0,1306.16,1314.65,2510000000,1,Tuesday,,
2012-01-25,00:00:00,1314.65,1328.3,1307.81,1326.06,2562000000,2,Wednesday,,
2012-01-26,00:00:00,1326.06,1333.47,1313.67,1318.45,3360000000,3,Thursday,,
2012-01-27,00:00:00,1318.43,1320.06,1311.72,1319.27,3394000000,4,Friday,,
2012-01-30,00:00:00,1316.33,1316.33,1300.54,1313.01,3652000000,0,Monday,-2.94,-0.22285
2012-01-31,00:00:00,1313.01,1321.34,1306.69,1312.41,3395000000,1,Tuesday,,
2012-02-01,00:00:00,1312.41,1330.52,1312.41,1324.08,3509000000,2,Wednesday,,
2012-02-02,00:00:00,1324.09,1329.19,1321.57,1325.54,3820000000,3,Thursday,,
2012-02-03,00:00:00,1325.54,1345.34,1325.54,1344.9,3706000000,4,Friday,,
2012-02-06,00:00:00,1344.9,1344.9,1337.52,1344.33,3436000000,0,Monday,0.0,0.0
2012-02-07,00:00:00,1344.33,1349.24,1335.92,1347.05,3776000000,1,Tuesday,,
2012-02-08,00:00:00,1347.05,1351.0,1342.12,1349.96,2122000000,2,Wednesday,,
2012-02-09,00:00:00,1349.96,1354.2,1344.63,1351.95,2120000000,3,Thursday,,
2012-02-10,00:00:00,1351.95,1351.95,1337.35,1342.64,3871000000,4,Friday,,
2012-02-13,00:00:00,1342.64,1353.35,1342.64,1351.77,2634000000,0,Monday,0.0,0.0
2012-02-14,00:00:00,1351.77,1351.77,1340.83,1350.5,3717000000,1,Tuesday,,
2012-02-15,00:00:00,1350.5,1355.87,1340.85,1343.23,3587000000,2,Wednesday,,
2012-02-16,00:00:00,1343.23,1359.02,1341.22,1358.04,3876000000,3,Thursday,,
2012-02-17,00:00:00,1358.04,1363.4,1357.24,1361.23,3603000000,4,Friday,,
2012-02-21,00:00:00,1363.36,1367.76,1358.11,1362.21,2203000000,1,Tuesday,,
2012-02-22,00:00:00,1362.21,1362.7,1355.53,1357.66,3669000000,2,Wednesday,,
2012-02-23,00:00:00,1357.66,1364.24,1352.28,1363.46,3876000000,3,Thursday,,
2012-02-24,00:00:00,1363.46,1368.92,1363.46,1365.74,3700000000,4,Friday,,
2012-02-27,00:00:00,1365.74,1371.94,1354.99,1367.59,3674000000,0,Monday,0.0,0.0
