Date,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2003-05-06,118.591,118.751,117.29,117.5,581707000390,1,Tuesday,,
2003-05-07,117.456,117.83,116.052,116.303,584496201510,2,Wednesday,,
2003-05-08,116.311,116.969,115.94,116.823,588236700140,3,Thursday,,
2003-05-09,116.835,117.612,116.794,117.151,583132899300,4,Friday,,
2003-05-12,117.286,117.286,116.304,117.025,586660300290,0,Monday,0.135,0.1152
2003-05-13,117.053,117.528,116.338,116.561,584984398820,1,Tuesday,,
2003-05-14,116.554,116.837,115.557,116.16,586464899980,2,Wednesday,,
2003-05-15,116.173,116.525,115.282,116.515,585585098480,3,Thursday,,
2003-05-16,116.538,116.596,115.768,115.898,586008499920,4,Friday,,
2003-05-19,115.578,117.445,115.03,117.275,584904198560,0,Monday,-0.32,-0.2761
2003-05-20,117.239,117.382,116.565,116.656,584088201280,1,Tuesday,,
2003-05-21,116.71,117.507,116.479,117.217,588101199780,2,Wednesday,,
2003-05-22,117.216,117.752,116.878,117.176,582177800570,3,Thursday,,
2003-05-23,117.173,117.413,116.72,116.821,590246399750,4,Friday,,
2003-05-26,116.793,117.367,116.644,116.791,583042200880,0,Monday,-0.028,-0.024
2003-05-27,116.816,117.288,116.17,117.229,588924700770,1,Tuesday,,
2003-05-28,117.233,118.89,116.923,118.639,591922000100,2,Wednesday,,
2003-05-29,118.63,119.125,117.893,118.222,587138399510,3,Thursday,,
2003-05-30,118.223,119.616,117.902,119.283,580397799980,4,Friday,,
2003-06-02,119.521,119.631,118.303,118.51,539129600040,0,Monday,0.238,0.1995
2003-06-03,118.487,119.32,118.263,119.115,584692099320,1,Tuesday,,
2003-06-04,119.116,119.362,118.337,118.768,581157100240,2,Wednesday,,
2003-06-05,118.79,118.932,117.326,117.706,579461500610,3,Thursday,,
2003-06-06,117.691,118.912,117.551,118.665,583342899200,4,Friday,,
2003-06-09,118.637,118.76,117.783,118.137,580584200210,0,Monday,-0.028,-0.0236
2003-06-10,118.157,118.363,117.516,117.748,578869500490,1,Tuesday,,
2003-06-11,117.798,118.104,117.478,117.642,581342099940,2,Wednesday,,
2003-06-12,117.642,117.94,117.444,117.543,580964699650,3,Thursday,,
2003-06-13,117.587,117.861,117.154,117.457,578610400200,4,Friday,,
2003-06-16,117.327,117.779,117.143,117.567,587751600070,0,Monday,-0.13,-0.1107
2003-06-17,117.572,118.385,117.412,118.081,586952999860,1,Tuesday,,
2003-06-18,118.093,118.681,117.72,117.755,586807100800,2,Wednesday,,
2003-06-19,117.778,119.068,117.735,118.229,582876499190,3,Thursday,,
2003-06-20,118.263,118.613,117.987,118.268,576150200620,4,Friday,,
2003-06-23,118.364,118.605,117.451,117.626,574948799590,0,Monday,0.096,0.0812
2003-06-24,117.627,118.056,117.536,117.885,581943599970,1,Tuesday,,
2003-06-25,117.909,118.128,117.304,117.92,582694199540,2,Wednesday,,
2003-06-26,117.9,119.44,117.872,119.35,584320499850,3,Thursday,,
2003-06-27,119.332,120.044,119.138,119.619,586984899780,4,Friday,,
2003-06-30,119.597,120.249,119.535,119.683,585636199340,0,Monday,-0.022,-0.0184
2003-07-01,119.67,119.954,119.001,119.393,582651900630,1,Tuesday,,
2003-07-02,119.365,119.453,117.829,117.968,585936999920,2,Wednesday,,
2003-07-03,117.989,118.634,117.843,118.166,578623701300,3,Thursday,,
2003-07-04,118.159,118.497,117.944,118.093,588561499820,4,Friday,,
2003-07-07,117.959,118.306,117.804,118.122,585449500100,0,Monday,-0.134,-0.1135
2003-07-08,118.126,118.676,117.579,118.173,584021600090,1,Tuesday,,
2003-07-09,118.173,118.432,117.58,117.691,587930001610,2,Wednesday,,
2003-07-10,117.741,118.026,117.357,117.55,587810499700,3,Thursday,,
2003-07-11,117.514,117.985,117.507,117.635,587343499110,4,Friday,,
2003-07-14,117.742,117.831,117.281,117.588,579209599640,0,Monday,0.107,0.091
2003-07-15,117.598,117.913,116.65,117.807,579314799880,1,Tuesday,,
