Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2003-05-06,00:00:00,341.49,344.21,340.28,342.37,6868000,1,Tuesday,,
2003-05-07,00:00:00,342.65,344.19,339.0,341.16,6202250,2,Wednesday,,
2003-05-08,00:00:00,341.38,348.05,339.96,347.73,6143150,3,Thursday,,
2003-05-09,00:00:00,347.8,348.58,345.82,347.92,5786590,4,Friday,,
2003-05-12,00:00:00,348.16,351.58,347.73,350.4,9494090,0,Monday,0.24,0.06898
2003-05-13,00:00:00,350.39,351.26,348.54,349.13,11401460,1,Tuesday,,
2003-05-14,00:00:00,349.0,353.95,347.4,352.19,10366990,2,Wednesday,,
2003-05-15,00:00:00,351.96,355.22,350.21,351.57,10309340,3,Thursday,,
2003-05-16,00:00:00,351.21,355.07,350.49,353.9,9962560,4,Friday,,
2003-05-19,00:00:00,355.64,364.11,354.73,363.56,5587510,0,Monday,1.74,0.49166
2003-05-20,00:00:00,364.01,369.3,363.3,367.64,6602190,1,Tuesday,,
2003-05-21,00:00:00,367.89,372.0,362.75,371.5,6089840,2,Wednesday,,
2003-05-22,00:00:00,371.54,371.8,367.43,367.73,6085630,3,Thursday,,
2003-05-23,00:00:00,367.65,370.19,364.75,367.46,5558330,4,Friday,,
2003-05-26,00:00:00,367.94,370.49,367.54,369.97,5372700,0,Monday,0.48,0.13063
2003-05-27,00:00:00,369.96,374.19,365.8,366.46,6615070,1,Tuesday,,
2003-05-28,00:00:00,365.36,366.6,358.0,364.39,6109480,2,Wednesday,,
2003-05-29,00:00:00,364.15,365.0,359.6,364.58,6023140,3,Thursday,,
2003-05-30,00:00:00,364.74,368.8,363.0,363.74,5870570,4,Friday,,
2003-06-02,00:00:00,362.45,366.24,359.55,365.44,5562360,0,Monday,-1.29,-0.35465
2003-06-03,00:00:00,365.31,366.94,363.91,364.94,6745270,1,Tuesday,,
2003-06-04,00:00:00,364.79,365.34,360.36,360.7,6060490,2,Wednesday,,
2003-06-05,00:00:00,360.96,367.4,360.24,366.83,6202240,3,Thursday,,
2003-06-06,00:00:00,366.98,368.3,361.5,363.12,5733890,4,Friday,,
2003-06-09,00:00:00,362.81,365.19,360.36,360.95,5531980,0,Monday,-0.31,-0.08537
2003-06-10,00:00:00,360.85,361.57,351.08,351.41,6772930,1,Tuesday,,
2003-06-11,00:00:00,351.54,355.77,351.07,354.12,6205070,2,Wednesday,,
2003-06-12,00:00:00,354.17,355.12,350.34,352.73,6255420,3,Thursday,,
2003-06-13,00:00:00,352.67,356.1,351.44,355.7,5912740,4,Friday,,
2003-06-16,00:00:00,356.0,360.3,355.56,358.41,5618970,0,Monday,0.3,0.08434
2003-06-17,00:00:00,358.33,362.87,358.11,362.8,6762030,1,Tuesday,,
2003-06-18,00:00:00,362.6,363.87,356.18,356.5,6109720,2,Wednesday,,
2003-06-19,00:00:00,356.74,360.97,353.94,360.91,6245940,3,Thursday,,
2003-06-20,00:00:00,360.57,362.08,355.47,355.76,5708510,4,Friday,,
2003-06-23,00:00:00,355.89,357.17,351.67,351.78,5489200,0,Monday,0.13,0.03654
2003-06-24,00:00:00,351.91,354.26,345.34,345.68,6579810,1,Tuesday,,
2003-06-25,00:00:00,345.44,348.78,345.44,347.81,6107330,2,Wednesday,,
2003-06-26,00:00:00,347.7,348.27,342.71,343.08,6101880,3,Thursday,,
2003-06-27,00:00:00,343.0,345.69,341.69,344.61,6020770,4,Friday,,
2003-06-30,00:00:00,344.32,347.41,343.43,345.25,5634850,0,Monday,-0.29,-0.08415
2003-07-01,00:00:00,345.49,351.06,344.35,350.49,6726990,1,Tuesday,,
2003-07-02,00:00:00,350.25,352.3,349.08,350.26,5994830,2,Wednesday,,
2003-07-03,00:00:00,350.26,350.97,348.57,350.1,5830090,3,Thursday,,
2003-07-04,00:00:00,350.03,351.06,349.82,350.23,5678070,4,Friday,,
2003-07-07,00:00:00,350.16,351.47,346.84,347.17,5452900,0,Monday,-0.07,-0.01999
2003-07-08,00:00:00,347.22,348.03,342.76,343.56,6744280,1,Tuesday,,
2003-07-09,00:00:00,343.44,345.47,342.71,343.61,6066800,2,Wednesday,,
2003-07-10,00:00:00,343.64,345.38,341.25,344.29,6012550,3,Thursday,,
2003-07-11,00:00:00,344.11,344.6,342.5,344.34,5777490,4,Friday,,
2003-07-14,00:00:00,344.39,347.35,343.28,346.36,5646010,0,Monday,0.05,0.01452
2003-07-15,00:00:00,346.75,348.73,342.69,342.88,6632140,1,Tuesday,,
2003-07-16,00:00:00,342.78,344.02,340.48,342.56,6047650,2,Wednesday,,
2003-07-17,00:00:00,342.8,344.6,341.66,343.18,5996560,3,Thursday,,
2003-07-18,00:00:00,343.16,346.77,342.41,346.42,5614840,4,Friday,,
2003-07-21,00:00:00,346.13,351.49,345.75,350.72,5387950,0,Monday,-0.29,-0.08371
2003-07-22,00:00:00,350.48,352.32,348.81,350.1,6692500,1,Tuesday,,
2003-07-23,00:00:00,350.12,358.32,349.48,358.1,6704250,2,Wednesday,,
2003-07-24,00:00:00,357.95,361.96,355.99,361.94,7050220,3,Thursday,,
2003-07-25,00:00:00,361.8,362.97,358.81,362.03,6456140,4,Friday,,
2003-07-28,00:00:00,361.76,366.54,360.81,364.06,5405380,0,Monday,-0.27,-0.07458
2003-07-29,00:00:00,364.01,364.8,360.39,361.07,7162910,1,Tuesday,,
2003-07-30,00:00:00,360.88,361.34,354.37,355.22,6624610,2,Wednesday,,
2003-07-31,00:00:00,355.3,357.05,353.04,353.69,6602340,3,Thursday,,
2003-08-01,00:00:00,353.7,355.5,348.36,348.36,6100510,4,Friday,,
2003-08-04,00:00:00,348.1,349.59,346.05,348.07,5747710,0,Monday,-0.26,-0.07464
2003-08-05,00:00:00,349.0,351.34,347.65,350.83,9674200,1,Tuesday,,
2003-08-06,00:00:00,351.18,353.0,348.59,351.05,9412740,2,Wednesday,,
2003-08-07,00:00:00,350.88,353.35,348.69,352.39,9290180,3,Thursday,,
2003-08-08,00:00:00,352.39,357.19,351.68,356.3,8240250,4,Friday,,
2003-08-11,00:00:00,355.8,361.78,355.17,360.9,9181530,0,Monday,-0.5,-0.14033
2003-08-12,00:00:00,361.14,361.71,357.44,357.52,10576060,1,Tuesday,,
2003-08-13,00:00:00,358.0,363.6,354.95,361.65,10860960,2,Wednesday,,
2003-08-14,00:00:00,361.63,366.6,359.36,365.5,10833030,3,Thursday,,
2003-08-15,00:00:00,365.5,366.42,362.25,363.3,7248660,4,Friday,,
2003-08-18,00:00:00,362.35,362.99,357.13,357.68,8520650,0,Monday,-0.95,-0.26149
2003-08-19,00:00:00,357.7,362.2,355.43,361.6,9036890,1,Tuesday,,
2003-08-20,00:00:00,361.6,366.3,360.67,365.8,10077840,2,Wednesday,,
2003-08-21,00:00:00,365.36,366.14,357.86,360.08,10390670,3,Thursday,,
2003-08-22,00:00:00,360.19,363.69,357.23,362.07,9528100,4,Friday,,
2003-08-25,00:00:00,362.55,363.39,359.7,360.8,9359760,0,Monday,0.48,0.13257
2003-08-26,00:00:00,360.62,365.5,358.39,363.63,10362400,1,Tuesday,,
2003-08-27,00:00:00,364.0,373.69,362.1,371.77,10990680,2,Wednesday,,
2003-08-28,00:00:00,371.92,372.19,367.96,368.67,10931130,3,Thursday,,
2003-08-29,00:00:00,369.19,376.7,368.15,374.89,8374390,4,Friday,,
2003-09-01,00:00:00,374.36,378.1,373.26,375.1,6186300,0,Monday,-0.53,-0.14137
2003-09-02,00:00:00,374.62,378.7,370.74,371.5,11092790,1,Tuesday,,
2003-09-03,00:00:00,371.29,375.1,368.79,373.19,10627430,2,Wednesday,,
2003-09-04,00:00:00,373.19,374.39,368.96,372.5,10520930,3,Thursday,,
2003-09-05,00:00:00,372.7,378.3,369.54,376.69,8729370,4,Friday,,
2003-09-08,00:00:00,376.58,376.64,372.51,374.43,9455750,0,Monday,-0.11,-0.0292
2003-09-09,00:00:00,374.53,382.95,374.22,382.17,11444120,1,Tuesday,,
2003-09-10,00:00:00,381.57,382.27,377.36,379.81,10696130,2,Wednesday,,
2003-09-11,00:00:00,379.61,380.72,374.49,379.55,10381350,3,Thursday,,
2003-09-12,00:00:00,379.39,381.06,374.1,374.8,8540210,4,Friday,,
2003-09-15,00:00:00,374.84,376.41,372.01,373.8,9495320,0,Monday,0.04,0.01067
2003-09-16,00:00:00,373.31,375.77,370.79,372.62,10216940,1,Tuesday,,
2003-09-17,00:00:00,372.46,376.56,371.37,375.78,9522500,2,Wednesday,,
2003-09-18,00:00:00,376.17,379.4,374.34,375.68,8697180,3,Thursday,,
2003-09-19,00:00:00,375.93,382.87,374.13,381.14,7762340,4,Friday,,
2003-09-22,00:00:00,380.38,387.37,379.84,386.4,10862960,0,Monday,-0.76,-0.1994
2003-09-23,00:00:00,386.01,387.3,382.35,383.85,10331270,1,Tuesday,,
2003-09-24,00:00:00,384.3,388.4,382.55,388.4,11492860,2,Wednesday,,
2003-09-25,00:00:00,388.39,393.12,383.06,384.55,12341360,3,Thursday,,
2003-09-26,00:00:00,384.9,385.85,378.39,380.4,9918190,4,Friday,,
2003-09-29,00:00:00,380.46,384.47,378.04,381.6,10245840,0,Monday,0.06,0.01577
2003-09-30,00:00:00,381.68,387.92,380.59,384.69,11906990,1,Tuesday,,
2003-10-01,00:00:00,384.89,385.58,381.77,384.29,9933060,2,Wednesday,,
2003-10-02,00:00:00,383.89,386.24,380.27,382.4,11328570,3,Thursday,,
2003-10-03,00:00:00,382.38,385.53,366.87,369.1,9943640,4,Friday,,
2003-10-06,00:00:00,369.1,372.98,368.5,372.27,10198030,0,Monday,0.0,0.0
2003-10-07,00:00:00,372.38,376.75,371.66,375.73,10047920,1,Tuesday,,
2003-10-08,00:00:00,375.86,377.27,373.68,374.48,8370690,2,Wednesday,,
2003-10-09,00:00:00,374.66,376.45,367.21,368.5,9149120,3,Thursday,,
2003-10-10,00:00:00,368.24,373.36,368.03,372.6,8482740,4,Friday,,
2003-10-13,00:00:00,373.08,374.73,368.76,374.28,9813160,0,Monday,0.48,0.12882
2003-10-14,00:00:00,373.96,376.28,371.22,374.81,10630270,1,Tuesday,,
2003-10-15,00:00:00,374.81,375.57,370.51,372.12,10718630,2,Wednesday,,
2003-10-16,00:00:00,372.3,374.57,369.94,371.09,12356520,3,Thursday,,
2003-10-17,00:00:00,371.35,372.06,365.94,370.92,9215040,4,Friday,,
2003-10-20,00:00:00,370.86,373.98,369.0,372.65,9343610,0,Monday,-0.06,-0.01618
2003-10-21,00:00:00,372.5,381.31,371.98,380.15,10566750,1,Tuesday,,
2003-10-22,00:00:00,379.99,386.95,379.12,385.03,10681200,2,Wednesday,,
2003-10-23,00:00:00,385.39,387.21,381.88,383.5,11894740,3,Thursday,,
2003-10-24,00:00:00,383.74,391.83,383.09,387.99,8182690,4,Friday,,
2003-10-27,00:00:00,387.5,388.06,384.71,387.47,9217370,0,Monday,-0.49,-0.12629
2003-10-28,00:00:00,387.08,387.78,381.51,381.96,9686830,1,Tuesday,,
2003-10-29,00:00:00,382.13,387.02,378.99,385.81,10350120,2,Wednesday,,
2003-10-30,00:00:00,385.76,390.96,381.26,382.7,10411080,3,Thursday,,
2003-10-31,00:00:00,382.58,388.61,380.87,383.62,8739700,4,Friday,,
2003-11-03,00:00:00,383.61,384.65,375.45,375.81,8085210,0,Monday,-0.01,-0.00261
2003-11-04,00:00:00,375.99,380.5,375.66,378.98,9547770,1,Tuesday,,
2003-11-05,00:00:00,378.74,384.0,377.99,380.7,10312700,2,Wednesday,,
2003-11-06,00:00:00,380.69,383.5,378.35,379.5,10729430,3,Thursday,,
2003-11-07,00:00:00,379.5,383.14,375.08,382.6,7834370,4,Friday,,
2003-11-10,00:00:00,382.49,386.89,381.68,385.29,9759100,0,Monday,-0.11,-0.02875
2003-11-11,00:00:00,385.5,388.3,384.73,387.5,10022930,1,Tuesday,,
2003-11-12,00:00:00,387.3,395.8,386.32,393.6,10789260,2,Wednesday,,
2003-11-13,00:00:00,393.38,397.1,391.99,394.19,11629640,3,Thursday,,
2003-11-14,00:00:00,393.75,398.7,393.09,397.02,9541570,4,Friday,,
2003-11-17,00:00:00,396.32,398.74,385.3,390.59,10974110,0,Monday,-0.7,-0.17631
2003-11-18,00:00:00,390.33,398.3,389.43,398.08,10788460,1,Tuesday,,
2003-11-19,00:00:00,398.3,400.05,391.77,394.31,10269420,2,Wednesday,,
2003-11-20,00:00:00,394.6,396.7,390.98,394.0,10228590,3,Thursday,,
2003-11-21,00:00:00,393.77,397.5,391.84,395.6,8612440,4,Friday,,
2003-11-24,00:00:00,395.24,395.94,389.31,390.73,8979940,0,Monday,-0.36,-0.091
2003-11-25,00:00:00,391.0,392.7,388.59,390.26,9353420,1,Tuesday,,
2003-11-26,00:00:00,390.8,400.3,389.82,395.62,8861620,2,Wednesday,,
2003-11-27,00:00:00,395.92,396.8,394.28,394.49,4429650,3,Thursday,,
2003-11-28,00:00:00,394.8,398.6,393.74,397.7,5936960,4,Friday,,
2003-12-01,00:00:00,397.1,402.97,395.85,401.24,10093820,0,Monday,-0.6,-0.15087
2003-12-02,00:00:00,401.49,405.39,398.17,402.52,9793060,1,Tuesday,,
2003-12-03,00:00:00,402.45,404.39,400.28,404.05,10131160,2,Wednesday,,
2003-12-04,00:00:00,403.83,404.5,398.83,401.84,11117670,3,Thursday,,
2003-12-05,00:00:00,402.3,406.1,398.79,405.62,8292450,4,Friday,,
2003-12-08,00:00:00,405.38,408.87,403.94,406.44,9888620,0,Monday,-0.24,-0.05917
2003-12-09,00:00:00,406.24,409.1,404.68,407.8,10019880,1,Tuesday,,
2003-12-10,00:00:00,407.37,411.6,404.09,404.79,10455660,2,Wednesday,,
2003-12-11,00:00:00,404.93,406.1,401.57,404.32,11475940,3,Thursday,,
2003-12-12,00:00:00,404.5,409.0,403.61,408.4,8064550,4,Friday,,
2003-12-15,00:00:00,408.2,410.3,400.77,409.0,10711490,0,Monday,-0.2,-0.04897
