"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"AUDJPY_DukasM1_the5ers";"Buy";"2003.12.11 22:00:00";"79.810";"0.1";"2003.12.17 17:31:00";"79.345";"-31.01";"9968.99";"IS";"TrailingStop";"-30.41";"24.13";"5d 19h 31m";""
"2";"AUDJPY_DukasM1_the5ers";"Buy";"2003.12.31 11:00:00";"80.264";"0.11";"2004.01.08 16:01:00";"82.113";"132.16";"10101.14";"IS";"PT";"-12.52";"133.00";"8d 5h 1m";""
"3";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.09 04:00:00";"82.209";"0.11";"2004.01.15 07:16:00";"82.033";"-13.39";"10087.75";"IS";"TrailingStop";"-12.66";"104.52";"6d 3h 16m";""
"4";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.12 11:00:00";"82.840";"0.11";"2004.02.19 22:05:00";"84.790";"139.51";"10227.27";"IS";"PT";"-9.14";"140.27";"7d 11h 5m";""
"5";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.19 23:00:00";"84.748";"0.1";"2004.02.20 19:41:00";"83.984";"-50.49";"10176.78";"IS";"TrailingStop";"-49.96";"15.30";"20h 41m";""
"6";"AUDJPY_DukasM1_the5ers";"Buy";"2004.03.08 11:00:00";"85.010";"0.07";"2004.03.10 05:18:00";"83.896";"-51.38";"10125.40";"IS";"TrailingStop";"-50.99";"6.13";"1d 18h 18m";""
"7";"AUDJPY_DukasM1_the5ers";"Buy";"2004.04.07 17:00:00";"80.524";"0.08";"2004.04.13 09:56:00";"80.357";"-9.27";"10116.13";"IS";"TrailingStop";"-12.45";"45.15";"5d 16h 56m";""
"8";"AUDJPY_DukasM1_the5ers";"Buy";"2004.05.26 11:00:00";"79.257";"0.09";"2004.05.28 18:27:00";"78.641";"-36.80";"10079.33";"IS";"TrailingStop";"-36.37";"24.95";"2d 7h 27m";""
"9";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.01 14:00:00";"76.026";"0.08";"2004.07.06 08:02:00";"78.456";"126.66";"10205.99";"IS";"PT";"-21.40";"127.12";"4d 18h 2m";""
"10";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.06 09:00:00";"78.518";"0.1";"2004.07.20 16:55:00";"78.880";"22.80";"10228.79";"IS";"TrailingStop";"-48.72";"90.44";"14d 7h 55m";""
"11";"AUDJPY_DukasM1_the5ers";"Buy";"2004.08.06 11:00:00";"78.548";"0.12";"2004.08.17 17:34:00";"78.643";"6.57";"10235.35";"IS";"TrailingStop";"-52.34";"86.87";"11d 6h 34m";""
"12";"AUDJPY_DukasM1_the5ers";"Buy";"2004.08.20 11:00:00";"79.077";"0.11";"2004.08.23 21:08:00";"78.272";"-58.48";"10176.87";"IS";"TrailingStop";"-57.90";"16.26";"3d 10h 8m";""
"13";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.21 05:00:00";"76.951";"0.13";"2004.09.23 10:27:00";"78.606";"139.90";"10316.77";"IS";"PT";"-13.35";"140.69";"2d 5h 27m";""
"14";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.23 11:00:00";"78.856";"0.11";"2004.09.29 17:23:00";"79.099";"16.81";"10333.58";"IS";"TrailingStop";"-24.67";"89.63";"6d 6h 23m";""
"15";"AUDJPY_DukasM1_the5ers";"Buy";"2004.10.01 03:00:00";"79.941";"0.1";"2004.10.11 14:41:00";"80.055";"6.74";"10340.32";"IS";"TrailingStop";"-24.20";"68.73";"10d 11h 41m";""
"16";"AUDJPY_DukasM1_the5ers";"Buy";"2004.11.04 11:00:00";"80.272";"0.12";"2004.11.19 04:49:00";"80.790";"39.57";"10379.89";"IS";"TrailingStop";"-40.65";"112.45";"14d 17h 49m";""
"17";"AUDJPY_DukasM1_the5ers";"Buy";"2004.12.22 17:00:00";"79.787";"0.11";"2005.01.03 05:41:00";"79.679";"-8.67";"10371.22";"IS";"TrailingStop";"-46.54";"65.75";"11d 12h 41m";""
"18";"AUDJPY_DukasM1_the5ers";"Buy";"2005.01.26 12:00:00";"79.632";"0.11";"2005.02.04 13:22:00";"79.970";"23.44";"10394.65";"IS";"TrailingStop";"-6.69";"86.82";"9d 1h 22m";""
"19";"AUDJPY_DukasM1_the5ers";"Buy";"2005.02.08 07:00:00";"80.606";"0.11";"2005.02.10 14:38:00";"82.435";"130.89";"10525.55";"IS";"PT";"-12.59";"131.56";"2d 7h 38m";""
"20";"AUDJPY_DukasM1_the5ers";"Buy";"2005.02.10 15:00:00";"82.475";"0.11";"2005.02.14 07:06:00";"82.219";"-19.02";"10506.53";"IS";"TrailingStop";"-18.41";"50.64";"3d 16h 6m";""
"21";"AUDJPY_DukasM1_the5ers";"Buy";"2005.02.14 21:00:00";"82.782";"0.12";"2005.02.22 11:26:00";"82.529";"-20.71";"10485.82";"IS";"TrailingStop";"-62.46";"55.95";"7d 14h 26m";""
"22";"AUDJPY_DukasM1_the5ers";"Buy";"2005.03.08 11:00:00";"83.247";"0.14";"2005.03.09 12:42:00";"82.789";"-42.67";"10443.15";"IS";"TrailingStop";"-41.93";"37.35";"1d 1h 42m";""
"23";"AUDJPY_DukasM1_the5ers";"Buy";"2005.04.05 11:00:00";"83.310";"0.12";"2005.04.15 04:16:00";"83.035";"-22.57";"10420.58";"IS";"TrailingStop";"-62.86";"45.51";"9d 17h 16m";""
"24";"AUDJPY_DukasM1_the5ers";"Buy";"2005.05.25 18:00:00";"82.164";"0.12";"2005.05.31 16:40:00";"81.517";"-51.56";"10369.02";"IS";"TrailingStop";"-50.77";"20.17";"5d 22h 40m";""
"25";"AUDJPY_DukasM1_the5ers";"Buy";"2005.06.10 16:00:00";"82.527";"0.13";"2005.06.16 16:19:00";"84.174";"139.15";"10508.17";"IS";"PT";"-7.57";"140.01";"6d 0h 19m";""
"26";"AUDJPY_DukasM1_the5ers";"Buy";"2005.06.16 17:00:00";"84.093";"0.12";"2005.06.23 10:24:00";"84.086";"-1.37";"10506.80";"IS";"TrailingStop";"-6.51";"72.82";"6d 17h 24m";""
"27";"AUDJPY_DukasM1_the5ers";"Buy";"2005.07.19 04:00:00";"84.301";"0.11";"2005.07.21 14:25:00";"84.617";"22.06";"10528.86";"IS";"TrailingStop";"-22.66";"106.39";"2d 10h 25m";""
"28";"AUDJPY_DukasM1_the5ers";"Buy";"2005.08.04 12:00:00";"85.783";"0.12";"2005.08.08 14:59:00";"85.461";"-25.93";"10502.93";"IS";"TrailingStop";"-25.27";"43.55";"4d 2h 59m";""
"29";"AUDJPY_DukasM1_the5ers";"Buy";"2005.09.02 11:00:00";"83.800";"0.13";"2005.09.09 11:59:00";"85.411";"136.06";"10638.98";"IS";"PT";"-21.34";"136.95";"7d 0h 59m";""
"30";"AUDJPY_DukasM1_the5ers";"Buy";"2005.09.09 12:00:00";"85.461";"0.12";"2005.09.22 18:06:00";"85.130";"-26.99";"10611.99";"IS";"TrailingStop";"-86.63";"44.02";"13d 6h 6m";""
"31";"AUDJPY_DukasM1_the5ers";"Buy";"2005.10.03 08:00:00";"86.571";"0.11";"2005.10.05 07:43:00";"86.440";"-10.03";"10601.96";"IS";"TrailingStop";"-10.86";"52.51";"1d 23h 43m";""
