"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"CADJPY_DukasM1_the5ers";"Buy";"2004.11.25 14:45:00";"87.060";"0.26";"2005.07.19 18:07:00";"87.597";"50.22";"10050.22";"IS";"PT";"-35.70";"91.30";"236d 3h 22m";""
"2";"CADJPY_DukasM1_the5ers";"Buy";"2005.08.01 20:00:00";"92.370";"0.22";"2005.08.02 11:18:00";"91.836";"-78.07";"9972.15";"IS";"TrailingStop";"-76.82";"50.35";"15h 18m";""
"3";"CADJPY_DukasM1_the5ers";"Buy";"2005.09.28 00:30:00";"96.180";"0.22";"2005.09.30 11:06:00";"96.802";"87.81";"10059.96";"IS";"PT";"-70.49";"89.48";"2d 10h 36m";""
"4";"CADJPY_DukasM1_the5ers";"Buy";"2005.11.11 12:00:00";"99.110";"0.23";"2005.11.15 12:39:00";"99.716";"89.69";"10149.65";"IS";"PT";"-37.60";"91.14";"4d 0h 39m";""
"5";"CADJPY_DukasM1_the5ers";"Buy";"2005.11.16 00:00:00";"99.700";"0.27";"2005.11.17 10:49:00";"99.363";"-61.38";"10088.27";"IS";"TrailingStop";"-59.50";"70.62";"1d 10h 49m";""
"6";"CADJPY_DukasM1_the5ers";"Buy";"2006.01.11 12:00:00";"98.390";"0.18";"2006.01.16 16:59:00";"99.178";"91.26";"10179.53";"IS";"PT";"-65.92";"92.75";"5d 4h 59m";""
"7";"CADJPY_DukasM1_the5ers";"Buy";"2006.02.16 04:00:00";"101.780";"0.21";"2006.02.17 11:46:00";"102.446";"90.27";"10269.80";"IS";"PT";"-53.56";"91.46";"1d 7h 46m";""
"8";"CADJPY_DukasM1_the5ers";"Buy";"2006.03.01 12:00:00";"101.730";"0.22";"2006.03.01 19:52:00";"102.353";"88.53";"10358.33";"IS";"PT";"-5.75";"89.63";"7h 52m";""
"9";"CADJPY_DukasM1_the5ers";"Buy";"2006.03.20 08:00:00";"100.260";"0.23";"2006.03.20 11:36:00";"99.617";"-97.86";"10260.47";"IS";"SL";"-96.71";"39.10";"3h 36m";""
"10";"CADJPY_DukasM1_the5ers";"Buy";"2006.03.21 20:00:00";"100.560";"0.16";"2006.03.22 15:45:00";"99.775";"-83.04";"10177.43";"IS";"TrailingStop";"-82.13";"30.34";"19h 45m";""
