"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"DJ30_DukasM1_Infinox";"Buy";"2013.11.12 12:00:00";"15754.30";"0.23";"2013.11.13 20:00:00";"15748.66";"-2.12";"9997.88";"IS";"Exit Signal";"-23.77";"8.89";"1d 8h 0m";""
"2";"DJ30_DukasM1_Infinox";"Buy";"2013.11.19 04:00:00";"15960.42";"0.25";"2013.11.19 08:00:00";"15983.97";"5.89";"10003.76";"IS";"Exit Signal";"-0.95";"7.37";"4h 0m";""
"3";"DJ30_DukasM1_Infinox";"Buy";"2013.11.25 04:00:00";"16104.42";"0.25";"2013.11.26 08:00:00";"16100.68";"-1.85";"10001.91";"IS";"Exit Signal";"-12.36";"3.89";"1d 4h 0m";""
"4";"DJ30_DukasM1_Infinox";"Buy";"2013.11.26 12:00:00";"16072.27";"0.27";"2013.11.27 16:00:00";"16094.91";"5.12";"10007.04";"IS";"Exit Signal";"-1.76";"13.41";"1d 4h 0m";""
"5";"DJ30_DukasM1_Infinox";"Buy";"2013.12.10 16:00:00";"15974.24";"0.25";"2013.12.11 16:00:00";"15996.00";"4.53";"10011.57";"IS";"Exit Signal";"-6.15";"12.68";"1d 0h 0m";""
"6";"DJ30_DukasM1_Infinox";"Buy";"2013.12.18 20:00:00";"15893.42";"0.22";"2013.12.18 23:04:00";"16174.06";"60.94";"10072.51";"IS";"PT";"-18.81";"61.74";"3h 4m";""
"7";"DJ30_DukasM1_Infinox";"Buy";"2013.12.30 20:00:00";"16482.78";"0.34";"2013.12.31 08:00:00";"16500.49";"4.75";"10077.26";"IS";"Exit Signal";"-2.00";"7.87";"12h 0m";""
"8";"DJ30_DukasM1_Infinox";"Buy";"2014.01.03 08:00:00";"16416.25";"0.3";"2014.01.03 12:00:00";"16455.62";"11.81";"10089.07";"IS";"Exit Signal";"-6.47";"12.52";"4h 0m";""
"9";"DJ30_DukasM1_Infinox";"Buy";"2014.01.09 16:00:00";"16507.13";"0.26";"2014.01.10 08:00:00";"16473.70";"-9.67";"10079.40";"IS";"Exit Signal";"-33.86";"4.10";"16h 0m";""
"10";"DJ30_DukasM1_Infinox";"Buy";"2014.01.21 12:00:00";"16498.50";"0.27";"2014.01.21 16:00:00";"16525.92";"7.40";"10086.80";"IS";"Exit Signal";"-1.31";"9.02";"4h 0m";""
"11";"DJ30_DukasM1_Infinox";"Buy";"2014.01.30 16:30:00";"15745.80";"0.17";"2014.01.30 20:00:00";"15896.04";"25.54";"10112.34";"IS";"Exit Signal";"-1.84";"27.49";"3h 30m";""
"12";"DJ30_DukasM1_Infinox";"Buy";"2014.02.11 16:00:00";"15824.17";"0.17";"2014.02.11 20:00:00";"15961.93";"23.42";"10135.76";"IS";"Exit Signal";"-3.40";"23.93";"4h 0m";""
"13";"DJ30_DukasM1_Infinox";"Buy";"2014.02.13 04:00:00";"15940.22";"0.17";"2014.02.13 20:00:00";"15985.48";"7.69";"10143.46";"IS";"Exit Signal";"-15.48";"10.93";"16h 0m";""
"14";"DJ30_DukasM1_Infinox";"Buy";"2014.02.18 04:00:00";"16165.34";"0.19";"2014.02.18 08:00:00";"16190.29";"4.74";"10148.20";"IS";"Exit Signal";"-1.17";"5.80";"4h 0m";""
"15";"DJ30_DukasM1_Infinox";"Buy";"2014.02.24 04:00:00";"16114.21";"0.19";"2014.02.24 20:00:00";"16287.91";"33.00";"10181.20";"IS";"Exit Signal";"-9.97";"35.49";"16h 0m";""
"16";"DJ30_DukasM1_Infinox";"Buy";"2014.03.10 04:00:00";"16416.85";"0.2";"2014.03.11 04:00:00";"16427.68";"1.42";"10182.62";"IS";"Exit Signal";"-16.79";"9.75";"1d 0h 0m";""
"17";"DJ30_DukasM1_Infinox";"Buy";"2014.04.11 12:00:00";"16180.84";"0.19";"2014.04.14 16:00:00";"16110.48";"-15.47";"10167.15";"IS";"Exit Signal";"-32.95";"1.63";"3d 4h 0m";""
"18";"DJ30_DukasM1_Infinox";"Buy";"2014.04.24 04:00:00";"16549.22";"0.24";"2014.04.28 03:00:00";"16384.98";"-43.04";"10124.11";"IS";"Exit Signal";"-52.39";"6.48";"3d 23h 0m";""
"19";"DJ30_DukasM1_Infinox";"Buy";"2014.05.09 12:00:00";"16533.34";"0.22";"2014.05.09 16:00:00";"16544.46";"2.45";"10126.56";"IS";"Exit Signal";"-3.95";"3.97";"4h 0m";""
"20";"DJ30_DukasM1_Infinox";"Buy";"2014.05.14 20:00:00";"16660.46";"0.28";"2014.05.16 12:00:00";"16447.67";"-61.71";"10064.85";"IS";"Exit Signal";"-74.35";"1.67";"1d 16h 0m";""
"21";"DJ30_DukasM1_Infinox";"Buy";"2014.05.23 16:00:00";"16549.78";"0.27";"2014.05.26 16:00:00";"16661.20";"27.03";"10091.88";"IS";"Exit Signal";"-2.59";"32.13";"3d 0h 0m";""
"22";"DJ30_DukasM1_Infinox";"Buy";"2014.06.10 08:00:00";"16923.84";"0.37";"2014.06.10 12:00:00";"16925.35";"0.56";"10092.44";"IS";"Exit Signal";"-5.19";"1.72";"4h 0m";""
"23";"DJ30_DukasM1_Infinox";"Buy";"2014.06.20 04:00:00";"16899.70";"0.28";"2014.06.20 12:00:00";"16910.49";"3.02";"10095.46";"IS";"Exit Signal";"-2.13";"3.30";"8h 0m";""
"24";"DJ30_DukasM1_Infinox";"Buy";"2014.07.07 08:00:00";"17043.46";"0.4";"2014.07.10 20:00:00";"16900.96";"-61.66";"10033.80";"IS";"Exit Signal";"-99.40";"1.19";"3d 12h 0m";""
"25";"DJ30_DukasM1_Infinox";"Buy";"2014.07.24 08:00:00";"17079.63";"0.29";"2014.07.24 12:00:00";"17122.41";"12.41";"10046.21";"IS";"Exit Signal";"-7.67";"13.55";"4h 0m";""
"26";"DJ30_DukasM1_Infinox";"Buy";"2014.08.06 12:00:00";"16398.84";"0.18";"2014.08.11 01:00:00";"16545.10";"22.97";"10069.17";"IS";"Exit Signal";"-24.78";"27.83";"4d 13h 0m";""
"27";"DJ30_DukasM1_Infinox";"Buy";"2014.08.12 16:00:00";"16564.34";"0.19";"2014.08.13 12:00:00";"16609.95";"7.95";"10077.12";"IS";"Exit Signal";"-9.38";"10.26";"20h 0m";""
"28";"DJ30_DukasM1_Infinox";"Buy";"2014.09.05 12:00:00";"17058.92";"0.24";"2014.09.05 20:00:00";"17103.50";"10.70";"10087.82";"IS";"Exit Signal";"-12.71";"13.22";"8h 0m";""
"29";"DJ30_DukasM1_Infinox";"Buy";"2014.09.30 04:00:00";"17057.37";"0.18";"2014.09.30 08:00:00";"17077.73";"3.67";"10091.49";"IS";"Exit Signal";"-1.02";"4.07";"4h 0m";""
"30";"DJ30_DukasM1_Infinox";"Buy";"2014.10.23 04:00:00";"16494.46";"0.11";"2014.10.23 16:00:00";"16634.80";"15.44";"10106.92";"IS";"Exit Signal";"-1.66";"16.78";"12h 0m";""
"31";"DJ30_DukasM1_Infinox";"Buy";"2014.10.27 04:01:00";"16813.68";"0.12";"2014.10.28 12:00:00";"16902.29";"10.17";"10117.10";"IS";"Exit Signal";"-10.44";"12.15";"1d 7h 59m";""
"32";"DJ30_DukasM1_Infinox";"Buy";"2014.11.04 08:00:00";"17331.33";"0.15";"2014.11.04 12:00:00";"17368.00";"5.50";"10122.60";"IS";"Exit Signal";"-2.95";"7.20";"4h 0m";""
"33";"DJ30_DukasM1_Infinox";"Buy";"2014.12.04 16:00:00";"17863.15";"0.26";"2014.12.05 20:00:00";"17974.96";"28.01";"10150.61";"IS";"Exit Signal";"-14.02";"33.24";"1d 4h 0m";""
"34";"DJ30_DukasM1_Infinox";"Buy";"2014.12.22 01:00:00";"17796.35";"0.1";"2014.12.22 16:00:00";"17861.84";"6.55";"10157.16";"IS";"Exit Signal";"-0.73";"7.66";"15h 0m";""
"35";"DJ30_DukasM1_Infinox";"Buy";"2014.12.26 08:01:00";"18074.38";"0.17";"2014.12.29 04:00:00";"18084.95";"-0.30";"10156.86";"IS";"Exit Signal";"-5.17";"4.17";"2d 19h 59m";""
"36";"DJ30_DukasM1_Infinox";"Buy";"2015.01.26 01:00:00";"17578.96";"0.1";"2015.01.26 16:00:00";"17662.84";"8.39";"10165.25";"IS";"Exit Signal";"-8.02";"9.00";"15h 0m";""
"37";"DJ30_DukasM1_Infinox";"Buy";"2015.02.09 12:00:00";"17744.58";"0.12";"2015.02.12 08:00:00";"17861.64";"12.59";"10177.84";"IS";"Exit Signal";"-7.32";"28.54";"2d 20h 0m";""
"38";"DJ30_DukasM1_Infinox";"Buy";"2015.03.18 16:00:00";"17753.45";"0.17";"2015.03.19 02:27:00";"18123.68";"62.25";"10240.09";"IS";"PT";"-10.46";"62.94";"10h 27m";""
"39";"DJ30_DukasM1_Infinox";"Buy";"2015.04.16 16:00:00";"18032.45";"0.19";"2015.04.20 09:00:00";"17892.84";"-29.65";"10210.44";"IS";"Exit Signal";"-54.55";"25.81";"3d 17h 0m";""
"40";"DJ30_DukasM1_Infinox";"Buy";"2015.05.05 16:00:00";"18019.28";"0.13";"2015.05.06 12:00:00";"17978.77";"-5.80";"10204.64";"IS";"Exit Signal";"-16.06";"8.54";"20h 0m";""
"41";"DJ30_DukasM1_Infinox";"Buy";"2015.05.12 12:00:00";"17954.90";"0.12";"2015.05.12 16:00:00";"17990.55";"4.28";"10208.92";"IS";"Exit Signal";"-3.36";"5.20";"4h 0m";""
"42";"DJ30_DukasM1_Infinox";"Buy";"2015.06.15 16:00:00";"17783.45";"0.14";"2015.06.15 20:00:00";"17793.90";"1.46";"10210.38";"IS";"Exit Signal";"-12.74";"3.57";"4h 0m";""
"43";"DJ30_DukasM1_Infinox";"Buy";"2015.06.22 09:00:00";"18070.44";"0.13";"2015.06.22 12:00:00";"18144.98";"9.69";"10220.07";"IS";"Exit Signal";"-1.12";"10.86";"3h 0m";""
"44";"DJ30_DukasM1_Infinox";"Buy";"2015.07.01 20:00:00";"17703.44";"0.11";"2015.07.02 09:00:00";"17750.75";"4.76";"10224.83";"IS";"Exit Signal";"-3.37";"5.78";"13h 0m";""
"45";"DJ30_DukasM1_Infinox";"Buy";"2015.08.12 12:00:00";"17205.36";"0.12";"2015.08.13 09:00:00";"17441.67";"27.89";"10252.72";"IS";"Exit Signal";"-9.65";"28.48";"21h 0m";""
"46";"DJ30_DukasM1_Infinox";"Buy";"2015.09.10 09:00:00";"16351.28";"0.06";"2015.09.11 20:00:00";"16389.97";"2.10";"10254.82";"IS";"Exit Signal";"-11.50";"6.52";"1d 11h 0m";""
"47";"DJ30_DukasM1_Infinox";"Buy";"2015.11.04 20:00:00";"17872.14";"0.14";"2015.11.09 09:00:00";"17889.99";"-0.35";"10254.47";"IS";"Exit Signal";"-15.16";"8.68";"4d 13h 0m";""
"48";"DJ30_DukasM1_Infinox";"Buy";"2015.11.10 12:00:00";"17683.34";"0.13";"2015.11.11 09:00:00";"17765.99";"10.22";"10264.69";"IS";"Exit Signal";"-3.72";"11.01";"21h 0m";""
"49";"DJ30_DukasM1_Infinox";"Buy";"2015.11.13 09:00:00";"17457.07";"0.12";"2015.11.16 20:00:00";"17345.16";"-14.86";"10249.83";"IS";"Exit Signal";"-35.09";"4.07";"3d 11h 0m";""
"50";"DJ30_DukasM1_Infinox";"Buy";"2015.12.24 20:00:00";"17549.34";"0.09";"2015.12.29 09:00:00";"17554.12";"-1.37";"10248.46";"IS";"Exit Signal";"-10.58";"0.52";"4d 13h 0m";""
"51";"DJ30_DukasM1_Infinox";"Buy";"2016.01.25 16:00:00";"16006.35";"0.06";"2016.01.26 12:00:00";"15825.71";"-11.06";"10237.40";"IS";"Exit Signal";"-16.89";"4.60";"20h 0m";""
"52";"DJ30_DukasM1_Infinox";"Buy";"2016.02.01 12:00:00";"16356.67";"0.06";"2016.02.03 16:00:00";"16247.88";"-6.97";"10230.43";"IS";"Exit Signal";"-15.10";"9.20";"2d 4h 0m";""
"53";"DJ30_DukasM1_Infinox";"Buy";"2016.02.19 16:00:00";"16338.46";"0.08";"2016.02.22 09:00:00";"16463.33";"9.10";"10239.53";"IS";"Exit Signal";"-5.10";"10.07";"2d 17h 0m";""
"54";"DJ30_DukasM1_Infinox";"Buy";"2016.04.15 20:00:00";"17900.95";"0.14";"2016.04.18 12:00:00";"17845.73";"-9.44";"10230.08";"IS";"Exit Signal";"-18.28";"1.05";"2d 16h 0m";""
"55";"DJ30_DukasM1_Infinox";"Buy";"2016.04.22 12:00:00";"17952.43";"0.15";"2016.04.25 09:00:00";"17981.87";"2.58";"10232.66";"IS";"Exit Signal";"-7.21";"11.32";"2d 21h 0m";""
"56";"DJ30_DukasM1_Infinox";"Buy";"2016.04.28 12:00:00";"17879.47";"0.13";"2016.04.28 16:00:00";"17910.90";"4.09";"10236.74";"IS";"Exit Signal";"-0.59";"4.75";"4h 0m";""
"57";"DJ30_DukasM1_Infinox";"Buy";"2016.05.04 12:00:00";"17707.49";"0.13";"2016.05.06 12:00:00";"17634.36";"-10.56";"10226.19";"IS";"Exit Signal";"-15.91";"6.39";"2d 0h 0m";""
"58";"DJ30_DukasM1_Infinox";"Buy";"2016.05.12 09:00:00";"17741.35";"0.13";"2016.05.12 12:00:00";"17760.46";"2.48";"10228.67";"IS";"Exit Signal";"-6.11";"3.05";"3h 0m";""
"59";"DJ30_DukasM1_Infinox";"Buy";"2016.05.18 16:00:00";"17469.42";"0.12";"2016.05.18 20:00:00";"17587.37";"14.15";"10242.83";"IS";"Exit Signal";"-3.18";"14.29";"4h 0m";""
"60";"DJ30_DukasM1_Infinox";"Buy";"2016.05.26 09:00:00";"17841.37";"0.13";"2016.05.30 09:00:00";"17910.82";"6.92";"10249.74";"IS";"Exit Signal";"-4.96";"9.16";"4d 0h 0m";""
"61";"DJ30_DukasM1_Infinox";"Buy";"2016.06.01 12:00:00";"17748.33";"0.16";"2016.06.01 20:00:00";"17780.83";"5.20";"10254.94";"IS";"Exit Signal";"-13.66";"5.51";"8h 0m";""
"62";"DJ30_DukasM1_Infinox";"Buy";"2016.06.08 09:00:00";"17948.94";"0.16";"2016.06.08 16:00:00";"17973.23";"3.89";"10258.83";"IS";"Exit Signal";"-3.44";"5.05";"7h 0m";""
"63";"DJ30_DukasM1_Infinox";"Buy";"2016.07.04 12:00:00";"17974.85";"0.1";"2016.07.06 20:00:00";"17887.44";"-9.56";"10249.27";"IS";"Exit Signal";"-26.73";"2.85";"2d 8h 0m";""
"64";"DJ30_DukasM1_Infinox";"Buy";"2016.07.12 09:00:00";"18242.47";"0.12";"2016.07.12 12:00:00";"18313.50";"8.52";"10257.79";"IS";"Exit Signal";"-0.83";"9.90";"3h 0m";""
"65";"DJ30_DukasM1_Infinox";"Buy";"2016.07.15 20:00:00";"18483.63";"0.14";"2016.07.20 09:00:00";"18557.93";"7.45";"10265.25";"IS";"Exit Signal";"-0.57";"12.23";"4d 13h 0m";""
"66";"DJ30_DukasM1_Infinox";"Buy";"2016.08.02 20:00:00";"18271.44";"0.16";"2016.08.03 09:00:00";"18293.06";"2.79";"10268.04";"IS";"Exit Signal";"-4.62";"8.09";"13h 0m";""
"67";"DJ30_DukasM1_Infinox";"Buy";"2016.08.09 20:00:00";"18539.65";"0.2";"2016.08.10 12:00:00";"18524.62";"-3.85";"10264.19";"IS";"Exit Signal";"-9.53";"1.05";"16h 0m";""
"68";"DJ30_DukasM1_Infinox";"Buy";"2016.08.12 16:00:00";"18593.92";"0.22";"2016.08.17 20:00:00";"18528.50";"-19.05";"10245.14";"IS";"Exit Signal";"-28.11";"16.30";"5d 4h 0m";""
"69";"DJ30_DukasM1_Infinox";"Buy";"2016.08.31 16:00:00";"18423.94";"0.19";"2016.09.01 09:00:00";"18437.81";"1.84";"10246.98";"IS";"Exit Signal";"-17.95";"2.83";"17h 0m";""
"70";"DJ30_DukasM1_Infinox";"Buy";"2016.09.09 20:00:00";"18245.47";"0.19";"2016.09.12 16:00:00";"18003.39";"-48.36";"10198.61";"IS";"Exit Signal";"-65.27";"0.00";"2d 20h 0m";""
"71";"DJ30_DukasM1_Infinox";"Buy";"2016.09.19 20:00:00";"18147.47";"0.12";"2016.09.22 09:00:00";"18284.47";"14.95";"10213.56";"IS";"Exit Signal";"-6.96";"18.84";"2d 13h 0m";""
"72";"DJ30_DukasM1_Infinox";"Buy";"2016.10.04 20:00:00";"18197.97";"0.13";"2016.10.05 20:00:00";"18286.97";"11.03";"10224.60";"IS";"Exit Signal";"-11.57";"13.84";"1d 0h 0m";""
"73";"DJ30_DukasM1_Infinox";"Buy";"2016.10.06 09:00:00";"18278.47";"0.13";"2016.10.10 16:00:00";"18337.97";"5.57";"10230.17";"IS";"Exit Signal";"-17.33";"8.64";"4d 7h 0m";""
"74";"DJ30_DukasM1_Infinox";"Buy";"2016.10.17 09:00:00";"18100.97";"0.13";"2016.10.17 16:00:00";"18139.11";"4.96";"10235.12";"IS";"Exit Signal";"-3.51";"5.67";"7h 0m";""
"75";"DJ30_DukasM1_Infinox";"Buy";"2017.01.10 16:00:00";"19884.97";"0.21";"2017.01.11 12:00:00";"19882.97";"-1.37";"10233.75";"IS";"Exit Signal";"-9.77";"15.33";"20h 0m";""
"76";"DJ30_DukasM1_Infinox";"Buy";"2017.01.27 12:00:00";"20112.67";"0.2";"2017.01.31 09:00:00";"19907.97";"-44.60";"10189.15";"IS";"Exit Signal";"-48.78";"3.26";"3d 21h 0m";""
"77";"DJ30_DukasM1_Infinox";"Buy";"2017.03.03 09:00:00";"20962.97";"0.18";"2017.03.03 16:00:00";"21021.47";"10.53";"10199.68";"IS";"Exit Signal";"-2.07";"12.96";"7h 0m";""
"78";"DJ30_DukasM1_Infinox";"Buy";"2017.03.30 12:00:00";"20645.97";"0.16";"2017.03.30 16:00:00";"20650.97";"0.80";"10200.48";"IS";"Exit Signal";"-2.56";"2.08";"4h 0m";""
"79";"DJ30_DukasM1_Infinox";"Buy";"2017.04.27 09:00:00";"20992.47";"0.15";"2017.04.27 20:00:00";"20998.97";"0.98";"10201.45";"IS";"Exit Signal";"-9.14";"2.33";"11h 0m";""
"80";"DJ30_DukasM1_Infinox";"Buy";"2017.05.26 12:00:00";"21066.57";"0.18";"2017.05.26 20:00:00";"21080.57";"2.52";"10203.97";"OOS1";"Exit Signal";"-5.22";"3.78";"8h 0m";""
"81";"DJ30_DukasM1_Infinox";"Buy";"2017.06.15 12:00:00";"21291.57";"0.19";"2017.06.15 20:00:00";"21343.97";"9.96";"10213.93";"OOS1";"Exit Signal";"-6.67";"11.80";"8h 0m";""
