"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"EURJPY_DukasM1_the5ers";"Buy";"2003.12.08 13:37:00";"131.273";"0.35";"2003.12.08 16:32:00";"130.845";"-99.71";"9900.29";"IS";"SL";"-97.96";"33.64";"2h 55m";""
"2";"EURJPY_DukasM1_the5ers";"Buy";"2003.12.15 11:24:00";"132.083";"0.34";"2003.12.16 06:03:00";"132.819";"161.72";"10062.01";"IS";"PT";"-74.04";"163.64";"18h 39m";""
"3";"EURJPY_DukasM1_the5ers";"Buy";"2003.12.22 12:51:00";"133.737";"0.4";"2003.12.22 14:00:00";"133.362";"-100.09";"9961.92";"IS";"SL";"-98.09";"3.40";"1h 9m";""
"4";"EURJPY_DukasM1_the5ers";"Buy";"2003.12.29 12:51:00";"133.555";"0.49";"2003.12.30 19:31:00";"134.075";"163.85";"10125.77";"IS";"PT";"-75.30";"166.62";"1d 6h 40m";""
"5";"EURJPY_DukasM1_the5ers";"Buy";"2004.01.12 09:16:00";"136.981";"0.27";"2004.01.12 15:55:00";"136.414";"-101.46";"10024.31";"IS";"SL";"-100.11";"52.79";"6h 39m";""
"6";"EURJPY_DukasM1_the5ers";"Buy";"2004.01.19 08:44:00";"132.12";"0.3";"2004.01.19 11:12:00";"132.968";"164.86";"10189.17";"IS";"PT";"-3.92";"166.36";"2h 28m";""
"7";"EURJPY_DukasM1_the5ers";"Buy";"2004.02.09 11:07:00";"134.918";"0.3";"2004.02.09 12:31:00";"134.41";"-101.16";"10088.01";"IS";"SL";"-99.66";"4.32";"1h 24m";""
"8";"EURJPY_DukasM1_the5ers";"Buy";"2004.02.16 10:13:00";"134.528";"0.33";"2004.02.17 05:38:00";"135.286";"161.71";"10249.72";"IS";"PT";"-53.52";"163.57";"19h 25m";""
"9";"EURJPY_DukasM1_the5ers";"Buy";"2004.02.23 15:38:00";"136.369";"0.31";"2004.02.23 17:50:00";"135.885";"-99.66";"10150.05";"IS";"SL";"-98.11";"24.53";"2h 12m";""
"10";"EURJPY_DukasM1_the5ers";"Buy";"2004.03.15 08:18:00";"135.975";"0.24";"2004.03.15 17:28:00";"135.341";"-100.70";"10049.35";"IS";"SL";"-99.50";"66.70";"9h 10m";""
"11";"EURJPY_DukasM1_the5ers";"Buy";"2004.03.22 12:55:00";"132.157";"0.22";"2004.03.23 02:15:00";"131.488";"-97.49";"9951.86";"IS";"SL";"-96.24";"63.73";"13h 20m";""
