"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"GBPJPY_DukasM1_the5ers";"Buy";"2003.08.27 16:00:00";"185.338";"0.17";"2003.08.27 21:54:00";"184.477";"-96.56";"9903.44";"IS";"SL";"-95.71";"15.23";"5h 54m";""
"2";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.04 12:00:00";"184.005";"0.15";"2003.09.08 01:35:00";"186.600";"253.45";"10156.89";"IS";"PT";"-77.98";"254.54";"3d 13h 35m";""
"3";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.12 00:00:00";"186.768";"0.18";"2003.09.16 00:00:00";"187.957";"138.65";"10295.54";"IS";"Exit Signal";"-78.04";"245.42";"4d 0h 0m";""
"4";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.24 00:00:00";"185.332";"0.14";"2003.09.24 14:19:00";"184.291";"-96.00";"10199.54";"IS";"SL";"-95.30";"7.23";"14h 19m";""
"5";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.06 16:00:00";"185.753";"0.17";"2003.10.07 12:22:00";"184.866";"-99.65";"10099.89";"IS";"SL";"-98.61";"32.68";"20h 22m";""
"6";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.13 20:00:00";"181.435";"0.17";"2003.10.16 09:50:00";"183.832";"264.67";"10364.56";"IS";"PT";"-68.03";"266.47";"2d 13h 50m";""
"7";"GBPJPY_DukasM1_the5ers";"Buy";"2003.11.13 16:00:00";"182.509";"0.18";"2003.11.17 04:54:00";"184.738";"261.06";"10625.62";"IS";"PT";"-48.73";"262.37";"3d 12h 54m";""
"8";"GBPJPY_DukasM1_the5ers";"Buy";"2003.11.19 20:00:00";"185.419";"0.17";"2003.11.20 08:00:00";"184.964";"-52.00";"10573.62";"IS";"Exit Signal";"-75.15";"26.01";"12h 0m";""
"9";"GBPJPY_DukasM1_the5ers";"Buy";"2003.11.27 12:00:00";"186.870";"0.21";"2003.11.28 23:18:00";"188.800";"263.52";"10837.14";"IS";"PT";"-17.44";"265.04";"1d 11h 18m";""
"10";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.09 16:00:00";"187.150";"0.21";"2003.12.09 21:26:00";"186.440";"-98.55";"10738.59";"IS";"SL";"-97.50";"13.05";"5h 26m";""
"11";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.17 00:00:00";"188.638";"0.23";"2003.12.18 16:48:00";"190.413";"265.04";"11003.63";"IS";"PT";"-95.20";"266.96";"1d 16h 48m";""
"12";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.24 20:00:00";"190.378";"0.23";"2003.12.24 22:06:00";"189.735";"-97.86";"10905.77";"IS";"SL";"-96.71";"38.20";"2h 6m";""
"13";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.25 04:00:00";"190.275";"0.22";"2003.12.25 09:28:00";"189.582";"-100.80";"10804.97";"IS";"SL";"-99.70";"31.65";"5h 28m";""
"14";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.26 00:00:00";"190.116";"0.2";"2003.12.26 04:37:00";"189.359";"-100.00";"10704.97";"IS";"SL";"-99.00";"47.61";"4h 37m";""
"15";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.30 20:00:00";"190.244";"0.21";"2004.01.01 17:43:00";"189.543";"-98.25";"10606.72";"IS";"SL";"-96.26";"231.53";"1d 21h 43m";""
"16";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.02 04:00:00";"191.178";"0.14";"2004.01.06 15:55:00";"193.997";"257.06";"10863.78";"IS";"PT";"-87.52";"258.08";"4d 11h 55m";""
"17";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.06 16:00:00";"193.997";"0.15";"2004.01.07 10:28:00";"193.007";"-98.03";"10765.76";"IS";"SL";"-97.11";"0.00";"18h 28m";""
"18";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.08 20:00:00";"194.698";"0.16";"2004.01.09 07:25:00";"197.259";"266.97";"11032.73";"IS";"PT";"-40.80";"267.95";"11h 25m";""
"19";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.12 16:00:00";"197.103";"0.14";"2004.01.13 00:00:00";"196.809";"-27.77";"11004.96";"IS";"Exit Signal";"-53.92";"37.99";"8h 0m";""
