"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.07 16:30:00";"1.61117";"0.14";"2003.08.08 21:48:00";"1.60449";"-94.55";"9905.45";"IS";"SL";"-93.52";"106.26";"1d 5h 18m";""
"2";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.13 12:00:00";"1.60250";"0.2";"2003.08.14 09:59:00";"1.61118";"171.18";"10076.63";"IS";"PT";"-31.40";"173.60";"21h 59m";""
"3";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.02 17:30:00";"1.57041";"0.16";"2003.09.03 03:48:00";"1.56422";"-100.22";"9976.42";"IS";"SL";"-99.04";"69.28";"10h 18m";""
"4";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.03 16:30:00";"1.56858";"0.14";"2003.09.04 16:34:00";"1.58019";"160.85";"10137.26";"IS";"PT";"-27.72";"162.54";"1d 0h 4m";""
"5";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.09 15:30:00";"1.58734";"0.16";"2003.09.12 15:30:00";"1.59768";"162.75";"10300.02";"IS";"PT";"-14.40";"165.44";"3d 0h 0m";""
"6";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.17 12:00:00";"1.59378";"0.17";"2003.09.17 18:04:00";"1.60371";"167.96";"10467.98";"IS";"PT";"-19.55";"168.81";"6h 4m";""
"7";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.29 18:00:00";"1.66175";"0.14";"2003.09.30 10:46:00";"1.67405";"171.17";"10639.15";"IS";"PT";"-7.70";"172.20";"16h 46m";""
"8";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.06 13:30:00";"1.66576";"0.15";"2003.10.07 10:26:00";"1.67663";"161.95";"10801.09";"IS";"PT";"-15.30";"163.05";"20h 56m";""
"9";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.10 20:00:00";"1.66436";"0.14";"2003.10.13 10:42:00";"1.65750";"-97.07";"10704.02";"IS";"SL";"-96.04";"57.12";"2d 14h 42m";""
"10";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.14 15:30:00";"1.66108";"0.14";"2003.10.14 17:59:00";"1.67314";"168.14";"10872.16";"IS";"PT";"-17.22";"168.84";"2h 29m";""
"11";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.17 09:00:00";"1.67538";"0.17";"2003.10.17 13:22:00";"1.66961";"-98.94";"10773.22";"IS";"SL";"-98.09";"1.19";"4h 22m";""
"12";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.20 09:30:00";"1.67988";"0.15";"2003.10.20 12:37:00";"1.67343";"-97.50";"10675.72";"IS";"SL";"-96.75";"19.50";"3h 7m";""
"13";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.22 03:00:00";"1.67429";"0.2";"2003.10.22 12:08:00";"1.68265";"166.20";"10841.92";"IS";"PT";"-20.20";"167.20";"9h 8m";""
"14";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.28 18:30:00";"1.69420";"0.15";"2003.10.29 11:38:00";"1.70530";"165.40";"11007.32";"IS";"PT";"-20.40";"166.50";"17h 8m";""
"15";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.31 17:30:00";"1.69791";"0.16";"2003.11.03 10:33:00";"1.69191";"-97.18";"10910.14";"IS";"SL";"-96.00";"21.92";"2d 17h 3m";""
"16";"GBPUSD_DukasM1_the5ers";"Buy";"2003.11.20 13:00:00";"1.70246";"0.15";"2003.11.24 11:59:00";"1.69619";"-95.51";"10814.63";"IS";"SL";"-94.05";"78.90";"3d 22h 59m";""
"17";"GBPUSD_DukasM1_the5ers";"Buy";"2003.12.05 15:30:00";"1.72387";"0.2";"2003.12.08 11:23:00";"1.73231";"167.33";"10981.96";"IS";"PT";"-24.40";"168.80";"2d 19h 53m";""
"18";"GBPUSD_DukasM1_the5ers";"Buy";"2003.12.15 16:30:00";"1.74663";"0.16";"2003.12.17 16:06:00";"1.75685";"161.96";"11143.92";"IS";"PT";"-57.12";"163.52";"1d 23h 36m";""
"19";"GBPUSD_DukasM1_the5ers";"Buy";"2003.12.23 16:00:00";"1.76509";"0.21";"2003.12.24 16:26:00";"1.77323";"169.39";"11313.32";"IS";"PT";"-63.21";"170.94";"1d 0h 26m";""
