"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"NAS100_DukasM1_Infinox";"Buy";"2012.02.13 17:00:00";"2568.37";"3.38";"2012.02.14 17:55:00";"2557.24";"-39.67";"9960.33";"IS";"TrailingStop";"-47.18";"14.23";"1d 0h 55m";""
"2";"NAS100_DukasM1_Infinox";"Buy";"2012.02.14 23:00:00";"2576.98";"3.27";"2012.02.15 19:34:00";"2586.96";"30.64";"9990.98";"IS";"TrailingStop";"-5.89";"78.41";"20h 34m";""
"3";"NAS100_DukasM1_Infinox";"Buy";"2012.02.15 21:00:00";"2579.64";"2.74";"2012.02.17 18:03:00";"2576.58";"-11.72";"9979.25";"IS";"TrailingStop";"-76.86";"41.29";"1d 21h 3m";""
"4";"NAS100_DukasM1_Infinox";"Buy";"2012.02.23 18:00:00";"2593.43";"3.05";"2012.02.27 16:30:00";"2588.58";"-22.26";"9956.99";"IS";"TrailingStop";"-35.53";"48.86";"3d 22h 30m";""
"5";"NAS100_DukasM1_Infinox";"Buy";"2012.02.27 18:00:00";"2603.30";"2.97";"2012.02.29 17:48:00";"2631.05";"78.77";"10035.76";"IS";"TrailingStop";"-5.61";"124.41";"1d 23h 48m";""
"6";"NAS100_DukasM1_Infinox";"Buy";"2012.02.29 21:00:00";"2635.77";"3.09";"2012.03.05 17:21:00";"2631.97";"-21.36";"10014.40";"IS";"TrailingStop";"-62.97";"43.97";"4d 20h 21m";""
"7";"NAS100_DukasM1_Infinox";"Buy";"2012.03.09 18:00:00";"2651.05";"3.01";"2012.03.15 16:11:00";"2703.08";"145.31";"10159.71";"IS";"TrailingStop";"-46.02";"198.84";"5d 22h 11m";""
"8";"NAS100_DukasM1_Infinox";"Buy";"2012.03.20 21:00:00";"2735.32";"3.49";"2012.03.21 21:59:00";"2736.82";"2.98";"10162.69";"IS";"TrailingStop";"-6.28";"59.82";"1d 0h 59m";""
"9";"NAS100_DukasM1_Infinox";"Buy";"2012.03.22 19:00:00";"2739.50";"3.44";"2012.03.27 22:57:00";"2779.85";"127.68";"10290.37";"IS";"TrailingStop";"-85.62";"185.55";"5d 3h 57m";""
"10";"NAS100_DukasM1_Infinox";"Buy";"2012.03.30 21:00:00";"2764.10";"2.91";"2012.04.03 19:03:00";"2780.14";"39.08";"10329.45";"IS";"TrailingStop";"-48.19";"90.94";"3d 22h 3m";""
