"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.04.16 03:11:00";"9524.33";"1.26";"2012.04.23 05:01:00";"9528.27";"-8.90";"9991.10";"IS";"TrailingStop";"-56.43";"129.72";"7d 1h 50m";""
"2";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.04.23 07:17:00";"9560.95";"1.38";"2012.04.24 06:35:00";"9448.47";"-102.70";"9888.40";"IS";"SL";"-100.79";"15.36";"23h 18m";""
"3";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.04.25 03:00:00";"9582.92";"1.3";"2012.04.27 08:06:00";"9537.02";"-42.34";"9846.06";"IS";"TrailingStop";"-44.66";"88.75";"2d 5h 6m";""
"4";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.23 07:01:00";"8610.76";"1.24";"2012.05.31 03:09:00";"8531.64";"-76.03";"9770.03";"IS";"TrailingStop";"-91.55";"37.00";"7d 20h 8m";""
"5";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.11 03:45:00";"8639.47";"1.34";"2012.06.12 03:00:00";"8477.78";"-142.36";"9627.67";"IS";"SL";"-140.69";"22.91";"23h 15m";""
"6";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.14 06:35:00";"8587.64";"1.35";"2012.06.20 06:30:00";"8720.19";"106.16";"9733.83";"IS";"Exit Signal";"-30.59";"155.08";"5d 23h 55m";""
"7";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.09.14 03:00:00";"9102.42";"1.49";"2012.09.18 03:00:00";"9157.16";"45.13";"9778.96";"IS";"Exit Signal";"-19.54";"87.63";"4d 0h 0m";""
"8";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.10.05 07:31:00";"8824.31";"1.54";"2012.10.10 03:00:00";"8649.55";"-184.56";"9594.40";"IS";"TrailingStop";"-174.76";"39.04";"4d 19h 29m";""
"9";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.10.11 06:31:00";"8595.89";"1.48";"2012.10.15 03:21:00";"8490.93";"-108.21";"9486.18";"IS";"SL";"-100.87";"23.34";"3d 20h 50m";""
"10";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.10.15 07:21:00";"8595.83";"1.42";"2012.10.22 05:00:00";"8937.02";"302.27";"9788.46";"IS";"Exit Signal";"-44.43";"387.70";"6d 21h 39m";""
"11";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.11.16 03:52:00";"8972.65";"1.34";"2012.11.28 03:35:00";"9359.15";"315.49";"10103.94";"IS";"TrailingStop";"-1.64";"448.37";"11d 23h 43m";""
"12";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.06.14 20:14:00";"12557.56";"0.36";"2013.06.20 03:17:00";"12979.47";"94.71";"10198.66";"IS";"TrailingStop";"-22.34";"210.96";"5d 7h 3m";""
"13";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.06.20 04:06:00";"13151.68";"0.46";"2013.06.20 21:34:00";"12844.25";"-91.83";"10106.83";"IS";"TrailingStop";"-91.83";"38.93";"17h 28m";""
"14";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.06.21 03:08:00";"12746.71";"0.42";"2013.06.24 09:09:00";"13009.12";"69.25";"10176.08";"IS";"TrailingStop";"-15.74";"199.17";"3d 6h 1m";""
"15";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.06.24 10:40:00";"13096.73";"0.38";"2013.06.25 06:58:00";"12792.93";"-75.68";"10100.39";"IS";"TrailingStop";"-74.96";"33.63";"20h 18m";""
"16";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.06.26 07:00:00";"12932.78";"0.43";"2013.07.03 04:02:00";"14034.25";"301.94";"10402.33";"IS";"TrailingStop";"-49.64";"382.04";"6d 21h 2m";""
"17";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.07.31 17:37:00";"13687.47";"0.61";"2013.08.02 17:54:00";"14244.77";"218.34";"10620.67";"IS";"TrailingStop";"-55.24";"329.37";"2d 0h 17m";""
"18";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.08.12 16:35:00";"13528.6";"0.6";"2013.08.14 06:41:00";"13772.63";"92.73";"10713.40";"IS";"TrailingStop";"-7.64";"184.05";"1d 14h 6m";""
"19";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.08.15 03:16:00";"13870.76";"0.76";"2013.08.15 08:40:00";"13711.82";"-78.44";"10634.96";"IS";"TrailingStop";"-78.44";"52.92";"5h 24m";""
"20";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.08.15 23:07:00";"13529.79";"0.62";"2013.08.19 23:29:00";"13543.36";"0.62";"10635.59";"IS";"TrailingStop";"-8.77";"105.56";"4d 0h 22m";""
"21";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.08.20 02:55:00";"13611.82";"0.82";"2013.08.20 08:08:00";"13479.43";"-70.49";"10565.09";"IS";"TrailingStop";"-70.49";"65.06";"5h 13m";""
"22";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.08.21 05:18:00";"13328.77";"0.66";"2013.08.27 13:16:00";"13423.0";"32.77";"10597.86";"IS";"TrailingStop";"-44.04";"193.38";"6d 7h 58m";""
