"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"US500_DarwTick_Infinox";"Buy";"2020.01.13 01:00:02";"3268.70";"0.14";"2020.01.13 19:14:04";"3283.95";"21.35";"10021.35";"IST";"PT";"-4.20";"21.35";"18h 14m";""
"2";"US500_DarwTick_Infinox";"Buy";"2020.01.23 01:00:01";"3319.40";"0.16";"2020.01.24 01:00:05";"3327.20";"11.30";"10032.65";"IST";"Exit Signal";"-26.24";"14.88";"1d 0h 0m";""
"3";"US500_DarwTick_Infinox";"Buy";"2020.02.10 01:00:02";"3324.20";"0.12";"2020.02.10 21:59:22";"3343.07";"22.64";"10055.29";"IST";"PT";"-23.64";"22.64";"20h 59m";""
"4";"US500_DarwTick_Infinox";"Buy";"2020.02.26 01:00:04";"3143.10";"0.09";"2020.02.26 16:41:19";"3166.50";"21.06";"10076.35";"IST";"PT";"-45.90";"21.06";"15h 41m";""
"5";"US500_DarwTick_Infinox";"Buy";"2020.02.27 01:00:02";"3102.00";"0.09";"2020.02.27 22:53:14";"2993.29";"-97.84";"9978.51";"IST";"SL";"-97.84";"13.68";"21h 53m";""
"6";"US500_DarwTick_Infinox";"Buy";"2020.02.28 01:00:03";"2947.70";"0.08";"2020.02.28 04:12:30";"2975.66";"22.37";"10000.88";"IST";"PT";"-9.60";"22.37";"3h 12m";""
"7";"US500_DarwTick_Infinox";"Buy";"2020.03.04 01:00:19";"2994.50";"0.06";"2020.03.04 04:45:19";"3031.27";"22.06";"10022.94";"IST";"PT";"-10.26";"22.06";"3h 44m";""
"8";"US500_DarwTick_Infinox";"Buy";"2020.03.10 00:00:18";"2729.50";"0.04";"2020.03.10 01:01:35";"2775.54";"18.42";"10041.36";"IST";"PT";"-13.28";"18.42";"1h 1m";""
"9";"US500_DarwTick_Infinox";"Buy";"2020.03.13 00:00:30";"2449.90";"0.03";"2020.03.13 07:00:55";"2507.07";"17.15";"10058.51";"IST";"PT";"-16.92";"17.15";"7h 0m";""
"10";"US500_DarwTick_Infinox";"Buy";"2020.03.17 00:00:02";"2418.10";"0.03";"2020.03.17 03:02:48";"2485.06";"20.09";"10078.60";"IST";"PT";"-4.32";"20.09";"3h 2m";""
"11";"US500_DarwTick_Infinox";"Buy";"2020.04.16 01:00:02";"2777.70";"0.03";"2020.04.17 01:00:11";"2849.34";"21.31";"10099.91";"IST";"PT";"-7.05";"21.49";"1d 0h 0m";""
"12";"US500_DarwTick_Infinox";"Buy";"2020.04.21 01:00:01";"2817.40";"0.03";"2020.04.27 01:00:47";"2844.10";"6.88";"10106.79";"IST";"Exit Signal";"-27.57";"8.37";"6d 0h 0m";""
"13";"US500_DarwTick_Infinox";"Buy";"2020.04.29 01:00:00";"2882.40";"0.03";"2020.04.29 19:16:18";"2942.65";"18.08";"10124.87";"IST";"PT";"-3.75";"18.08";"18h 16m";""
"14";"US500_DarwTick_Infinox";"Buy";"2020.05.01 01:00:01";"2878.80";"0.03";"2020.05.05 01:00:01";"2834.60";"-14.03";"10110.84";"IST";"Exit Signal";"-30.09";"2.43";"4d 0h 0m";""
"15";"US500_DarwTick_Infinox";"Buy";"2020.05.13 01:00:00";"2845.70";"0.04";"2020.05.15 01:00:00";"2850.40";"1.37";"10112.21";"IST";"Exit Signal";"-32.16";"14.68";"2d 0h 0m";""
"16";"US500_DarwTick_Infinox";"Buy";"2020.05.20 01:00:01";"2919.50";"0.04";"2020.05.20 16:47:39";"2969.09";"19.84";"10132.05";"IST";"PT";"-2.28";"19.84";"15h 47m";""
"17";"US500_DarwTick_Infinox";"Buy";"2020.05.22 01:00:00";"2942.20";"0.04";"2020.05.25 01:00:01";"2952.10";"3.18";"10135.22";"IST";"Exit Signal";"-13.48";"7.84";"3d 0h 0m";""
"18";"US500_DarwTick_Infinox";"Buy";"2020.06.11 01:00:00";"3187.30";"0.06";"2020.06.11 21:41:12";"3020.98";"-99.79";"10035.43";"IST";"SL";"-99.79";"2.46";"20h 41m";""
"19";"US500_DarwTick_Infinox";"Buy";"2020.06.12 01:00:00";"3014.10";"0.05";"2020.06.12 09:02:03";"3055.07";"20.49";"10055.92";"IST";"PT";"-4.75";"20.49";"8h 2m";""
"20";"US500_DarwTick_Infinox";"Buy";"2020.07.14 01:00:00";"3160.40";"0.05";"2020.07.14 22:51:40";"3198.99";"19.30";"10075.21";"IST";"PT";"-16.35";"19.30";"21h 51m";""
"21";"US500_DarwTick_Infinox";"Buy";"2020.08.20 01:00:00";"3373.20";"0.08";"2020.08.21 01:00:01";"3387.00";"10.44";"10085.65";"IST";"Exit Signal";"-19.36";"14.08";"1d 0h 0m";""
"22";"US500_DarwTick_Infinox";"Buy";"2020.09.01 01:00:01";"3496.00";"0.09";"2020.09.01 21:29:13";"3519.25";"20.93";"10106.58";"IST";"PT";"-8.19";"20.93";"20h 29m";""
"23";"US500_DarwTick_Infinox";"Buy";"2020.09.24 01:00:01";"3238.90";"0.06";"2020.09.24 20:30:01";"3274.32";"21.25";"10127.83";"IST";"PT";"-18.48";"21.25";"19h 30m";""
"24";"US500_DarwTick_Infinox";"Buy";"2020.10.15 01:00:01";"3490.60";"0.06";"2020.10.16 01:00:00";"3486.50";"-2.93";"10124.90";"IST";"Exit Signal";"-30.18";"2.76";"23h 59m";""
"25";"US500_DarwTick_Infinox";"Buy";"2020.10.19 01:00:00";"3480.90";"0.06";"2020.10.23 01:00:01";"3463.40";"-12.36";"10112.55";"IST";"Exit Signal";"-42.06";"14.52";"4d 0h 0m";""
"26";"US500_DarwTick_Infinox";"Buy";"2020.10.29 00:00:00";"3285.90";"0.06";"2020.10.29 19:54:49";"3319.49";"20.15";"10132.70";"IST";"PT";"-16.50";"20.15";"19h 54m";""
"27";"US500_DarwTick_Infinox";"Buy";"2020.11.19 01:00:00";"3566.10";"0.06";"2020.11.24 04:42:06";"3603.38";"19.99";"10152.69";"IST";"PT";"-11.76";"22.37";"5d 3h 42m";""
"28";"US500_DarwTick_Infinox";"Buy";"2020.12.15 01:00:01";"3657.10";"0.08";"2020.12.15 19:47:46";"3685.32";"22.58";"10175.27";"IST";"PT";"-8.24";"22.58";"18h 47m";""
"29";"US500_DarwTick_Infinox";"Buy";"2021.01.15 01:00:01";"3802.00";"0.08";"2021.01.19 01:00:01";"3777.10";"-22.62";"10152.64";"IST";"Exit Signal";"-41.52";"3.44";"4d 0h 0m";""
"30";"US500_DarwTick_Infinox";"Buy";"2021.01.28 01:00:00";"3740.70";"0.08";"2021.01.28 15:54:49";"3768.83";"22.50";"10175.15";"IST";"PT";"-22.88";"22.50";"14h 54m";""
"31";"US500_DarwTick_Infinox";"Buy";"2021.02.22 01:00:00";"3913.40";"0.08";"2021.02.25 01:00:01";"3926.50";"8.39";"10183.54";"IST";"Exit Signal";"-83.44";"14.40";"3d 0h 0m";""
"32";"US500_DarwTick_Infinox";"Buy";"2021.02.26 01:00:02";"3825.80";"0.07";"2021.02.26 19:14:18";"3856.06";"21.18";"10204.72";"IST";"PT";"-26.60";"21.18";"18h 14m";""
"33";"US500_DarwTick_Infinox";"Buy";"2021.03.19 00:00:01";"3923.20";"0.06";"2021.03.23 00:00:00";"3943.60";"10.15";"10214.87";"IST";"Exit Signal";"-22.32";"19.14";"3d 23h 59m";""
"34";"US500_DarwTick_Infinox";"Buy";"2021.03.25 00:00:00";"3894.40";"0.07";"2021.03.26 00:00:00";"3917.40";"15.49";"10230.36";"IST";"Exit Signal";"-28.42";"17.92";"23h 59m";""
"35";"US500_DarwTick_Infinox";"Buy";"2021.04.21 01:00:00";"4132.00";"0.09";"2021.04.21 18:30:55";"4156.75";"22.28";"10252.64";"IST";"PT";"-8.82";"22.28";"17h 30m";""
"36";"US500_DarwTick_Infinox";"Buy";"2021.05.04 01:00:00";"4194.00";"0.1";"2021.05.07 01:00:02";"4204.80";"8.00";"10260.64";"IST";"Exit Signal";"-64.40";"11.40";"3d 0h 0m";""
