"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.10 09:00:00";"107.780";"0.27";"2003.12.10 10:00:00";"108.707";"162.32";"10162.32";"IS";"PT";"0.00";"164.20";"1h 0m";""
"2";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.15 10:00:00";"108.040";"0.26";"2003.12.15 18:00:00";"107.595";"-76.96";"10085.36";"IS";"TrailingStop";"-75.66";"17.00";"8h 0m";""
"3";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.18 16:00:00";"107.830";"0.28";"2003.12.18 23:00:00";"107.469";"-67.50";"10017.86";"IS";"TrailingStop";"-66.10";"49.44";"7h 0m";""
"4";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.31 19:00:00";"107.300";"0.35";"2004.01.01 17:00:00";"107.043";"-61.26";"9956.61";"IS";"TrailingStop";"-58.82";"96.13";"22h 0m";""
"5";"USDJPY_DukasM1_the5ers";"Buy";"2004.01.16 17:00:00";"106.600";"0.29";"2004.01.19 11:00:00";"107.478";"164.86";"10121.47";"IS";"PT";"-54.99";"166.50";"2d 18h 0m";""
"6";"USDJPY_DukasM1_the5ers";"Buy";"2004.01.20 12:00:00";"107.480";"0.21";"2004.01.20 23:00:00";"106.993";"-67.93";"10053.54";"IS";"TrailingStop";"-66.88";"59.05";"11h 0m";""
"7";"USDJPY_DukasM1_the5ers";"Buy";"2004.01.29 00:00:00";"106.260";"0.2";"2004.02.02 04:00:00";"105.515";"-98.70";"9954.85";"IS";"SL";"-97.43";"7.85";"4d 4h 0m";""
"8";"USDJPY_DukasM1_the5ers";"Buy";"2004.02.05 20:00:00";"105.650";"0.31";"2004.02.06 11:00:00";"106.464";"163.26";"10118.10";"IS";"PT";"-22.30";"165.01";"15h 0m";""
"9";"USDJPY_DukasM1_the5ers";"Buy";"2004.02.13 18:00:00";"105.590";"0.33";"2004.02.17 11:00:00";"105.456";"-31.00";"10087.11";"IS";"TrailingStop";"-60.42";"88.48";"3d 17h 0m";""
"10";"USDJPY_DukasM1_the5ers";"Buy";"2004.03.22 03:00:00";"107.330";"0.19";"2004.03.22 09:00:00";"106.930";"-50.65";"10036.46";"IS";"TrailingStop";"-49.70";"39.76";"6h 0m";""
"11";"USDJPY_DukasM1_the5ers";"Buy";"2004.03.30 11:00:00";"106.180";"0.22";"2004.03.31 02:00:00";"105.483";"-101.52";"9934.94";"IS";"SL";"-100.27";"7.19";"15h 0m";""
"12";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.20 23:00:00";"108.700";"0.18";"2004.04.21 17:00:00";"108.889";"21.23";"9956.17";"IS";"TrailingStop";"-21.19";"125.94";"18h 0m";""
"13";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.22 17:00:00";"109.770";"0.18";"2004.04.23 10:00:00";"109.158";"-73.05";"9883.12";"IS";"TrailingStop";"-72.04";"15.30";"17h 0m";""
"14";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.27 15:00:00";"109.790";"0.21";"2004.04.28 05:00:00";"109.064";"-100.88";"9782.23";"IS";"SL";"-99.70";"10.99";"14h 0m";""
"15";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.28 17:00:00";"109.870";"0.21";"2004.04.29 16:00:00";"110.114";"32.04";"9814.28";"IS";"TrailingStop";"-28.84";"162.04";"23h 0m";""
"16";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.13 04:00:00";"113.500";"0.19";"2004.05.14 13:00:00";"114.844";"165.91";"9980.19";"IS";"PT";"0.00";"166.98";"1d 9h 0m";""
"17";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.18 04:00:00";"114.510";"0.15";"2004.05.18 09:00:00";"113.819";"-68.53";"9911.66";"IS";"TrailingStop";"-67.78";"20.60";"5h 0m";""
"18";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.25 01:00:00";"113.042";"0.19";"2004.05.25 11:00:00";"112.524";"-65.31";"9846.35";"IS";"TrailingStop";"-64.36";"37.02";"10h 0m";""
"19";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.04 15:00:00";"111.550";"0.19";"2004.06.04 15:00:00";"110.783";"-96.25";"9750.10";"IS";"SL";"-95.30";"47.09";"0s";""
"20";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.04 17:00:00";"111.550";"0.15";"2004.06.07 04:00:00";"110.581";"-95.90";"9654.21";"IS";"SL";"-95.05";"0.00";"2d 11h 0m";""
"21";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.22 17:00:00";"108.890";"0.21";"2004.06.23 04:00:00";"108.708";"-26.18";"9628.03";"IS";"TrailingStop";"-24.99";"74.15";"11h 0m";""
"22";"USDJPY_DukasM1_the5ers";"Buy";"2004.07.06 03:00:00";"109.317";"0.21";"2004.07.06 14:00:00";"109.094";"-31.67";"9596.36";"IS";"TrailingStop";"-30.62";"58.09";"11h 0m";""
"23";"USDJPY_DukasM1_the5ers";"Buy";"2004.07.15 04:00:00";"109.420";"0.2";"2004.07.15 14:00:00";"109.063";"-47.69";"9548.67";"IS";"TrailingStop";"-46.69";"26.16";"10h 0m";""
"24";"USDJPY_DukasM1_the5ers";"Buy";"2004.07.15 16:00:00";"109.480";"0.21";"2004.07.16 15:00:00";"109.343";"-20.00";"9528.67";"IS";"TrailingStop";"-24.72";"75.67";"23h 0m";""
