"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"AUDJPY_DukasM1_the5ers";"Buy";"2003.12.26 00:00:00";"79.509";"0.28";"2003.12.26 22:00:00";"79.632";"21.12";"10021.12";"IS";"Exit After X Bars";"-36.07";"36.25";"22h 0m";""
"2";"AUDJPY_DukasM1_the5ers";"Buy";"2003.12.31 01:00:00";"79.997";"0.25";"2003.12.31 23:00:00";"80.635";"103.05";"10124.17";"IS";"Exit After X Bars";"-28.61";"137.98";"22h 0m";""
"3";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.01 00:00:00";"80.513";"0.21";"2004.01.01 22:00:00";"80.361";"-21.92";"10102.25";"IS";"Exit After X Bars";"-56.71";"39.96";"22h 0m";""
"4";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.08 00:00:00";"81.513";"0.24";"2004.01.08 22:00:00";"82.185";"104.26";"10206.51";"IS";"Exit After X Bars";"-57.60";"129.63";"22h 0m";""
"5";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.19 01:00:00";"81.352";"0.22";"2004.01.19 02:54:00";"80.655";"-101.37";"10105.14";"IS";"SL";"-100.27";"10.50";"1h 54m";""
"6";"AUDJPY_DukasM1_the5ers";"Buy";"2004.03.15 01:00:00";"80.829";"0.13";"2004.03.15 23:00:00";"81.260";"35.99";"10141.13";"IS";"Exit After X Bars";"-30.94";"62.57";"22h 0m";""
"7";"AUDJPY_DukasM1_the5ers";"Buy";"2004.03.29 01:00:00";"78.401";"0.17";"2004.03.29 23:00:00";"78.806";"44.17";"10185.30";"IS";"Exit After X Bars";"-4.34";"62.48";"22h 0m";""
"8";"AUDJPY_DukasM1_the5ers";"Buy";"2004.03.30 00:00:00";"78.785";"0.2";"2004.03.30 23:00:00";"79.541";"97.87";"10283.18";"IS";"Exit After X Bars";"-21.58";"134.71";"23h 0m";""
"9";"AUDJPY_DukasM1_the5ers";"Buy";"2004.04.14 00:00:00";"80.370";"0.21";"2004.04.14 08:24:00";"79.667";"-97.59";"10185.59";"IS";"SL";"-96.54";"30.21";"8h 24m";""
"10";"AUDJPY_DukasM1_the5ers";"Buy";"2004.04.16 01:00:00";"80.081";"0.17";"2004.04.16 23:00:00";"80.119";"3.37";"10188.96";"IS";"Exit After X Bars";"-27.35";"71.59";"22h 0m";""
"11";"AUDJPY_DukasM1_the5ers";"Buy";"2004.04.22 00:00:00";"79.874";"0.18";"2004.04.22 22:00:00";"80.272";"45.95";"10234.91";"IS";"Exit After X Bars";"-73.80";"58.26";"22h 0m";""
"12";"AUDJPY_DukasM1_the5ers";"Buy";"2004.05.25 00:00:00";"78.692";"0.21";"2004.05.25 22:00:00";"79.151";"61.98";"10296.89";"IS";"Exit After X Bars";"-11.54";"107.94";"22h 0m";""
"13";"AUDJPY_DukasM1_the5ers";"Buy";"2004.06.02 01:00:00";"78.047";"0.2";"2004.06.02 14:26:00";"77.312";"-97.13";"10199.76";"IS";"SL";"-96.13";"54.67";"13h 26m";""
"14";"AUDJPY_DukasM1_the5ers";"Buy";"2004.06.25 00:00:00";"74.942";"0.21";"2004.06.25 22:00:00";"75.299";"47.97";"10247.74";"IS";"Exit After X Bars";"-15.52";"65.78";"22h 0m";""
"15";"AUDJPY_DukasM1_the5ers";"Buy";"2004.06.28 01:00:00";"75.120";"0.23";"2004.06.28 23:00:00";"75.490";"54.50";"10302.24";"IS";"Exit After X Bars";"-31.58";"83.47";"22h 0m";""
"16";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.05 01:00:00";"77.223";"0.22";"2004.07.05 23:00:00";"77.647";"59.90";"10362.14";"IS";"Exit After X Bars";"-20.86";"82.43";"22h 0m";""
"17";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.12 01:00:00";"77.969";"0.24";"2004.07.12 23:00:00";"78.728";"117.92";"10480.05";"IS";"Exit After X Bars";"-24.17";"142.66";"22h 0m";""
"18";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.13 00:00:00";"78.729";"0.24";"2004.07.13 22:00:00";"78.849";"17.63";"10497.69";"IS";"Exit After X Bars";"-57.28";"75.49";"22h 0m";""
