"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"AUDJPY_DukasM1_the5ers";"Buy";"2003.12.31 04:00:00";"80.087";"0.11";"2004.01.01 17:53:00";"80.122";"1.88";"10001.88";"IS";"TrailingStop";"-19.06";"54.24";"1d 13h 53m";""
"2";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.02 04:00:00";"80.635";"0.09";"2004.01.05 15:25:00";"81.214";"33.60";"10035.48";"IS";"TrailingStop";"-29.72";"86.22";"3d 11h 25m";""
"3";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.05 20:00:00";"81.476";"0.08";"2004.01.14 22:58:00";"82.091";"31.58";"10067.06";"IS";"TrailingStop";"-17.26";"114.36";"9d 2h 58m";""
"4";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.10 20:00:00";"82.333";"0.08";"2004.02.19 08:23:00";"84.519";"113.72";"10180.78";"IS";"PT";"-24.90";"114.36";"8d 12h 23m";""
"5";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.19 16:00:00";"84.335";"0.1";"2004.02.20 17:39:00";"84.251";"-6.02";"10174.76";"IS";"TrailingStop";"-12.03";"42.31";"1d 1h 39m";""
"6";"AUDJPY_DukasM1_the5ers";"Buy";"2004.04.07 04:00:00";"80.543";"0.07";"2004.04.13 09:54:00";"80.401";"-6.96";"10167.80";"IS";"TrailingStop";"-34.01";"38.63";"6d 5h 54m";""
"7";"AUDJPY_DukasM1_the5ers";"Buy";"2004.05.27 20:00:00";"79.404";"0.09";"2004.05.28 17:26:00";"78.700";"-41.91";"10125.89";"IS";"TrailingStop";"-41.43";"16.30";"21h 26m";""
"8";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.02 12:00:00";"76.627";"0.07";"2004.07.13 17:41:00";"79.060";"110.85";"10236.75";"IS";"PT";"-8.01";"111.37";"11d 5h 41m";""
"9";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.14 00:00:00";"78.743";"0.09";"2004.07.19 15:41:00";"79.117";"21.44";"10258.19";"IS";"TrailingStop";"-18.19";"68.15";"5d 15h 41m";""
"10";"AUDJPY_DukasM1_the5ers";"Buy";"2004.08.06 04:00:00";"78.432";"0.09";"2004.08.17 16:09:00";"78.827";"22.58";"10280.77";"IS";"TrailingStop";"-32.43";"71.98";"11d 12h 9m";""
"11";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.15 00:00:00";"76.927";"0.09";"2004.09.23 10:36:00";"78.881";"114.31";"10395.07";"IS";"PT";"-49.50";"115.00";"8d 10h 36m";""
"12";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.23 20:00:00";"78.967";"0.1";"2004.09.29 12:14:00";"79.322";"22.61";"10417.68";"IS";"TrailingStop";"-29.69";"74.22";"5d 16h 14m";""
"13";"AUDJPY_DukasM1_the5ers";"Buy";"2004.10.01 04:00:00";"79.931";"0.09";"2004.10.08 08:50:00";"80.201";"15.27";"10432.95";"IS";"TrailingStop";"-21.19";"62.44";"7d 4h 50m";""
"14";"AUDJPY_DukasM1_the5ers";"Buy";"2004.11.04 12:00:00";"80.315";"0.1";"2004.11.08 16:32:00";"79.937";"-25.27";"10407.68";"IS";"TrailingStop";"-24.72";"19.49";"4d 4h 32m";""
"15";"AUDJPY_DukasM1_the5ers";"Buy";"2004.11.11 04:00:00";"81.146";"0.1";"2004.11.12 04:16:00";"80.943";"-13.80";"10393.88";"IS";"TrailingStop";"-13.27";"36.55";"1d 0h 16m";""
"16";"AUDJPY_DukasM1_the5ers";"Buy";"2004.12.22 00:00:00";"79.814";"0.1";"2004.12.31 04:55:00";"79.930";"6.79";"10400.67";"IS";"TrailingStop";"-44.07";"58.00";"9d 4h 55m";""
"17";"AUDJPY_DukasM1_the5ers";"Buy";"2005.01.24 16:00:00";"79.025";"0.08";"2005.02.04 12:00:00";"80.079";"54.46";"10455.13";"IS";"TrailingStop";"-10.83";"94.90";"10d 20h 0m";""
"18";"AUDJPY_DukasM1_the5ers";"Buy";"2005.02.09 04:00:00";"80.697";"0.1";"2005.02.10 15:11:00";"82.529";"119.22";"10574.35";"IS";"PT";"-6.93";"119.80";"1d 11h 11m";""
"19";"AUDJPY_DukasM1_the5ers";"Buy";"2005.02.11 04:00:00";"82.628";"0.09";"2005.02.14 07:06:00";"82.220";"-24.49";"10549.86";"IS";"TrailingStop";"-24.01";"32.43";"3d 3h 6m";""
"20";"AUDJPY_DukasM1_the5ers";"Buy";"2005.02.18 00:00:00";"83.153";"0.1";"2005.02.22 04:47:00";"82.713";"-29.33";"10520.54";"IS";"TrailingStop";"-39.04";"22.36";"4d 4h 47m";""
"21";"AUDJPY_DukasM1_the5ers";"Buy";"2005.03.08 08:00:00";"83.183";"0.11";"2005.03.09 11:48:00";"82.958";"-16.76";"10503.77";"IS";"TrailingStop";"-16.18";"33.95";"1d 3h 48m";""
"22";"AUDJPY_DukasM1_the5ers";"Buy";"2005.03.18 00:00:00";"82.930";"0.1";"2005.03.21 18:32:00";"82.558";"-24.85";"10478.92";"IS";"TrailingStop";"-24.33";"22.36";"3d 18h 32m";""
"23";"AUDJPY_DukasM1_the5ers";"Buy";"2005.04.01 16:00:00";"82.759";"0.11";"2005.04.06 08:35:00";"82.546";"-15.96";"10462.96";"IS";"TrailingStop";"-15.32";"44.17";"4d 16h 35m";""
"24";"AUDJPY_DukasM1_the5ers";"Buy";"2005.04.07 16:00:00";"83.303";"0.11";"2005.04.15 02:14:00";"83.108";"-14.81";"10448.15";"IS";"TrailingStop";"-20.57";"42.22";"7d 10h 14m";""
"25";"AUDJPY_DukasM1_the5ers";"Buy";"2005.05.24 04:00:00";"81.679";"0.12";"2005.05.25 02:36:00";"81.542";"-11.38";"10436.76";"IS";"TrailingStop";"-10.75";"36.96";"22h 36m";""
"26";"AUDJPY_DukasM1_the5ers";"Buy";"2005.05.25 04:00:00";"81.685";"0.12";"2005.05.26 23:59:00";"81.747";"4.14";"10440.90";"IS";"TrailingStop";"-11.77";"57.75";"1d 19h 59m";""
"27";"AUDJPY_DukasM1_the5ers";"Buy";"2005.06.08 20:00:00";"82.077";"0.11";"2005.06.14 03:56:00";"83.706";"116.45";"10557.35";"IS";"PT";"-12.30";"117.18";"5d 7h 56m";""
"28";"AUDJPY_DukasM1_the5ers";"Buy";"2005.06.14 08:00:00";"83.427";"0.11";"2005.06.21 16:29:00";"84.325";"63.84";"10621.19";"IS";"TrailingStop";"-8.85";"114.66";"7d 8h 29m";""
"29";"AUDJPY_DukasM1_the5ers";"Buy";"2005.07.14 00:00:00";"83.879";"0.1";"2005.07.15 17:03:00";"83.842";"-2.95";"10618.24";"IS";"TrailingStop";"-10.53";"41.26";"1d 17h 3m";""
"30";"AUDJPY_DukasM1_the5ers";"Buy";"2005.07.20 12:00:00";"84.967";"0.1";"2005.07.21 14:05:00";"84.934";"-2.74";"10615.50";"IS";"TrailingStop";"-3.99";"53.16";"1d 2h 5m";""
