"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"AUDUSD_DukasM1_the5ers";"Buy";"2003.08.26 20:00:00";"0.64430";"0.22";"2003.08.27 10:43:00";"0.63979";"-101.06";"9898.94";"IS";"SL";"-99.22";"30.14";"14h 43m";""
"2";"AUDUSD_DukasM1_the5ers";"Buy";"2003.08.27 20:00:00";"0.64037";"0.21";"2003.08.28 03:14:00";"0.63560";"-103.34";"9795.60";"IS";"SL";"-100.17";"12.81";"7h 14m";""
"3";"AUDUSD_DukasM1_the5ers";"Buy";"2003.08.28 12:00:00";"0.63837";"0.2";"2003.09.02 09:12:00";"0.64196";"68.78";"9864.39";"IS";"TrailingStop";"-40.80";"218.20";"4d 21h 12m";""
"4";"AUDUSD_DukasM1_the5ers";"Buy";"2003.09.02 20:00:00";"0.64049";"0.22";"2003.09.02 22:10:00";"0.63597";"-100.54";"9763.85";"IS";"SL";"-99.44";"10.12";"2h 10m";""
"5";"AUDUSD_DukasM1_the5ers";"Buy";"2003.09.03 08:00:00";"0.63692";"0.2";"2003.09.09 14:16:00";"0.65248";"306.17";"10070.02";"IS";"PT";"-42.20";"311.20";"6d 6h 16m";""
"6";"AUDUSD_DukasM1_the5ers";"Buy";"2003.09.17 04:00:00";"0.66129";"0.21";"2003.09.22 01:00:00";"0.67671";"319.24";"10389.26";"IS";"PT";"-64.68";"323.82";"4d 21h 0m";""
"7";"AUDUSD_DukasM1_the5ers";"Buy";"2003.09.24 08:00:00";"0.67490";"0.19";"2003.09.26 15:00:00";"0.67452";"-10.72";"10378.53";"IS";"TrailingStop";"-30.97";"142.50";"2d 7h 0m";""
"8";"AUDUSD_DukasM1_the5ers";"Buy";"2003.09.29 04:00:00";"0.67391";"0.2";"2003.09.29 10:07:00";"0.66910";"-97.20";"10281.33";"IS";"SL";"-96.20";"8.20";"6h 7m";""
"9";"AUDUSD_DukasM1_the5ers";"Buy";"2003.10.06 04:00:00";"0.67765";"0.18";"2003.10.09 10:47:00";"0.69549";"317.20";"10598.53";"IS";"PT";"-27.54";"321.12";"3d 6h 47m";""
"10";"AUDUSD_DukasM1_the5ers";"Buy";"2003.10.10 08:00:00";"0.68906";"0.18";"2003.10.13 10:55:00";"0.68604";"-55.86";"10542.67";"IS";"TrailingStop";"-54.36";"83.88";"3d 2h 55m";""
