"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"EURJPY_DukasM1_the5ers";"Buy";"2003.09.12 20:00:00";"132.726";"0.1";"2003.09.16 10:31:00";"131.279";"-95.25";"9904.75";"IS";"SL";"-94.62";"10.07";"3d 14h 31m";""
"2";"EURJPY_DukasM1_the5ers";"Buy";"2003.09.25 00:00:00";"128.458";"0.11";"2003.09.29 10:17:00";"127.082";"-99.67";"9805.07";"IS";"SL";"-98.98";"45.46";"4d 10h 17m";""
"3";"EURJPY_DukasM1_the5ers";"Buy";"2003.09.29 20:00:00";"128.628";"0.11";"2003.09.30 20:00:00";"130.167";"110.08";"9915.16";"IS";"Exit Signal";"-18.56";"112.36";"1d 0h 0m";""
"4";"EURJPY_DukasM1_the5ers";"Buy";"2003.10.06 16:00:00";"129.358";"0.11";"2003.10.08 04:00:00";"129.077";"-20.91";"9894.25";"IS";"Exit Signal";"-40.14";"72.79";"1d 12h 0m";""
"5";"EURJPY_DukasM1_the5ers";"Buy";"2003.10.30 16:00:00";"126.708";"0.14";"2003.11.05 10:17:00";"125.638";"-99.02";"9795.22";"IS";"SL";"-97.96";"129.27";"5d 18h 17m";""
"6";"EURJPY_DukasM1_the5ers";"Buy";"2003.11.25 12:00:00";"129.298";"0.13";"2003.11.28 04:00:00";"130.477";"99.15";"9894.38";"IS";"Exit Signal";"-49.14";"103.03";"2d 16h 0m";""
"7";"EURJPY_DukasM1_the5ers";"Buy";"2003.12.24 08:00:00";"133.288";"0.17";"2003.12.25 12:00:00";"133.497";"22.05";"9916.43";"IS";"Exit Signal";"-27.57";"55.81";"1d 4h 0m";""
"8";"EURJPY_DukasM1_the5ers";"Buy";"2004.01.08 16:00:00";"135.178";"0.11";"2004.01.13 04:00:00";"135.567";"27.22";"9943.64";"IS";"Exit Signal";"-22.15";"192.20";"4d 12h 0m";""
"9";"EURJPY_DukasM1_the5ers";"Buy";"2004.01.27 20:00:00";"133.338";"0.1";"2004.01.29 00:22:00";"131.912";"-94.01";"9849.63";"IS";"SL";"-93.25";"55.71";"1d 4h 22m";""
"10";"EURJPY_DukasM1_the5ers";"Buy";"2004.02.11 20:00:00";"135.068";"0.11";"2004.02.13 08:00:00";"135.147";"4.84";"9854.48";"IS";"Exit Signal";"-22.87";"25.32";"1d 12h 0m";""
"11";"EURJPY_DukasM1_the5ers";"Buy";"2004.03.29 16:00:00";"128.268";"0.09";"2004.03.31 10:26:00";"126.59";"-99.32";"9755.15";"IS";"SL";"-98.76";"90.16";"1d 18h 26m";""
"12";"EURJPY_DukasM1_the5ers";"Buy";"2004.04.06 08:00:00";"128.008";"0.08";"2004.04.20 20:00:00";"129.087";"55.31";"9810.47";"IS";"Exit Signal";"-85.69";"139.78";"14d 12h 0m";""
"13";"EURJPY_DukasM1_the5ers";"Buy";"2004.04.22 16:00:00";"129.988";"0.1";"2004.04.23 20:00:00";"129.082";"-59.81";"9750.66";"IS";"Exit Signal";"-76.97";"67.48";"1d 4h 0m";""
"14";"EURJPY_DukasM1_the5ers";"Buy";"2004.05.12 20:00:00";"134.808";"0.11";"2004.05.18 02:30:00";"137.769";"212.01";"9962.66";"IS";"PT";"-36.54";"212.99";"5d 6h 30m";""
"15";"EURJPY_DukasM1_the5ers";"Buy";"2004.06.03 16:00:00";"136.178";"0.1";"2004.06.07 20:00:00";"135.077";"-72.63";"9890.04";"IS";"Exit Signal";"-86.19";"38.06";"4d 4h 0m";""
"16";"EURJPY_DukasM1_the5ers";"Buy";"2004.06.22 20:00:00";"132.088";"0.12";"2004.06.24 01:49:00";"130.836";"-99.16";"9790.88";"IS";"SL";"-98.25";"25.27";"1d 5h 49m";""
"17";"EURJPY_DukasM1_the5ers";"Buy";"2004.06.30 12:00:00";"132.108";"0.13";"2004.07.06 04:43:00";"134.709";"219.95";"10010.83";"IS";"PT";"-75.49";"221.11";"5d 16h 43m";""
"18";"EURJPY_DukasM1_the5ers";"Buy";"2004.07.27 16:00:00";"133.698";"0.15";"2004.07.30 20:00:00";"133.771";"5.92";"10016.75";"IS";"Exit Signal";"-13.54";"166.95";"3d 4h 0m";""
"19";"EURJPY_DukasM1_the5ers";"Buy";"2004.08.04 08:00:00";"133.748";"0.15";"2004.08.05 12:00:00";"133.867";"10.63";"10027.38";"IS";"Exit Signal";"-21.38";"54.14";"1d 4h 0m";""
"20";"EURJPY_DukasM1_the5ers";"Buy";"2004.08.25 16:00:00";"133.098";"0.14";"2004.08.27 15:55:00";"132.018";"-99.94";"9927.44";"IS";"SL";"-98.87";"39.55";"1d 23h 55m";""
"21";"EURJPY_DukasM1_the5ers";"Buy";"2004.10.13 12:00:00";"135.248";"0.19";"2004.10.19 08:00:00";"136.427";"144.79";"10072.23";"IS";"Exit Signal";"-85.48";"205.25";"5d 20h 0m";""
"22";"EURJPY_DukasM1_the5ers";"Buy";"2004.10.20 12:00:00";"136.328";"0.18";"2004.10.21 14:35:00";"135.49";"-99.89";"9972.34";"IS";"SL";"-98.64";"37.90";"1d 2h 35m";""
"23";"EURJPY_DukasM1_the5ers";"Buy";"2004.11.03 16:00:00";"135.968";"0.17";"2004.11.09 04:00:00";"136.387";"45.06";"10017.40";"IS";"Exit Signal";"-30.90";"109.61";"5d 12h 0m";""
"24";"EURJPY_DukasM1_the5ers";"Buy";"2004.11.10 12:00:00";"136.938";"0.2";"2004.11.11 12:00:00";"137.617";"87.41";"10104.81";"IS";"Exit Signal";"-11.51";"174.21";"1d 0h 0m";""
"25";"EURJPY_DukasM1_the5ers";"Buy";"2005.01.19 12:00:00";"134.338";"0.14";"2005.01.19 19:24:00";"133.284";"-97.19";"10007.62";"IS";"SL";"-96.49";"1.10";"7h 24m";""
"26";"EURJPY_DukasM1_the5ers";"Buy";"2005.02.03 08:00:00";"135.678";"0.16";"2005.02.04 08:00:00";"135.447";"-25.07";"9982.54";"IS";"Exit Signal";"-44.78";"10.67";"1d 0h 0m";""
