"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"EURUSD_DukasM1_the5ers";"Buy";"2003.08.13 18:00:00";"1.12944";"0.13";"2003.08.18 04:56:00";"1.12215";"-97.42";"9902.58";"IS";"SL";"-94.77";"54.73";"4d 10h 56m";""
"2";"EURUSD_DukasM1_the5ers";"Buy";"2003.08.26 18:00:00";"1.08803";"0.11";"2003.08.29 14:52:00";"1.09315";"54.08";"9956.67";"IS";"PT";"-79.31";"56.32";"2d 20h 52m";""
"3";"EURUSD_DukasM1_the5ers";"Buy";"2003.09.09 06:00:00";"1.10882";"0.13";"2003.09.09 13:16:00";"1.11334";"58.11";"10014.78";"IS";"PT";"-10.14";"58.76";"7h 16m";""
"4";"EURUSD_DukasM1_the5ers";"Buy";"2003.09.29 18:00:00";"1.15586";"0.11";"2003.09.30 00:53:00";"1.16120";"57.85";"10072.63";"IS";"PT";"-4.84";"58.74";"6h 53m";""
"5";"EURUSD_DukasM1_the5ers";"Buy";"2003.10.10 14:00:00";"1.17941";"0.11";"2003.10.10 15:09:00";"1.18457";"56.21";"10128.84";"IS";"PT";"-31.90";"56.76";"1h 9m";""
"6";"EURUSD_DukasM1_the5ers";"Buy";"2003.10.17 17:00:00";"1.16328";"0.1";"2003.10.20 00:05:00";"1.16915";"57.89";"10186.73";"IS";"PT";"-13.70";"94.20";"2d 7h 5m";""
"7";"EURUSD_DukasM1_the5ers";"Buy";"2003.11.11 12:00:00";"1.14956";"0.14";"2003.11.12 04:38:00";"1.15368";"56.55";"10243.28";"IS";"PT";"-18.20";"57.68";"16h 38m";""
"8";"EURUSD_DukasM1_the5ers";"Buy";"2003.11.21 15:00:00";"1.18966";"0.12";"2003.11.24 11:55:00";"1.18181";"-95.17";"10148.11";"IS";"SL";"-94.20";"48.36";"2d 20h 55m";""
"9";"EURUSD_DukasM1_the5ers";"Buy";"2003.12.04 16:00:00";"1.21193";"0.11";"2003.12.04 17:51:00";"1.20325";"-96.03";"10052.08";"IS";"SL";"-95.48";"37.40";"1h 51m";""
"10";"EURUSD_DukasM1_the5ers";"Buy";"2003.12.05 13:00:00";"1.20741";"0.12";"2003.12.05 15:28:00";"1.21213";"56.04";"10108.12";"IS";"PT";"-11.28";"56.64";"2h 28m";""
"11";"EURUSD_DukasM1_the5ers";"Buy";"2003.12.10 13:00:00";"1.22193";"0.12";"2003.12.11 10:43:00";"1.21378";"-99.51";"10008.62";"IS";"SL";"-97.80";"53.52";"21h 43m";""
"12";"EURUSD_DukasM1_the5ers";"Buy";"2003.12.11 22:00:00";"1.22246";"0.1";"2003.12.12 18:51:00";"1.22818";"56.39";"10065.01";"IS";"PT";"-24.00";"57.20";"20h 51m";""
"13";"EURUSD_DukasM1_the5ers";"Buy";"2004.01.08 16:00:00";"1.27321";"0.09";"2004.01.09 15:32:00";"1.27943";"55.25";"10120.26";"IS";"PT";"-27.00";"55.98";"23h 32m";""
"14";"EURUSD_DukasM1_the5ers";"Buy";"2004.01.19 16:00:00";"1.23935";"0.1";"2004.01.20 09:55:00";"1.24501";"55.79";"10176.06";"IS";"PT";"-52.70";"56.60";"17h 55m";""
"15";"EURUSD_DukasM1_the5ers";"Buy";"2004.02.03 08:00:00";"1.24656";"0.11";"2004.02.03 09:35:00";"1.25163";"55.22";"10231.28";"IS";"PT";"-4.40";"55.77";"1h 35m";""
"16";"EURUSD_DukasM1_the5ers";"Buy";"2004.02.04 19:00:00";"1.25508";"0.11";"2004.02.05 16:19:00";"1.26031";"55.97";"10287.24";"IS";"PT";"-38.61";"57.53";"21h 19m";""
"17";"EURUSD_DukasM1_the5ers";"Buy";"2004.02.06 16:00:00";"1.26625";"0.1";"2004.02.06 17:34:00";"1.27207";"57.70";"10344.94";"IS";"PT";"-14.70";"58.20";"1h 34m";""
"18";"EURUSD_DukasM1_the5ers";"Buy";"2004.02.09 03:00:00";"1.26813";"0.08";"2004.02.09 07:41:00";"1.27503";"54.80";"10399.74";"IS";"PT";"-2.08";"55.20";"4h 41m";""
"19";"EURUSD_DukasM1_the5ers";"Buy";"2004.03.04 00:00:00";"1.22012";"0.08";"2004.03.05 15:29:00";"1.22694";"53.91";"10453.66";"IS";"PT";"-54.24";"54.56";"1d 15h 29m";""
"20";"EURUSD_DukasM1_the5ers";"Buy";"2004.03.08 05:00:00";"1.23623";"0.09";"2004.03.09 03:06:00";"1.24250";"55.70";"10509.36";"IS";"PT";"-20.34";"56.43";"22h 6m";""
"21";"EURUSD_DukasM1_the5ers";"Buy";"2004.03.18 03:00:00";"1.22548";"0.1";"2004.03.18 16:31:00";"1.23114";"56.10";"10565.46";"IS";"PT";"-19.50";"56.60";"13h 31m";""
"22";"EURUSD_DukasM1_the5ers";"Buy";"2004.03.24 09:00:00";"1.23238";"0.12";"2004.03.24 12:49:00";"1.22443";"-96.00";"10469.46";"IS";"SL";"-95.40";"0.12";"3h 49m";""
"23";"EURUSD_DukasM1_the5ers";"Buy";"2004.04.06 15:00:00";"1.21036";"0.1";"2004.04.07 17:45:00";"1.21628";"58.39";"10527.86";"IS";"PT";"-60.40";"59.20";"1d 2h 45m";""
"24";"EURUSD_DukasM1_the5ers";"Buy";"2004.04.09 10:00:00";"1.21004";"0.12";"2004.04.13 09:31:00";"1.20224";"-94.94";"10432.92";"IS";"SL";"-93.60";"12.00";"3d 23h 31m";""
"25";"EURUSD_DukasM1_the5ers";"Buy";"2004.04.22 05:00:00";"1.18359";"0.1";"2004.04.22 16:46:00";"1.18947";"58.30";"10491.22";"IS";"PT";"-43.50";"58.80";"11h 46m";""
"26";"EURUSD_DukasM1_the5ers";"Buy";"2004.04.29 16:00:00";"1.18825";"0.11";"2004.04.29 16:43:00";"1.19324";"54.34";"10545.56";"IS";"PT";"-4.51";"54.89";"43m 0s";""
"27";"EURUSD_DukasM1_the5ers";"Buy";"2004.05.04 12:00:00";"1.20323";"0.12";"2004.05.04 15:55:00";"1.20795";"56.04";"10601.60";"IS";"PT";"-7.68";"56.64";"3h 55m";""
"28";"EURUSD_DukasM1_the5ers";"Buy";"2004.05.11 04:00:00";"1.18729";"0.11";"2004.05.12 15:54:00";"1.19253";"56.75";"10658.35";"IS";"PT";"-94.60";"57.64";"1d 11h 54m";""
"29";"EURUSD_DukasM1_the5ers";"Buy";"2004.05.19 10:00:00";"1.20121";"0.11";"2004.05.20 09:19:00";"1.19257";"-96.60";"10561.75";"IS";"SL";"-95.04";"31.68";"23h 19m";""
"30";"EURUSD_DukasM1_the5ers";"Buy";"2004.05.21 09:00:00";"1.19999";"0.12";"2004.05.21 12:10:00";"1.20459";"54.60";"10616.35";"IS";"PT";"-5.28";"55.20";"3h 10m";""
"31";"EURUSD_DukasM1_the5ers";"Buy";"2004.05.24 20:00:00";"1.20145";"0.12";"2004.05.25 11:08:00";"1.20640";"58.43";"10674.78";"IS";"PT";"-39.24";"59.40";"15h 8m";""
