"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.10 04:00:00";"186.013";"0.23";"2003.09.10 14:56:00";"185.361";"-99.21";"9900.79";"IS";"SL";"-98.06";"26.62";"10h 56m";""
"2";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.30 04:00:00";"185.077";"0.21";"2003.09.30 11:54:00";"184.378";"-97.04";"9803.75";"IS";"SL";"-95.99";"67.43";"7h 54m";""
"3";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.06 16:00:00";"185.753";"0.24";"2003.10.06 21:17:00";"185.123";"-100.07";"9703.67";"IS";"SL";"-98.87";"2.20";"5h 17m";""
"4";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.13 12:00:00";"180.628";"0.25";"2003.10.13 12:37:00";"180.018";"-100.97";"9602.70";"IS";"SL";"-99.72";"0.00";"37m 0s";""
"5";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.20 04:00:00";"183.705";"0.26";"2003.10.20 16:00:00";"184.615";"153.42";"9756.12";"IS";"Exit Signal";"-51.52";"226.30";"12h 0m";""
"6";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.29 04:00:00";"184.065";"0.28";"2003.10.29 09:08:00";"183.524";"-100.46";"9655.66";"IS";"SL";"-99.06";"26.37";"5h 8m";""
"7";"GBPJPY_DukasM1_the5ers";"Buy";"2003.11.25 08:00:00";"185.730";"0.29";"2003.11.27 12:33:00";"187.149";"266.35";"9922.01";"IS";"PT";"-58.60";"269.10";"2d 4h 33m";""
"8";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.08 16:00:00";"186.042";"0.3";"2003.12.08 16:58:00";"185.545";"-99.00";"9823.01";"IS";"SL";"-97.50";"17.46";"58m 0s";""
"9";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.09 12:00:00";"186.398";"0.31";"2003.12.10 09:37:00";"187.754";"272.99";"10096.00";"IS";"PT";"-19.46";"274.88";"21h 37m";""
"10";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.16 20:00:00";"188.519";"0.32";"2003.12.17 10:48:00";"188.040";"-102.19";"9993.81";"IS";"SL";"-100.23";"46.04";"14h 48m";""
"11";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.30 20:00:00";"190.244";"0.3";"2003.12.31 15:08:00";"191.609";"265.95";"10259.75";"IS";"PT";"-77.49";"267.78";"19h 8m";""
"12";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.19 12:00:00";"191.544";"0.22";"2004.01.20 12:57:00";"193.404";"266.24";"10525.99";"IS";"PT";"-79.70";"267.59";"1d 0h 57m";""
"13";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.27 20:00:00";"192.837";"0.2";"2004.01.28 12:00:00";"193.497";"85.09";"10611.09";"IS";"Exit Signal";"-37.40";"184.14";"16h 0m";""
"14";"GBPJPY_DukasM1_the5ers";"Buy";"2004.02.17 08:00:00";"199.892";"0.28";"2004.02.17 17:17:00";"201.378";"270.68";"10881.77";"IS";"PT";"-64.08";"272.08";"9h 17m";""
"15";"GBPJPY_DukasM1_the5ers";"Buy";"2004.02.24 12:00:00";"202.882";"0.24";"2004.02.24 16:00:00";"203.142";"39.60";"10921.38";"IS";"Exit Signal";"-22.60";"80.82";"4h 0m";""
"16";"GBPJPY_DukasM1_the5ers";"Buy";"2004.03.29 12:00:00";"192.179";"0.18";"2004.03.29 19:22:00";"191.352";"-98.24";"10823.13";"IS";"SL";"-97.34";"22.72";"7h 22m";""
"17";"GBPJPY_DukasM1_the5ers";"Buy";"2004.04.06 04:00:00";"192.128";"0.18";"2004.04.06 06:28:00";"194.362";"262.06";"11085.19";"IS";"PT";"-19.07";"262.96";"2h 28m";""
"18";"GBPJPY_DukasM1_the5ers";"Buy";"2004.04.13 20:00:00";"194.046";"0.2";"2004.04.14 13:26:00";"193.287";"-100.49";"10984.70";"IS";"SL";"-99.27";"53.88";"17h 26m";""
"19";"GBPJPY_DukasM1_the5ers";"Buy";"2004.04.26 16:00:00";"193.692";"0.2";"2004.04.27 14:05:00";"195.736";"266.10";"11250.80";"IS";"PT";"-53.36";"267.32";"22h 5m";""
"20";"GBPJPY_DukasM1_the5ers";"Buy";"2004.05.04 12:00:00";"197.223";"0.21";"2004.05.04 14:38:00";"196.500";"-100.34";"11150.47";"IS";"SL";"-99.29";"10.02";"2h 38m";""
"21";"GBPJPY_DukasM1_the5ers";"Buy";"2004.05.17 20:00:00";"202.159";"0.19";"2004.05.18 02:58:00";"201.379";"-98.07";"11052.39";"IS";"SL";"-96.91";"87.10";"6h 58m";""
