"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.13 12:00:00";"1.60250";"0.21";"2003.08.13 17:10:00";"1.60891";"133.56";"10133.56";"IS";"PT";"-32.97";"134.61";"5h 10m";""
"2";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.20 11:00:00";"1.59097";"0.2";"2003.08.21 10:17:00";"1.58604";"-101.02";"10032.54";"IS";"SL";"-98.60";"109.20";"23h 17m";""
"3";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.28 16:00:00";"1.57091";"0.17";"2003.08.29 04:36:00";"1.57880";"132.88";"10165.42";"IS";"PT";"-1.53";"134.13";"12h 36m";""
"4";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.03 17:00:00";"1.56958";"0.17";"2003.09.04 15:55:00";"1.57768";"135.65";"10301.07";"IS";"PT";"-50.66";"137.70";"22h 55m";""
"5";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.05 17:00:00";"1.58705";"0.16";"2003.09.09 10:31:00";"1.58095";"-99.16";"10201.91";"IS";"SL";"-97.60";"59.84";"3d 17h 31m";""
"6";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.01 11:00:00";"1.66428";"0.15";"2003.10.01 13:53:00";"1.65782";"-97.65";"10104.26";"IS";"SL";"-96.90";"14.40";"2h 53m";""
"7";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.24 15:00:00";"1.69760";"0.18";"2003.10.27 05:22:00";"1.69216";"-99.24";"10005.02";"IS";"SL";"-97.92";"25.56";"2d 14h 22m";""
"8";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.28 18:00:00";"1.69393";"0.18";"2003.10.29 03:55:00";"1.70136";"132.42";"10137.43";"IS";"PT";"-19.62";"133.74";"9h 55m";""
"9";"GBPUSD_DukasM1_the5ers";"Buy";"2003.11.18 18:00:00";"1.69908";"0.16";"2003.11.20 16:26:00";"1.70771";"135.77";"10273.20";"IS";"PT";"-68.48";"138.08";"1d 22h 26m";""
"10";"GBPUSD_DukasM1_the5ers";"Buy";"2003.11.26 18:00:00";"1.70775";"0.16";"2003.11.28 04:49:00";"1.71613";"131.77";"10404.97";"IS";"PT";"-10.88";"134.08";"1d 10h 49m";""
