"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.02.20 02:00:00";"9538.53";"1.83";"2012.02.27 02:28:00";"9682.02";"152.88";"10152.88";"IS";"TrailingStop";"-116.60";"234.79";"7d 0h 28m";""
"2";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.02.29 02:00:00";"9776.12";"1.63";"2012.02.29 07:36:00";"9779.6";"3.68";"10156.56";"IS";"TrailingStop";"-12.43";"95.57";"5h 36m";""
"3";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.03.01 02:34:00";"9862.6";"1.56";"2012.03.01 03:40:00";"9763.42";"-100.47";"10056.09";"IS";"SL";"-100.47";"1.66";"1h 6m";""
"4";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.03.08 05:37:00";"9728.94";"1.58";"2012.03.12 03:07:00";"9953.45";"221.47";"10277.56";"IS";"TrailingStop";"-20.62";"297.66";"3d 21h 30m";""
"5";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.03.15 07:25:00";"10144.62";"1.52";"2012.03.21 02:03:00";"10095.82";"-61.52";"10216.04";"IS";"TrailingStop";"-53.82";"27.66";"5d 18h 38m";""
"6";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.04.02 03:20:00";"10180.18";"2.06";"2012.04.02 07:58:00";"10126.44";"-71.88";"10144.16";"IS";"TrailingStop";"-71.89";"11.76";"4h 38m";""
"7";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.04.18 06:38:00";"9652.33";"1.52";"2012.04.19 03:00:00";"9577.68";"-75.80";"10068.36";"IS";"TrailingStop";"-73.68";"30.15";"20h 22m";""
"8";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.22 08:40:00";"8737.58";"1.58";"2012.05.23 03:26:00";"8639.55";"-102.57";"9965.79";"IS";"SL";"-100.58";"0.00";"18h 46m";""
"9";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.29 08:34:00";"8650.56";"1.91";"2012.05.30 04:59:00";"8569.34";"-103.12";"9862.68";"IS";"SL";"-100.73";"7.63";"20h 25m";""
"10";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.06 04:33:00";"8446.7";"1.94";"2012.06.08 03:03:00";"8587.57";"172.73";"10035.41";"IS";"TrailingStop";"-18.56";"253.32";"1d 22h 30m";""
"11";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.11 03:50:00";"8644.98";"1.81";"2012.06.12 03:00:00";"8477.78";"-198.77";"9836.63";"IS";"TrailingStop";"-196.51";"24.47";"23h 10m";""
"12";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.15 03:00:00";"8612.93";"1.79";"2012.06.19 03:00:00";"8691.82";"82.80";"9919.43";"IS";"TrailingStop";"-69.95";"176.23";"4d 0h 0m";""
"13";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.28 03:00:00";"8820.57";"2.08";"2012.06.29 03:00:00";"8810.46";"-16.30";"9903.13";"IS";"TrailingStop";"-20.15";"82.21";"1d 0h 0m";""
"14";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.29 06:31:00";"8878.82";"1.97";"2012.07.02 03:28:00";"9031.5";"187.74";"10090.87";"IS";"TrailingStop";"0.00";"269.48";"2d 20h 57m";""
"15";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.07.03 06:33:00";"9086.87";"1.83";"2012.07.05 06:38:00";"9071.58";"-22.97";"10067.90";"IS";"TrailingStop";"-46.89";"58.41";"2d 0h 5m";""
"16";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.07.19 03:01:00";"8806.08";"1.92";"2012.07.20 03:07:00";"8766.45";"-51.85";"10016.05";"IS";"TrailingStop";"-49.41";"37.05";"1d 0h 6m";""
"17";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.07.27 03:00:00";"8551.84";"1.85";"2012.07.30 07:43:00";"8604.72";"56.68";"10072.73";"IS";"TrailingStop";"-34.61";"131.65";"3d 4h 43m";""
"18";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.07.31 04:50:00";"8658.32";"1.84";"2012.08.01 03:00:00";"8621.04";"-46.84";"10025.89";"IS";"TrailingStop";"-44.54";"89.00";"22h 10m";""
"19";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.08.06 03:21:00";"8702.87";"1.76";"2012.08.08 07:42:00";"8890.52";"210.04";"10235.92";"IS";"TrailingStop";"-8.30";"297.14";"2d 4h 21m";""
"20";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.08.09 06:37:00";"8959.57";"1.67";"2012.08.10 05:18:00";"8920.85";"-44.15";"10191.77";"IS";"TrailingStop";"-41.99";"47.18";"22h 41m";""
"21";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.08.16 03:22:00";"9000.3";"1.83";"2012.08.20 06:59:00";"9169.36";"191.39";"10383.16";"IS";"TrailingStop";"-6.96";"258.71";"4d 3h 37m";""
"22";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.08.23 08:49:00";"9197.86";"2.16";"2012.08.24 03:00:00";"9068.95";"-183.68";"10199.49";"IS";"SL";"-180.81";"0.00";"18h 11m";""
"23";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.09.07 03:00:00";"8825.87";"1.94";"2012.09.11 03:00:00";"8810.33";"-29.46";"10170.03";"IS";"TrailingStop";"-24.20";"61.31";"4d 0h 0m";""
"24";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.09.12 03:38:00";"8872.65";"2.11";"2012.09.18 06:37:00";"9124.81";"329.28";"10499.31";"IS";"TrailingStop";"-9.44";"438.91";"6d 2h 59m";""
"25";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.10.16 03:00:00";"8643.18";"1.87";"2012.10.22 03:00:00";"8873.52";"265.70";"10765.01";"IS";"TrailingStop";"-11.54";"453.06";"6d 0h 0m";""
"26";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.10.22 07:54:00";"9012.83";"1.52";"2012.10.23 04:19:00";"9005.72";"-8.99";"10756.02";"IS";"TrailingStop";"-11.57";"61.94";"20h 25m";""
"27";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.10.26 03:59:00";"9072.71";"1.66";"2012.10.26 06:31:00";"8979.36";"-100.62";"10655.40";"IS";"SL";"-100.62";"3.10";"2h 32m";""
"28";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.11.02 02:00:00";"9053.72";"1.61";"2012.11.05 06:05:00";"8996.56";"-66.07";"10589.33";"IS";"TrailingStop";"-59.76";"17.63";"3d 4h 5m";""
"29";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.11.15 02:22:00";"8726.84";"2.46";"2012.11.20 06:44:00";"9140.37";"645.08";"11234.41";"IS";"TrailingStop";"-0.86";"757.18";"5d 4h 22m";""
"30";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.11.21 02:00:00";"9218.23";"2.02";"2012.11.21 05:42:00";"9191.0";"-35.72";"11198.69";"IS";"TrailingStop";"-35.72";"40.33";"3h 42m";""
"31";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.11.22 02:00:00";"9340.82";"1.76";"2012.11.26 07:37:00";"9419.44";"80.36";"11279.06";"IS";"TrailingStop";"-41.26";"168.14";"4d 5h 37m";""
"32";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.12.07 02:06:00";"9563.06";"2.46";"2012.12.10 03:02:00";"9548.88";"-32.83";"11246.22";"IS";"TrailingStop";"-65.38";"34.18";"3d 0h 56m";""
"33";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.12.17 02:00:00";"9900.18";"2.45";"2012.12.20 02:00:00";"10092.11";"294.84";"11541.07";"IS";"TrailingStop";"-117.54";"413.99";"3d 0h 0m";""
"34";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.12.21 02:11:00";"10157.27";"1.7";"2012.12.21 03:19:00";"10066.07";"-100.67";"11440.39";"IS";"SL";"-100.68";"19.64";"1h 8m";""
"35";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.12.27 04:15:00";"10370.83";"1.48";"2013.01.07 02:15:00";"10689.67";"282.05";"11722.44";"IS";"TrailingStop";"-61.43";"358.33";"10d 22h 0m";""
"36";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.01.10 02:06:00";"10656.9";"1.51";"2013.01.15 05:58:00";"10879.71";"206.86";"11929.30";"IS";"TrailingStop";"-36.52";"289.65";"5d 3h 52m";""
"37";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.01.18 05:30:00";"10876.33";"1.0";"2013.01.21 02:16:00";"10857.03";"-17.24";"11912.06";"IS";"TrailingStop";"-30.81";"42.29";"2d 20h 46m";""
"38";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.01.25 03:53:00";"10861.49";"0.93";"2013.01.28 03:10:00";"10913.03";"26.75";"11938.81";"IS";"TrailingStop";"-19.10";"85.37";"2d 23h 17m";""
"39";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.01.30 03:49:00";"10998.64";"1.18";"2013.01.31 03:29:00";"11037.21";"27.68";"11966.50";"IS";"TrailingStop";"-20.47";"105.43";"23h 40m";""
"40";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.02.06 05:42:00";"11389.95";"1.07";"2013.02.07 03:09:00";"11376.93";"-10.81";"11955.69";"IS";"TrailingStop";"-10.46";"75.37";"21h 27m";""
"41";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.02.12 06:39:00";"11440.61";"1.07";"2013.02.13 05:42:00";"11296.08";"-102.19";"11853.50";"IS";"SL";"-100.42";"13.92";"23h 3m";""
"42";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.02.18 02:03:00";"11351.95";"1.14";"2013.02.19 02:00:00";"11335.45";"-14.08";"11839.42";"IS";"TrailingStop";"-15.51";"69.22";"23h 57m";""
"43";"NIKKEI225_DukasM1_Infinox";"Buy";"2013.05.22 03:05:00";"15493.11";"0.34";"2013.05.22 21:08:00";"15780.06";"63.35";"11902.77";"IS";"TrailingStop";"0.00";"107.94";"18h 3m";""
