"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USA500_DukasM1_Infinox";"Buy";"2012.04.17 20:00:00";"1392.01";"0.42";"2012.04.23 16:52:00";"1368.12";"-107.16";"9892.84";"IS";"SL";"-100.34";"3.15";"5d 20h 52m";""
"2";"USA500_DukasM1_Infinox";"Buy";"2012.05.01 16:50:00";"1398.96";"0.55";"2012.05.01 18:11:00";"1411.17";"67.16";"9960.00";"IS";"PT";"-17.33";"67.15";"1h 21m";""
"3";"USA500_DukasM1_Infinox";"Buy";"2012.05.15 08:55:00";"1339.45";"0.46";"2012.05.17 16:54:00";"1322.54";"-80.18";"9879.82";"IS";"TrailingStop";"-77.79";"25.25";"2d 7h 59m";""
"4";"USA500_DukasM1_Infinox";"Buy";"2012.05.18 08:55:00";"1305.96";"0.44";"2012.05.22 17:08:00";"1321.24";"62.76";"9942.58";"IS";"PT";"-61.51";"67.23";"4d 8h 13m";""
"5";"USA500_DukasM1_Infinox";"Buy";"2012.05.24 16:45:00";"1319.82";"0.43";"2012.05.31 16:59:00";"1309.24";"-53.22";"9889.36";"IS";"TrailingStop";"-45.49";"64.89";"7d 0h 14m";""
"6";"USA500_DukasM1_Infinox";"Buy";"2012.06.12 08:55:00";"1310.03";"0.39";"2012.06.13 20:00:00";"1327.08";"65.50";"9954.86";"IS";"PT";"-13.14";"66.49";"1d 11h 5m";""
"7";"USA500_DukasM1_Infinox";"Buy";"2012.11.05 20:00:00";"1412.54";"0.42";"2012.11.06 18:58:00";"1428.51";"65.92";"10020.78";"IS";"PT";"-11.00";"67.07";"22h 58m";""
"8";"USA500_DukasM1_Infinox";"Buy";"2012.11.20 16:50:00";"1385.41";"0.3";"2012.11.23 20:18:00";"1407.68";"64.39";"10085.17";"IS";"PT";"-25.11";"66.81";"3d 3h 28m";""
"9";"USA500_DukasM1_Infinox";"Buy";"2012.11.28 05:10:00";"1400.04";"0.34";"2012.12.03 16:50:00";"1419.71";"62.25";"10147.42";"IS";"PT";"-49.27";"66.88";"5d 11h 40m";""
"10";"USA500_DukasM1_Infinox";"Buy";"2012.12.04 16:50:00";"1410.25";"0.4";"2012.12.11 17:12:00";"1426.73";"58.24";"10205.66";"IS";"PT";"-48.08";"65.92";"7d 0h 22m";""
"11";"USA500_DukasM1_Infinox";"Buy";"2013.06.11 04:00:00";"1643.28";"0.39";"2013.06.12 18:57:00";"1617.38";"-102.26";"10103.40";"IS";"SL";"-101.01";"0.00";"1d 14h 57m";""
"12";"USA500_DukasM1_Infinox";"Buy";"2013.06.17 12:00:00";"1638.5";"0.38";"2013.06.19 22:52:00";"1629.38";"-37.08";"10066.32";"IS";"TrailingStop";"-34.66";"61.53";"2d 10h 52m";""
"13";"USA500_DukasM1_Infinox";"Buy";"2013.06.28 08:00:00";"1617.26";"0.38";"2013.07.05 15:33:00";"1635.03";"59.16";"10125.49";"IS";"PT";"-66.87";"67.53";"7d 7h 33m";""
"14";"USA500_DukasM1_Infinox";"Buy";"2013.08.22 04:00:00";"1636.3";"0.51";"2013.08.22 16:36:00";"1649.37";"66.66";"10192.14";"IS";"PT";"-5.81";"66.66";"12h 36m";""
"15";"USA500_DukasM1_Infinox";"Buy";"2013.08.27 16:00:00";"1641.3";"0.46";"2013.09.05 01:08:00";"1655.73";"53.17";"10245.31";"IS";"PT";"-63.64";"69.91";"8d 9h 8m";""
"16";"USA500_DukasM1_Infinox";"Buy";"2013.09.06 08:00:00";"1654.49";"0.52";"2013.09.06 16:47:00";"1643.52";"-57.04";"10188.26";"IS";"TrailingStop";"-57.04";"51.51";"8h 47m";""
"17";"USA500_DukasM1_Infinox";"Buy";"2013.09.26 12:00:00";"1696.4";"0.59";"2013.09.30 16:30:00";"1682.05";"-92.45";"10095.81";"IS";"TrailingStop";"-84.66";"43.71";"4d 4h 30m";""
"18";"USA500_DukasM1_Infinox";"Buy";"2013.10.01 16:30:00";"1683.09";"0.55";"2013.10.01 18:41:00";"1695.19";"66.55";"10162.36";"IS";"PT";"-6.73";"66.55";"2h 11m";""
"19";"USA500_DukasM1_Infinox";"Buy";"2013.10.08 16:30:00";"1677.0";"0.45";"2013.10.08 22:59:00";"1654.62";"-100.71";"10061.65";"IS";"SL";"-100.71";"0.00";"6h 29m";""
"20";"USA500_DukasM1_Infinox";"Buy";"2013.12.18 04:00:00";"1781.47";"0.49";"2013.12.18 21:07:00";"1795.16";"67.08";"10128.74";"IS";"PT";"-68.62";"67.08";"17h 7m";""
"21";"USA500_DukasM1_Infinox";"Buy";"2013.12.20 12:00:00";"1812.58";"0.47";"2013.12.23 03:00:00";"1826.74";"61.58";"10190.32";"IS";"PT";"-19.20";"66.55";"2d 15h 0m";""
"22";"USA500_DukasM1_Infinox";"Buy";"2014.01.16 20:00:00";"1845.55";"0.58";"2014.01.21 18:11:00";"1832.68";"-85.05";"10105.26";"IS";"TrailingStop";"-74.65";"24.00";"4d 22h 11m";""
"23";"USA500_DukasM1_Infinox";"Buy";"2014.01.22 16:46:00";"1845.32";"0.64";"2014.01.23 16:40:00";"1829.41";"-104.12";"10001.15";"IS";"SL";"-101.82";"9.79";"23h 54m";""
"24";"USA500_DukasM1_Infinox";"Buy";"2014.02.04 14:28:00";"1742.97";"0.33";"2014.02.07 15:36:00";"1767.394";"77.24";"10078.39";"IS";"PT";"-16.73";"80.60";"3d 1h 8m";""
"25";"USA500_DukasM1_Infinox";"Buy";"2014.04.17 12:00:00";"1856.29";"0.38";"2014.04.22 16:35:00";"1873.99";"60.40";"10138.79";"IS";"PT";"-10.00";"67.26";"5d 4h 35m";""
"26";"USA500_DukasM1_Infinox";"Buy";"2014.07.15 20:00:00";"1971.06";"0.63";"2014.07.16 15:25:00";"1981.67";"64.43";"10203.22";"IS";"PT";"-8.75";"66.84";"19h 25m";""
"27";"USA500_DukasM1_Infinox";"Buy";"2014.07.17 20:00:00";"1973.07";"0.59";"2014.07.17 22:45:00";"1955.84";"-101.66";"10101.56";"IS";"SL";"-101.66";"18.44";"2h 45m";""
