"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USDJPY_DukasM1_the5ers";"Buy";"2003.06.12 05:30:00";"117.857";"0.32";"2003.06.13 18:40:00";"117.386";"-100.16";"9899.84";"IS";"SL";"-98.56";"17.37";"1d 13h 10m";""
"2";"USDJPY_DukasM1_the5ers";"Buy";"2003.07.04 06:30:00";"118.382";"0.28";"2003.07.07 10:42:00";"117.847";"-99.36";"9800.48";"IS";"SL";"-97.96";"5.31";"3d 4h 12m";""
"3";"USDJPY_DukasM1_the5ers";"Buy";"2003.08.22 14:00:00";"117.880";"0.31";"2003.08.22 18:00:00";"117.386";"-101.69";"9698.79";"IS";"SL";"-100.14";"0.00";"4h 0m";""
"4";"USDJPY_DukasM1_the5ers";"Buy";"2003.09.12 04:30:00";"117.170";"0.3";"2003.09.16 08:45:00";"116.957";"-43.29";"9655.51";"IS";"TrailingStop";"-90.83";"102.01";"4d 4h 15m";""
"5";"USDJPY_DukasM1_the5ers";"Buy";"2003.09.25 08:30:00";"112.070";"0.23";"2003.09.25 15:31:00";"111.441";"-95.75";"9559.75";"IS";"TrailingStop";"-94.60";"39.10";"7h 1m";""
"6";"USDJPY_DukasM1_the5ers";"Buy";"2003.10.30 16:30:00";"108.360";"0.24";"2003.10.31 17:10:00";"109.759";"218.36";"9778.12";"IS";"PT";"-43.94";"219.56";"1d 0h 40m";""
"7";"USDJPY_DukasM1_the5ers";"Buy";"2003.11.24 12:00:00";"109.030";"0.28";"2003.11.26 17:00:00";"109.240";"37.05";"9815.17";"IS";"TrailingStop";"-21.97";"184.93";"2d 5h 0m";""
"8";"USDJPY_DukasM1_the5ers";"Buy";"2003.11.27 18:30:00";"109.230";"0.28";"2003.12.01 08:16:00";"109.341";"18.92";"9834.09";"IS";"TrailingStop";"-36.62";"148.31";"3d 13h 46m";""
"9";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.18 08:30:00";"107.610";"0.28";"2003.12.22 11:36:00";"107.270";"-63.65";"9770.44";"IS";"TrailingStop";"-62.25";"89.72";"4d 3h 6m";""
"10";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.24 05:30:00";"107.460";"0.32";"2003.12.26 06:04:00";"106.988";"-100.37";"9670.07";"IS";"SL";"-98.77";"16.74";"2d 0h 34m";""
"11";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.30 20:30:00";"107.030";"0.32";"2004.01.02 05:27:00";"106.971";"-13.95";"9656.12";"IS";"TrailingStop";"-62.78";"144.39";"2d 8h 57m";""
"12";"USDJPY_DukasM1_the5ers";"Buy";"2004.01.06 23:30:00";"106.190";"0.33";"2004.01.09 07:25:00";"107.233";"223.42";"9879.54";"IS";"PT";"-64.74";"225.07";"2d 7h 55m";""
"13";"USDJPY_DukasM1_the5ers";"Buy";"2004.02.11 13:30:00";"105.560";"0.3";"2004.02.18 20:57:00";"106.682";"218.61";"10098.15";"IS";"PT";"-82.39";"220.11";"7d 7h 27m";""
"14";"USDJPY_DukasM1_the5ers";"Buy";"2004.03.04 11:00:00";"110.270";"0.31";"2004.03.05 04:34:00";"111.375";"222.45";"10320.60";"IS";"PT";"-12.16";"224.00";"17h 34m";""
"15";"USDJPY_DukasM1_the5ers";"Buy";"2004.03.30 10:00:00";"105.720";"0.25";"2004.03.31 03:23:00";"105.356";"-60.76";"10259.85";"IS";"TrailingStop";"-59.51";"83.37";"17h 23m";""
