"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"XAUUSD_M1_dukas";"Buy";"2009.01.21 16:00:00";"852.402";"0.19";"2009.01.21 17:00:00";"850.940";"-31.02";"99968.98";"IS";"Exit Signal";"-113.28";"79.31";"1h 0m";""
"2";"XAUUSD_M1_dukas";"Buy";"2009.01.22 20:00:00";"858.217";"0.2";"2009.01.23 04:00:00";"853.939";"-91.85";"99877.13";"IS";"Exit Signal";"-115.18";"57.86";"8h 0m";""
"3";"XAUUSD_M1_dukas";"Buy";"2009.02.02 05:00:00";"914.123";"0.2";"2009.02.02 12:00:00";"912.226";"-41.60";"99835.53";"IS";"Exit Signal";"-230.80";"18.58";"7h 0m";""
"4";"XAUUSD_M1_dukas";"Buy";"2009.02.04 21:00:00";"901.247";"0.2";"2009.02.05 12:00:00";"909.977";"161.98";"99997.52";"IS";"Exit Signal";"-12.82";"203.46";"15h 0m";""
"5";"XAUUSD_M1_dukas";"Buy";"2009.02.05 21:00:00";"914.744";"0.21";"2009.02.06 14:00:00";"914.492";"-12.34";"99985.18";"IS";"Exit Signal";"-169.03";"70.77";"17h 0m";""
"6";"XAUUSD_M1_dukas";"Buy";"2009.02.12 15:00:00";"942.311";"0.24";"2009.02.13 08:00:00";"939.853";"-67.28";"99917.90";"IS";"Exit Signal";"-126.89";"228.48";"17h 0m";""
"7";"XAUUSD_M1_dukas";"Buy";"2009.02.16 16:00:00";"941.381";"0.31";"2009.02.16 23:00:00";"941.673";"3.22";"99921.11";"IS";"Exit Signal";"-79.11";"73.56";"7h 0m";""
"8";"XAUUSD_M1_dukas";"Buy";"2009.02.18 11:00:00";"969.789";"0.27";"2009.02.19 22:00:00";"972.689";"59.97";"99981.09";"IS";"Exit Signal";"-248.59";"452.68";"1d 11h 0m";""
"9";"XAUUSD_M1_dukas";"Buy";"2009.02.23 05:00:00";"988.926";"0.2";"2009.02.23 15:00:00";"985.782";"-66.84";"99914.25";"IS";"Exit Signal";"-162.04";"48.30";"10h 0m";""
"10";"XAUUSD_M1_dukas";"Buy";"2009.03.06 20:00:00";"938.894";"0.21";"2009.03.09 10:00:00";"934.383";"-101.96";"99812.29";"IS";"Exit Signal";"-101.05";"111.09";"2d 14h 0m";""
