"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.13 13:41:00";"350.88";"0.5";"2003.05.13 15:00:00";"350.29";"-29.78";"9970.22";"IS";"Exit Signal";"-63.65";"0.00";"1h 19m";""
"2";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.14 17:01:00";"351.27";"0.53";"2003.05.14 18:00:00";"351.86";"30.97";"10001.19";"IS";"Exit Signal";"-93.70";"50.03";"59m 0s";""
"3";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.15 13:00:00";"353.95";"0.52";"2003.05.15 14:00:00";"353.65";"-15.89";"9985.30";"IS";"Exit Signal";"-46.23";"13.36";"1h 0m";""
"4";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.16 20:18:00";"355.22";"0.5";"2003.05.16 21:04:00";"354.53";"-34.78";"9950.51";"IS";"Exit Signal";"-43.00";"0.00";"46m 0s";""
"5";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.21 18:20:00";"369.30";"0.33";"2003.05.21 19:00:00";"368.16";"-37.81";"9912.70";"IS";"Exit Signal";"-92.70";"0.00";"40m 0s";""
"6";"XAUUSD_DukasM1_Infinox";"Buy";"2003.07.21 17:02:00";"348.73";"0.53";"2003.07.21 18:00:00";"348.62";"-6.13";"9906.57";"IS";"Exit Signal";"-62.70";"27.51";"58m 0s";""
"7";"XAUUSD_DukasM1_Infinox";"Buy";"2003.07.25 18:51:00";"361.96";"0.41";"2003.07.25 19:15:00";"361.35";"-25.25";"9881.32";"IS";"Exit Signal";"-26.98";"0.00";"24m 0s";""
"8";"XAUUSD_DukasM1_Infinox";"Buy";"2003.08.13 19:11:00";"361.78";"0.35";"2003.08.13 20:00:00";"361.21";"-20.15";"9861.17";"IS";"Exit Signal";"-22.36";"63.63";"49m 0s";""
"9";"XAUUSD_DukasM1_Infinox";"Buy";"2003.08.14 13:39:00";"363.60";"0.33";"2003.08.14 14:00:00";"362.79";"-26.92";"9834.25";"IS";"Exit Signal";"-29.77";"0.00";"21m 0s";""
"10";"XAUUSD_DukasM1_Infinox";"Buy";"2003.08.27 15:32:00";"366.30";"0.37";"2003.08.27 16:00:00";"370.00";"136.68";"9970.93";"IS";"Exit Signal";"-31.60";"151.63";"28m 0s";""
"11";"XAUUSD_DukasM1_Infinox";"Buy";"2003.08.29 15:22:00";"373.70";"0.33";"2003.08.29 16:00:00";"374.59";"29.17";"10000.11";"IS";"Exit Signal";"-39.30";"98.93";"38m 0s";""
"12";"XAUUSD_DukasM1_Infinox";"Buy";"2003.09.02 04:58:00";"378.10";"0.45";"2003.09.02 05:01:00";"377.42";"-30.87";"9969.23";"IS";"Exit Signal";"-48.47";"0.00";"3m 0s";""
"13";"XAUUSD_DukasM1_Infinox";"Buy";"2003.09.09 07:18:00";"378.70";"0.33";"2003.09.09 07:35:00";"375.60";"-102.50";"9866.73";"IS";"SL";"-102.30";"1.19";"17m 0s";""
"14";"XAUUSD_DukasM1_Infinox";"Buy";"2003.09.19 17:44:00";"381.06";"0.38";"2003.09.19 18:00:00";"382.65";"60.19";"9926.92";"IS";"Exit Signal";"-37.96";"68.78";"16m 0s";""
"15";"XAUUSD_DukasM1_Infinox";"Buy";"2003.09.24 22:14:00";"387.37";"0.32";"2003.09.24 23:05:00";"387.94";"10.81";"9937.73";"IS";"Exit Signal";"-26.66";"21.47";"51m 0s";""
"16";"XAUUSD_DukasM1_Infinox";"Buy";"2003.10.21 14:56:00";"376.28";"0.3";"2003.10.21 15:00:00";"375.68";"-18.18";"9919.55";"IS";"Exit Signal";"-23.46";"0.00";"4m 0s";""
"17";"XAUUSD_DukasM1_Infinox";"Buy";"2003.10.24 16:07:00";"387.21";"0.39";"2003.10.24 17:00:00";"388.38";"45.39";"9964.94";"IS";"Exit Signal";"-18.02";"74.22";"53m 0s";""
"18";"XAUUSD_DukasM1_Infinox";"Buy";"2003.11.14 16:56:00";"397.10";"0.29";"2003.11.14 17:00:00";"396.72";"-11.20";"9953.74";"IS";"Exit Signal";"-22.07";"5.74";"4m 0s";""
"19";"XAUUSD_DukasM1_Infinox";"Buy";"2003.11.17 10:11:00";"398.74";"0.3";"2003.11.17 11:00:00";"397.73";"-30.49";"9923.25";"IS";"Exit Signal";"-50.76";"0.00";"49m 0s";""
"20";"XAUUSD_DukasM1_Infinox";"Buy";"2003.11.19 01:17:00";"398.74";"0.24";"2003.11.19 03:01:00";"399.20";"10.89";"9934.13";"IS";"Exit Signal";"-57.84";"31.39";"1h 44m";""
