"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.01 04:00:00";"80.486";"0.24";"2004.01.02 17:33:00";"80.968";"74.38";"10074.38";"IS";"PT";"-60.58";"75.65";"1d 13h 33m";""
"2";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.06 16:00:00";"81.912";"0.2";"2004.01.07 04:41:00";"81.164";"-98.88";"9975.50";"IS";"SL";"-97.83";"3.92";"12h 41m";""
"3";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.12 16:00:00";"82.812";"0.19";"2004.01.15 07:24:00";"82.020";"-99.61";"9875.89";"IS";"SL";"-98.40";"36.78";"2d 15h 24m";""
"4";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.22 08:00:00";"82.558";"0.2";"2004.01.26 09:25:00";"81.795";"-100.90";"9775.00";"IS";"SL";"-99.79";"37.40";"4d 1h 25m";""
"5";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.10 00:00:00";"81.965";"0.19";"2004.02.11 18:09:00";"82.584";"75.91";"9850.90";"IS";"PT";"-13.42";"76.91";"1d 18h 9m";""
"6";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.12 04:00:00";"82.864";"0.19";"2004.02.13 09:02:00";"83.470";"74.29";"9925.20";"IS";"PT";"-20.13";"75.29";"1d 5h 2m";""
"7";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.18 00:00:00";"84.347";"0.22";"2004.02.20 03:16:00";"84.873";"74.34";"9999.53";"IS";"PT";"-60.28";"75.67";"2d 3h 16m";""
"8";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.05 04:00:00";"77.193";"0.18";"2004.07.06 02:52:00";"77.840";"75.21";"10074.74";"IS";"PT";"-4.24";"76.16";"22h 52m";""
"9";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.07 00:00:00";"78.052";"0.19";"2004.07.12 15:59:00";"78.664";"74.83";"10149.57";"IS";"PT";"-34.66";"76.04";"5d 15h 59m";""
"10";"AUDJPY_DukasM1_the5ers";"Buy";"2004.08.10 00:00:00";"79.115";"0.22";"2004.08.16 16:45:00";"79.636";"73.50";"10223.07";"IS";"PT";"-51.50";"74.95";"6d 16h 45m";""
"11";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.23 00:00:00";"78.187";"0.24";"2004.09.23 10:31:00";"78.668";"74.29";"10297.36";"IS";"PT";"-22.60";"75.49";"10h 31m";""
"12";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.24 00:00:00";"79.022";"0.23";"2004.09.28 01:06:00";"79.521";"73.78";"10371.14";"IS";"PT";"-76.55";"75.05";"4d 1h 6m";""
"13";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.29 00:00:00";"79.981";"0.23";"2004.09.29 12:15:00";"79.319";"-100.72";"10270.42";"IS";"SL";"-99.57";"0.00";"12h 15m";""
"14";"AUDJPY_DukasM1_the5ers";"Buy";"2004.11.05 00:00:00";"80.305";"0.25";"2004.11.10 12:54:00";"80.780";"76.20";"10346.63";"IS";"PT";"-90.08";"77.65";"5d 12h 54m";""
"15";"AUDJPY_DukasM1_the5ers";"Buy";"2004.11.11 04:00:00";"81.146";"0.25";"2004.11.11 19:01:00";"81.615";"75.42";"10422.05";"IS";"PT";"-23.54";"76.67";"15h 1m";""
"16";"AUDJPY_DukasM1_the5ers";"Buy";"2004.11.12 00:00:00";"81.588";"0.25";"2004.11.12 04:00:00";"80.993";"-98.52";"10323.53";"IS";"SL";"-97.27";"0.00";"4h 0m";""
"17";"AUDJPY_DukasM1_the5ers";"Buy";"2005.01.24 04:00:00";"79.183";"0.2";"2005.01.26 12:51:00";"79.767";"75.27";"10398.80";"IS";"PT";"-47.74";"76.38";"2d 8h 51m";""
"18";"AUDJPY_DukasM1_the5ers";"Buy";"2005.02.11 04:00:00";"82.628";"0.21";"2005.02.17 19:53:00";"83.184";"74.96";"10473.76";"IS";"PT";"-88.16";"76.35";"6d 15h 53m";""
"19";"AUDJPY_DukasM1_the5ers";"Buy";"2005.03.08 08:00:00";"83.183";"0.26";"2005.03.08 13:49:00";"83.633";"75.21";"10548.97";"IS";"PT";"-11.05";"76.51";"5h 49m";""
