"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"AUDJPY_DukasM1_the5ers";"Buy";"2003.12.26 00:00:00";"79.509";"0.26";"2003.12.30 09:11:00";"79.838";"54.50";"10054.50";"IS";"PT";"-45.91";"55.94";"4d 9h 11m";""
"2";"AUDJPY_DukasM1_the5ers";"Buy";"2003.12.31 01:00:00";"79.997";"0.23";"2003.12.31 14:55:00";"80.361";"53.60";"10108.09";"IS";"PT";"-26.32";"54.75";"13h 55m";""
"3";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.01 00:00:00";"80.513";"0.19";"2004.01.02 17:32:00";"80.952";"53.54";"10161.64";"IS";"PT";"-51.31";"54.54";"1d 17h 32m";""
"4";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.09 01:00:00";"82.293";"0.22";"2004.01.09 07:23:00";"82.679";"54.43";"10216.07";"IS";"PT";"-26.18";"55.53";"6h 23m";""
"5";"AUDJPY_DukasM1_the5ers";"Buy";"2004.01.28 00:00:00";"82.170";"0.2";"2004.01.28 08:49:00";"82.587";"53.54";"10269.61";"IS";"PT";"-8.89";"54.54";"8h 49m";""
"6";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.25 01:00:00";"84.301";"0.18";"2004.03.01 04:15:00";"84.762";"53.12";"10322.73";"IS";"PT";"-92.99";"54.26";"5d 3h 15m";""
"7";"AUDJPY_DukasM1_the5ers";"Buy";"2004.03.11 00:00:00";"82.627";"0.15";"2004.03.11 01:37:00";"83.170";"52.51";"10375.24";"IS";"PT";"-9.51";"53.26";"1h 37m";""
"8";"AUDJPY_DukasM1_the5ers";"Buy";"2004.03.29 01:00:00";"78.401";"0.15";"2004.03.29 19:07:00";"78.942";"52.32";"10427.55";"IS";"PT";"-3.83";"53.07";"18h 7m";""
"9";"AUDJPY_DukasM1_the5ers";"Buy";"2004.03.30 00:00:00";"78.785";"0.19";"2004.03.30 09:33:00";"79.231";"54.46";"10482.02";"IS";"PT";"-20.50";"55.41";"9h 33m";""
"10";"AUDJPY_DukasM1_the5ers";"Buy";"2004.04.02 01:00:00";"79.498";"0.19";"2004.04.05 00:31:00";"78.706";"-99.40";"10382.61";"IS";"SL";"-98.40";"50.44";"2d 23h 31m";""
"11";"AUDJPY_DukasM1_the5ers";"Buy";"2004.04.14 00:00:00";"80.370";"0.2";"2004.04.14 08:25:00";"79.610";"-100.40";"10282.22";"IS";"SL";"-99.40";"28.77";"8h 25m";""
"12";"AUDJPY_DukasM1_the5ers";"Buy";"2004.04.16 00:00:00";"80.231";"0.15";"2004.04.19 05:50:00";"80.771";"52.18";"10334.40";"IS";"PT";"-38.84";"52.97";"3d 5h 50m";""
"13";"AUDJPY_DukasM1_the5ers";"Buy";"2004.05.04 01:00:00";"79.328";"0.19";"2004.05.04 05:51:00";"79.764";"53.22";"10387.62";"IS";"PT";"-5.47";"54.17";"4h 51m";""
"14";"AUDJPY_DukasM1_the5ers";"Buy";"2004.05.25 00:00:00";"78.692";"0.19";"2004.05.25 09:43:00";"79.127";"53.10";"10440.71";"IS";"PT";"-10.44";"54.05";"9h 43m";""
"15";"AUDJPY_DukasM1_the5ers";"Buy";"2004.05.31 04:00:00";"78.504";"0.19";"2004.06.02 12:14:00";"77.701";"-100.82";"10339.89";"IS";"SL";"-99.77";"5.22";"2d 8h 14m";""
"16";"AUDJPY_DukasM1_the5ers";"Buy";"2004.06.25 00:00:00";"74.942";"0.19";"2004.06.25 03:07:00";"75.381";"53.59";"10393.49";"IS";"PT";"-14.04";"54.54";"3h 7m";""
"17";"AUDJPY_DukasM1_the5ers";"Buy";"2004.06.28 01:00:00";"75.120";"0.21";"2004.06.28 11:46:00";"75.520";"53.88";"10447.37";"IS";"PT";"-28.84";"54.93";"10h 46m";""
"18";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.01 00:00:00";"75.975";"0.17";"2004.07.02 01:13:00";"76.460";"53.02";"10500.39";"IS";"PT";"-89.49";"53.92";"1d 1h 13m";""
"19";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.12 01:00:00";"77.969";"0.22";"2004.07.12 11:58:00";"78.347";"53.28";"10553.67";"IS";"PT";"-22.15";"54.38";"10h 58m";""
"20";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.14 00:00:00";"78.743";"0.21";"2004.07.14 09:04:00";"79.151";"54.98";"10608.64";"IS";"PT";"-42.43";"56.03";"9h 4m";""
"21";"AUDJPY_DukasM1_the5ers";"Buy";"2004.07.21 01:00:00";"78.832";"0.22";"2004.07.22 03:27:00";"78.146";"-99.97";"10508.68";"IS";"SL";"-98.69";"36.69";"1d 2h 27m";""
"22";"AUDJPY_DukasM1_the5ers";"Buy";"2004.08.16 01:00:00";"79.203";"0.21";"2004.08.16 16:43:00";"79.607";"54.43";"10563.11";"IS";"PT";"-11.67";"55.48";"15h 43m";""
"23";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.21 01:00:00";"76.905";"0.26";"2004.09.21 21:24:00";"77.226";"53.28";"10616.38";"IS";"PT";"-18.87";"54.58";"20h 24m";""
"24";"AUDJPY_DukasM1_the5ers";"Buy";"2004.09.22 00:00:00";"77.091";"0.27";"2004.09.22 04:25:00";"77.407";"54.44";"10670.83";"IS";"PT";"-9.18";"55.79";"4h 25m";""
"25";"AUDJPY_DukasM1_the5ers";"Buy";"2004.10.01 00:00:00";"79.949";"0.21";"2004.10.05 16:59:00";"80.357";"54.87";"10725.69";"IS";"PT";"-51.91";"56.03";"4d 16h 59m";""
"26";"AUDJPY_DukasM1_the5ers";"Buy";"2004.10.06 00:00:00";"80.496";"0.23";"2004.10.07 12:29:00";"80.866";"54.31";"10780.01";"IS";"PT";"-62.87";"55.65";"1d 12h 29m";""
"27";"AUDJPY_DukasM1_the5ers";"Buy";"2004.10.13 00:00:00";"80.009";"0.24";"2004.10.13 12:42:00";"79.388";"-98.66";"10681.34";"IS";"SL";"-97.46";"33.27";"12h 42m";""
"28";"AUDJPY_DukasM1_the5ers";"Buy";"2004.11.02 01:00:00";"79.334";"0.24";"2004.11.03 11:19:00";"79.692";"54.92";"10736.27";"IS";"PT";"-57.13";"56.19";"1d 10h 19m";""
"29";"AUDJPY_DukasM1_the5ers";"Buy";"2004.11.10 01:00:00";"80.236";"0.26";"2004.11.10 12:10:00";"80.562";"54.13";"10790.39";"IS";"PT";"-10.03";"55.43";"11h 10m";""
