"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"DAX40_DukasM1_the5ers";"Buy";"2013.10.31 10:00:00";"8984.70";"1.09";"2013.11.01 10:56:00";"9010.75";"30.77";"10030.77";"IS";"TrailingStop";"-11.13";"86.47";"1d 0h 56m";""
"2";"DAX40_DukasM1_the5ers";"Buy";"2013.11.05 20:00:00";"9017.20";"1.0";"2013.11.06 18:02:00";"9021.30";"2.46";"10033.23";"IS";"TrailingStop";"-22.54";"55.86";"22h 2m";""
"3";"DAX40_DukasM1_the5ers";"Buy";"2013.11.08 17:00:00";"9044.50";"0.81";"2013.11.12 11:00:00";"9092.06";"37.57";"10070.79";"IS";"TrailingStop";"-16.35";"76.42";"3d 18h 0m";""
"4";"DAX40_DukasM1_the5ers";"Buy";"2013.11.13 20:00:00";"9080.20";"0.83";"2013.11.14 16:43:00";"9102.64";"19.89";"10090.69";"IS";"TrailingStop";"-6.22";"63.19";"20h 43m";""
"5";"DAX40_DukasM1_the5ers";"Buy";"2013.11.21 16:00:00";"9188.70";"0.92";"2013.11.22 11:52:00";"9184.68";"-6.55";"10084.14";"IS";"TrailingStop";"-11.23";"42.75";"19h 52m";""
"6";"DAX40_DukasM1_the5ers";"Buy";"2013.12.27 10:00:00";"9555.00";"4.03";"2013.12.27 12:35:00";"9551.58";"-16.17";"10067.97";"IS";"TrailingStop";"-19.87";"54.99";"2h 35m";""
"7";"DAX40_DukasM1_the5ers";"Buy";"2014.01.10 11:00:00";"9477.70";"1.09";"2014.01.10 15:34:00";"9479.24";"1.97";"10069.94";"IS";"TrailingStop";"-21.36";"69.20";"4h 34m";""
"8";"DAX40_DukasM1_the5ers";"Buy";"2014.01.13 18:00:00";"9507.70";"0.83";"2014.01.13 21:24:00";"9467.87";"-38.80";"10031.14";"IS";"TrailingStop";"-38.80";"7.89";"3h 24m";""
"9";"DAX40_DukasM1_the5ers";"Buy";"2014.01.14 14:00:00";"9460.50";"0.89";"2014.01.15 14:25:00";"9663.69";"210.03";"10241.17";"IS";"PT";"-10.45";"212.22";"1d 0h 25m";""
"10";"DAX40_DukasM1_the5ers";"Buy";"2014.01.22 17:00:00";"9738.70";"0.77";"2014.01.23 05:16:00";"9702.69";"-34.49";"10206.67";"IS";"TrailingStop";"-32.54";"9.58";"12h 16m";""
"11";"DAX40_DukasM1_the5ers";"Buy";"2014.01.24 03:00:00";"9646.40";"0.69";"2014.01.24 10:52:00";"9605.74";"-32.92";"10173.75";"IS";"TrailingStop";"-32.92";"16.11";"7h 52m";""
"12";"DAX40_DukasM1_the5ers";"Buy";"2014.01.31 19:15:00";"9308.66";"0.54";"2014.02.03 10:37:00";"9284.57";"-19.20";"10154.55";"IS";"TrailingStop";"-15.27";"30.97";"2d 15h 22m";""
"13";"DAX40_DukasM1_the5ers";"Buy";"2014.02.03 11:00:00";"9294.99";"0.86";"2014.02.03 16:17:00";"9268.75";"-26.48";"10128.07";"IS";"TrailingStop";"-67.32";"33.27";"5h 17m";""
"14";"DAX40_DukasM1_the5ers";"Buy";"2014.02.20 17:00:00";"9554.20";"0.66";"2014.02.21 10:41:00";"9621.58";"50.54";"10178.61";"IS";"TrailingStop";"-17.20";"88.14";"17h 41m";""
"15";"DAX40_DukasM1_the5ers";"Buy";"2014.02.27 06:01:00";"9663.90";"0.9";"2014.02.27 11:21:00";"9569.32";"-99.89";"10078.71";"IS";"SL";"-99.89";"8.55";"5h 20m";""
"16";"DAX40_DukasM1_the5ers";"Buy";"2014.02.28 02:00:00";"9605.20";"0.72";"2014.02.28 11:28:00";"9575.39";"-25.19";"10053.53";"IS";"TrailingStop";"-25.19";"16.56";"9h 28m";""
"17";"DAX40_DukasM1_the5ers";"Buy";"2014.03.25 08:00:00";"9225.80";"0.76";"2014.03.26 12:33:00";"9461.59";"208.47";"10262.00";"IS";"PT";"-20.69";"210.30";"1d 4h 33m";""
