"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"EURUSD_DukasM1_the5ers";"Buy";"2003.08.07 12:30:00";"1.13551";"0.26";"2003.08.07 17:46:00";"1.14049";"128.18";"10128.18";"IS";"PT";"-34.32";"129.48";"5h 16m";""
"2";"EURUSD_DukasM1_the5ers";"Buy";"2003.08.25 21:00:00";"1.08806";"0.21";"2003.08.26 01:13:00";"1.08342";"-99.13";"10029.04";"IS";"SL";"-97.44";"27.51";"4h 13m";""
"3";"EURUSD_DukasM1_the5ers";"Buy";"2003.08.26 09:00:00";"1.08513";"0.22";"2003.08.26 13:53:00";"1.08073";"-97.90";"9931.15";"IS";"SL";"-96.80";"25.74";"4h 53m";""
"4";"EURUSD_DukasM1_the5ers";"Buy";"2003.09.12 16:00:00";"1.12480";"0.18";"2003.09.12 17:01:00";"1.13172";"123.66";"10054.81";"IS";"PT";"-21.60";"124.56";"1h 1m";""
"5";"EURUSD_DukasM1_the5ers";"Buy";"2003.09.24 18:00:00";"1.14656";"0.22";"2003.09.25 17:31:00";"1.15229";"122.93";"10177.74";"IS";"PT";"-19.36";"126.06";"23h 31m";""
"6";"EURUSD_DukasM1_the5ers";"Buy";"2003.09.29 18:00:00";"1.15586";"0.17";"2003.09.30 00:55:00";"1.16334";"125.79";"10303.53";"IS";"PT";"-7.48";"127.16";"6h 55m";""
"7";"EURUSD_DukasM1_the5ers";"Buy";"2003.10.10 12:00:00";"1.17646";"0.19";"2003.10.10 15:06:00";"1.18324";"127.87";"10431.40";"IS";"PT";"-2.47";"128.82";"3h 6m";""
"8";"EURUSD_DukasM1_the5ers";"Buy";"2003.10.17 16:30:00";"1.16257";"0.16";"2003.10.20 00:05:00";"1.17047";"125.11";"10556.51";"IS";"PT";"-10.56";"162.08";"2d 7h 35m";""
"9";"EURUSD_DukasM1_the5ers";"Buy";"2003.11.06 09:00:00";"1.14526";"0.25";"2003.11.06 15:29:00";"1.14140";"-97.75";"10458.76";"IS";"SL";"-96.50";"22.00";"6h 29m";""
"10";"EURUSD_DukasM1_the5ers";"Buy";"2003.11.07 17:30:00";"1.14557";"0.19";"2003.11.07 19:25:00";"1.15215";"124.07";"10582.83";"IS";"PT";"-25.27";"125.02";"1h 55m";""
"11";"EURUSD_DukasM1_the5ers";"Buy";"2003.11.18 17:00:00";"1.18138";"0.19";"2003.11.18 17:15:00";"1.18816";"127.87";"10710.70";"IS";"PT";"-1.90";"128.82";"15m 0s";""
"12";"EURUSD_DukasM1_the5ers";"Buy";"2003.11.24 03:00:00";"1.19135";"0.26";"2003.11.24 10:11:00";"1.18756";"-99.84";"10610.86";"IS";"SL";"-98.54";"8.32";"7h 11m";""
"13";"EURUSD_DukasM1_the5ers";"Buy";"2004.01.26 16:30:00";"1.26037";"0.14";"2004.01.26 19:05:00";"1.25351";"-96.74";"10514.12";"IS";"SL";"-96.04";"4.06";"2h 35m";""
"14";"EURUSD_DukasM1_the5ers";"Buy";"2004.01.30 16:00:00";"1.24431";"0.14";"2004.01.30 17:10:00";"1.23746";"-96.60";"10417.52";"IS";"SL";"-95.90";"9.94";"1h 10m";""
"15";"EURUSD_DukasM1_the5ers";"Buy";"2004.02.11 18:30:00";"1.27940";"0.14";"2004.02.13 16:48:00";"1.28837";"123.16";"10540.68";"IS";"PT";"-21.56";"125.58";"1d 22h 18m";""
"16";"EURUSD_DukasM1_the5ers";"Buy";"2004.03.08 17:30:00";"1.23907";"0.18";"2004.03.09 21:59:00";"1.23358";"-100.27";"10440.40";"IS";"SL";"-98.82";"119.88";"1d 4h 29m";""
"17";"EURUSD_DukasM1_the5ers";"Buy";"2004.03.22 10:30:00";"1.22790";"0.19";"2004.03.22 12:56:00";"1.23454";"125.21";"10565.61";"IS";"PT";"-8.36";"126.16";"2h 26m";""
"18";"EURUSD_DukasM1_the5ers";"Buy";"2004.03.29 16:00:00";"1.21579";"0.16";"2004.03.31 04:59:00";"1.22388";"127.66";"10693.27";"IS";"PT";"-51.04";"129.44";"1d 12h 59m";""
"19";"EURUSD_DukasM1_the5ers";"Buy";"2004.04.06 09:00:00";"1.20333";"0.18";"2004.04.06 11:42:00";"1.21032";"124.92";"10818.19";"IS";"PT";"-5.94";"125.82";"2h 42m";""
"20";"EURUSD_DukasM1_the5ers";"Buy";"2004.04.09 10:00:00";"1.21004";"0.22";"2004.04.12 05:13:00";"1.20562";"-99.02";"10719.18";"IS";"SL";"-97.24";"22.00";"2d 19h 13m";""
"21";"EURUSD_DukasM1_the5ers";"Buy";"2004.05.04 09:30:00";"1.19553";"0.24";"2004.05.04 11:42:00";"1.20093";"128.40";"10847.58";"IS";"PT";"-36.24";"129.60";"2h 12m";""
"22";"EURUSD_DukasM1_the5ers";"Buy";"2004.05.14 09:00:00";"1.18279";"0.2";"2004.05.14 16:54:00";"1.18918";"126.80";"10974.38";"IS";"PT";"-94.60";"127.80";"7h 54m";""
"23";"EURUSD_DukasM1_the5ers";"Buy";"2004.05.24 20:00:00";"1.20145";"0.2";"2004.05.25 11:21:00";"1.20796";"128.59";"11102.96";"IS";"PT";"-65.40";"130.20";"15h 21m";""
"24";"EURUSD_DukasM1_the5ers";"Buy";"2004.06.24 11:00:00";"1.21053";"0.2";"2004.06.24 16:51:00";"1.21707";"129.80";"11232.76";"IS";"PT";"-12.60";"130.80";"5h 51m";""
"25";"EURUSD_DukasM1_the5ers";"Buy";"2004.08.13 16:00:00";"1.23083";"0.18";"2004.08.16 00:49:00";"1.23776";"123.29";"11356.05";"IS";"PT";"-3.60";"124.74";"2d 8h 49m";""
"26";"EURUSD_DukasM1_the5ers";"Buy";"2004.08.30 10:00:00";"1.20164";"0.26";"2004.08.30 19:41:00";"1.20656";"126.62";"11482.67";"IS";"PT";"-9.10";"127.92";"9h 41m";""
"27";"EURUSD_DukasM1_the5ers";"Buy";"2004.10.05 14:00:00";"1.22975";"0.27";"2004.10.06 14:50:00";"1.22612";"-100.19";"11382.48";"IS";"SL";"-98.01";"82.62";"1d 0h 50m";""
"28";"EURUSD_DukasM1_the5ers";"Buy";"2004.10.18 14:30:00";"1.24903";"0.27";"2004.10.19 03:26:00";"1.24539";"-100.46";"11282.02";"IS";"SL";"-98.28";"114.75";"12h 56m";""
"29";"EURUSD_DukasM1_the5ers";"Buy";"2004.11.10 11:00:00";"1.29131";"0.27";"2004.11.10 12:58:00";"1.29601";"125.55";"11407.57";"IS";"PT";"-17.55";"126.90";"1h 58m";""
