"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"GBPJPY_DukasM1_the5ers";"Buy";"2003.08.29 04:00:00";"184.829";"0.05";"2003.09.02 22:09:00";"182.054";"-91.09";"9908.91";"IS";"SL";"-90.73";"15.66";"4d 18h 9m";""
"2";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.19 08:00:00";"186.453";"0.05";"2003.09.23 10:14:00";"183.543";"-95.51";"9813.40";"IS";"SL";"-95.15";"37.76";"4d 2h 14m";""
"3";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.25 12:00:00";"185.331";"0.04";"2003.10.03 16:00:00";"184.417";"-24.47";"9788.93";"IS";"Exit Signal";"-55.95";"25.42";"8d 4h 0m";""
"4";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.30 04:00:00";"185.077";"0.04";"2003.10.03 20:00:00";"184.364";"-19.07";"9769.86";"IS";"Exit Signal";"-49.31";"17.66";"3d 16h 0m";""
"5";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.02 12:00:00";"185.313";"0.04";"2003.10.06 04:00:00";"184.354";"-25.37";"9744.49";"IS";"Exit Signal";"-35.89";"0.44";"3d 16h 0m";""
"6";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.21 08:00:00";"195.138";"0.04";"2004.01.27 10:37:00";"191.867";"-86.03";"9658.46";"IS";"SL";"-85.56";"34.45";"6d 2h 37m";""
"7";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.29 08:00:00";"192.560";"0.04";"2004.02.11 18:33:00";"198.145";"145.39";"9803.85";"IS";"PT";"-40.52";"146.09";"13d 10h 33m";""
"8";"GBPJPY_DukasM1_the5ers";"Buy";"2004.02.03 16:00:00";"193.783";"0.04";"2004.02.11 22:44:00";"199.164";"140.19";"9944.04";"IS";"PT";"-23.02";"140.75";"8d 6h 44m";""
"9";"GBPJPY_DukasM1_the5ers";"Buy";"2004.03.05 16:00:00";"204.352";"0.04";"2004.03.10 16:25:00";"200.688";"-96.17";"9847.87";"IS";"SL";"-95.84";"94.35";"5d 0h 25m";""
"10";"GBPJPY_DukasM1_the5ers";"Buy";"2004.04.02 00:00:00";"192.542";"0.03";"2004.04.12 04:00:00";"194.995";"47.70";"9895.58";"IS";"Exit Signal";"-51.87";"57.79";"10d 4h 0m";""
"11";"GBPJPY_DukasM1_the5ers";"Buy";"2004.04.06 16:00:00";"194.968";"0.03";"2004.04.12 08:00:00";"194.604";"-7.49";"9888.08";"IS";"Exit Signal";"-35.94";"10.20";"5d 16h 0m";""
"12";"GBPJPY_DukasM1_the5ers";"Buy";"2004.04.14 20:00:00";"194.420";"0.04";"2004.04.15 16:00:00";"193.422";"-26.44";"9861.64";"IS";"Exit Signal";"-34.00";"18.55";"20h 0m";""
"13";"GBPJPY_DukasM1_the5ers";"Buy";"2004.05.24 20:00:00";"202.221";"0.04";"2004.06.21 11:41:00";"198.698";"-93.60";"9679.25";"IS";"SL";"-92.15";"78.71";"27d 15h 41m";""
"14";"GBPJPY_DukasM1_the5ers";"Buy";"2004.06.02 08:00:00";"204.200";"0.04";"2004.06.09 05:07:00";"200.825";"-88.79";"9772.85";"IS";"SL";"-88.28";"26.94";"6d 21h 7m";""
"15";"GBPJPY_DukasM1_the5ers";"Buy";"2004.06.14 20:00:00";"201.804";"0.03";"2004.06.22 11:46:00";"197.722";"-80.50";"9598.75";"IS";"SL";"-80.08";"5.61";"7d 15h 46m";""
"16";"GBPJPY_DukasM1_the5ers";"Buy";"2004.06.16 20:00:00";"201.187";"0.03";"2004.06.22 13:42:00";"197.351";"-75.60";"9523.15";"IS";"SL";"-75.25";"8.44";"5d 17h 42m";""
"17";"GBPJPY_DukasM1_the5ers";"Buy";"2004.06.29 00:00:00";"197.495";"0.05";"2004.07.13 17:23:00";"202.345";"157.54";"9680.69";"IS";"PT";"-70.36";"158.58";"14d 17h 23m";""
"18";"GBPJPY_DukasM1_the5ers";"Buy";"2004.06.30 20:00:00";"198.317";"0.04";"2004.07.15 20:54:00";"203.622";"137.80";"9818.49";"IS";"PT";"-63.69";"138.76";"15d 0h 54m";""
"19";"GBPJPY_DukasM1_the5ers";"Buy";"2004.07.02 08:00:00";"198.448";"0.04";"2004.07.16 15:29:00";"203.835";"140.08";"9958.57";"IS";"PT";"-18.75";"140.91";"14d 7h 29m";""
"20";"GBPJPY_DukasM1_the5ers";"Buy";"2004.07.12 20:00:00";"201.958";"0.05";"2004.07.22 20:00:00";"202.487";"16.38";"9974.95";"IS";"Exit Signal";"-49.73";"72.10";"10d 0h 0m";""
"21";"GBPJPY_DukasM1_the5ers";"Buy";"2004.09.07 08:00:00";"195.912";"0.06";"2004.09.24 15:54:00";"199.935";"156.27";"10131.22";"IS";"PT";"-89.18";"157.84";"17d 7h 54m";""
"22";"GBPJPY_DukasM1_the5ers";"Buy";"2004.09.17 20:00:00";"197.099";"0.06";"2004.09.27 15:14:00";"201.005";"152.42";"10425.91";"IS";"PT";"-55.20";"153.25";"9d 19h 14m";""
"23";"GBPJPY_DukasM1_the5ers";"Buy";"2004.09.21 20:00:00";"197.310";"0.06";"2004.09.27 15:13:00";"200.954";"142.27";"10273.49";"IS";"PT";"-17.54";"142.97";"5d 19h 13m";""
"24";"GBPJPY_DukasM1_the5ers";"Buy";"2004.10.14 08:00:00";"196.876";"0.07";"2004.10.20 08:00:00";"195.653";"-56.65";"10369.26";"IS";"Exit Signal";"-76.17";"28.93";"6d 0h 0m";""
"25";"GBPJPY_DukasM1_the5ers";"Buy";"2004.11.08 16:00:00";"195.739";"0.06";"2004.11.09 16:00:00";"196.034";"11.21";"10380.47";"IS";"Exit Signal";"-10.01";"24.84";"1d 0h 0m";""
