"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.04 15:00:00";"1.61204";"0.19";"2003.08.04 18:42:00";"1.60690";"-98.61";"9901.39";"IS";"SL";"-97.66";"15.01";"3h 42m";""
"2";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.11 16:00:00";"1.60258";"0.19";"2003.08.13 09:22:00";"1.59749";"-98.56";"9802.83";"IS";"SL";"-96.71";"143.45";"1d 17h 22m";""
"3";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.26 19:00:00";"1.57301";"0.16";"2003.08.27 01:17:00";"1.56699";"-97.50";"9705.34";"IS";"SL";"-96.32";"23.52";"6h 17m";""
"4";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.11 23:00:00";"1.59519";"0.18";"2003.09.12 16:45:00";"1.60363";"150.60";"9855.93";"IS";"PT";"-81.18";"151.92";"17h 45m";""
"5";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.29 18:00:00";"1.66175";"0.15";"2003.09.30 10:19:00";"1.67217";"155.20";"10011.13";"IS";"PT";"-8.25";"156.30";"16h 19m";""
"6";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.01 11:00:00";"1.66428";"0.15";"2003.10.01 13:53:00";"1.65778";"-98.25";"9912.88";"IS";"SL";"-97.50";"14.40";"2h 53m";""
"7";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.02 19:00:00";"1.67448";"0.14";"2003.10.03 00:20:00";"1.66759";"-97.49";"9815.39";"IS";"SL";"-96.46";"1.26";"5h 20m";""
"8";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.24 16:00:00";"1.69780";"0.18";"2003.10.27 05:19:00";"1.69233";"-99.78";"9715.60";"IS";"SL";"-98.46";"21.78";"2d 13h 19m";""
"9";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.27 13:00:00";"1.69673";"0.19";"2003.10.27 14:52:00";"1.69160";"-98.42";"9617.18";"IS";"SL";"-97.47";"0.38";"1h 52m";""
"10";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.30 13:00:00";"1.70243";"0.22";"2003.10.30 19:50:00";"1.69795";"-99.66";"9517.52";"IS";"SL";"-98.56";"98.34";"6h 50m";""
"11";"GBPUSD_DukasM1_the5ers";"Buy";"2003.11.12 05:00:00";"1.67055";"0.2";"2003.11.13 09:30:00";"1.67832";"152.98";"9670.51";"IS";"PT";"-41.00";"155.40";"1d 4h 30m";""
"12";"GBPUSD_DukasM1_the5ers";"Buy";"2003.11.17 12:00:00";"1.69083";"0.18";"2003.11.18 17:15:00";"1.69922";"149.70";"9820.20";"IS";"PT";"-83.88";"151.02";"1d 5h 15m";""
"13";"GBPUSD_DukasM1_the5ers";"Buy";"2003.11.26 18:00:00";"1.70775";"0.16";"2003.11.28 10:57:00";"1.71725";"149.69";"9969.89";"IS";"PT";"-10.88";"152.00";"1d 16h 57m";""
"14";"GBPUSD_DukasM1_the5ers";"Buy";"2003.12.11 13:00:00";"1.74273";"0.2";"2003.12.12 12:57:00";"1.75041";"152.13";"10122.02";"IS";"PT";"-86.20";"153.60";"23h 57m";""
"15";"GBPUSD_DukasM1_the5ers";"Buy";"2003.12.16 16:00:00";"1.74960";"0.18";"2003.12.17 16:10:00";"1.75788";"147.72";"10269.73";"IS";"PT";"-23.58";"149.04";"1d 0h 10m";""
"16";"GBPUSD_DukasM1_the5ers";"Buy";"2004.01.05 14:00:00";"1.79935";"0.21";"2004.01.05 18:09:00";"1.80676";"154.56";"10424.29";"IS";"PT";"-19.74";"155.61";"4h 9m";""
"17";"GBPUSD_DukasM1_the5ers";"Buy";"2004.01.08 16:00:00";"1.83118";"0.13";"2004.01.09 15:34:00";"1.84270";"148.80";"10573.10";"IS";"PT";"-47.58";"149.76";"23h 34m";""
"18";"GBPUSD_DukasM1_the5ers";"Buy";"2004.01.27 16:00:00";"1.81581";"0.11";"2004.01.28 08:27:00";"1.82910";"145.38";"10718.48";"IS";"PT";"-24.31";"146.19";"16h 27m";""
"19";"GBPUSD_DukasM1_the5ers";"Buy";"2004.02.06 16:00:00";"1.84810";"0.13";"2004.02.09 00:08:00";"1.84083";"-95.47";"10623.01";"IS";"SL";"-95.94";"19.63";"2d 8h 8m";""
"20";"GBPUSD_DukasM1_the5ers";"Buy";"2004.02.16 16:00:00";"1.88735";"0.17";"2004.02.17 10:09:00";"1.89652";"154.64";"10777.65";"IS";"PT";"-17.68";"155.89";"18h 9m";""
"21";"GBPUSD_DukasM1_the5ers";"Buy";"2004.03.23 20:00:00";"1.85215";"0.13";"2004.03.24 10:55:00";"1.84497";"-94.30";"10683.35";"IS";"SL";"-93.34";"20.67";"14h 55m";""
"22";"GBPUSD_DukasM1_the5ers";"Buy";"2004.03.26 13:00:00";"1.81923";"0.11";"2004.03.26 17:56:00";"1.81031";"-98.67";"10584.68";"IS";"SL";"-98.12";"27.50";"4h 56m";""
"23";"GBPUSD_DukasM1_the5ers";"Buy";"2004.03.29 12:00:00";"1.81615";"0.12";"2004.03.30 18:26:00";"1.82889";"152.00";"10736.68";"IS";"PT";"-30.00";"152.88";"1d 6h 26m";""
"24";"GBPUSD_DukasM1_the5ers";"Buy";"2004.04.26 11:00:00";"1.77680";"0.13";"2004.04.26 19:08:00";"1.78858";"152.49";"10889.17";"IS";"PT";"-12.74";"153.14";"8h 8m";""
"25";"GBPUSD_DukasM1_the5ers";"Buy";"2004.04.29 17:00:00";"1.77486";"0.12";"2004.04.30 11:14:00";"1.76654";"-100.72";"10788.45";"IS";"SL";"-99.84";"73.32";"18h 14m";""
"26";"GBPUSD_DukasM1_the5ers";"Buy";"2004.05.07 13:00:00";"1.79531";"0.14";"2004.05.07 15:51:00";"1.78861";"-94.50";"10693.95";"IS";"SL";"-93.80";"106.26";"2h 51m";""
"27";"GBPUSD_DukasM1_the5ers";"Buy";"2004.05.14 17:00:00";"1.76341";"0.11";"2004.05.19 10:07:00";"1.77725";"150.91";"10844.86";"IS";"PT";"-71.83";"152.24";"4d 17h 7m";""
"28";"GBPUSD_DukasM1_the5ers";"Buy";"2004.06.10 18:00:00";"1.83160";"0.12";"2004.06.10 19:33:00";"1.84392";"147.24";"10992.10";"IS";"PT";"-9.72";"147.84";"1h 33m";""
"29";"GBPUSD_DukasM1_the5ers";"Buy";"2004.06.25 22:00:00";"1.82563";"0.14";"2004.06.29 14:14:00";"1.81876";"-97.54";"10894.56";"IS";"SL";"-96.18";"115.08";"3d 16h 14m";""
"30";"GBPUSD_DukasM1_the5ers";"Buy";"2004.07.08 18:00:00";"1.85770";"0.16";"2004.07.08 21:57:00";"1.85145";"-100.80";"10793.76";"IS";"SL";"-100.00";"2.88";"3h 57m";""
"31";"GBPUSD_DukasM1_the5ers";"Buy";"2004.07.13 15:00:00";"1.86193";"0.16";"2004.07.13 15:41:00";"1.85602";"-95.36";"10698.40";"IS";"SL";"-94.56";"6.88";"41m 0s";""
"32";"GBPUSD_DukasM1_the5ers";"Buy";"2004.07.14 16:00:00";"1.85858";"0.17";"2004.07.15 06:04:00";"1.85285";"-99.46";"10598.93";"IS";"SL";"-97.41";"32.47";"14h 4m";""
"33";"GBPUSD_DukasM1_the5ers";"Buy";"2004.07.16 12:00:00";"1.85473";"0.18";"2004.07.16 15:46:00";"1.86301";"148.14";"10747.07";"IS";"PT";"-20.16";"149.04";"3h 46m";""
"34";"GBPUSD_DukasM1_the5ers";"Buy";"2004.08.04 19:00:00";"1.82480";"0.16";"2004.08.06 15:32:00";"1.83443";"151.77";"10898.84";"IS";"PT";"-94.08";"154.08";"1d 20h 32m";""
"35";"GBPUSD_DukasM1_the5ers";"Buy";"2004.08.30 11:00:00";"1.79006";"0.2";"2004.08.31 04:43:00";"1.79762";"149.73";"11048.57";"IS";"PT";"-37.00";"151.20";"17h 43m";""
"36";"GBPUSD_DukasM1_the5ers";"Buy";"2004.08.31 19:00:00";"1.80246";"0.16";"2004.09.01 10:20:00";"1.79647";"-97.02";"10951.55";"IS";"SL";"-95.84";"64.64";"15h 20m";""
"37";"GBPUSD_DukasM1_the5ers";"Buy";"2004.09.10 01:00:00";"1.78897";"0.17";"2004.09.10 15:58:00";"1.79776";"148.58";"11100.13";"IS";"PT";"-51.68";"149.43";"14h 58m";""
"38";"GBPUSD_DukasM1_the5ers";"Buy";"2004.10.08 06:00:00";"1.78351";"0.23";"2004.10.08 14:30:00";"1.79010";"150.42";"11250.55";"IS";"PT";"-36.57";"151.57";"8h 30m";""
"39";"GBPUSD_DukasM1_the5ers";"Buy";"2004.11.02 14:00:00";"1.83472";"0.22";"2004.11.03 00:19:00";"1.84166";"151.06";"11401.61";"IS";"PT";"-0.66";"152.68";"10h 19m";""
"40";"GBPUSD_DukasM1_the5ers";"Buy";"2004.11.05 18:00:00";"1.84781";"0.14";"2004.11.08 11:45:00";"1.85845";"147.93";"11549.54";"IS";"PT";"-5.04";"148.96";"2d 17h 45m";""
"41";"GBPUSD_DukasM1_the5ers";"Buy";"2004.11.08 12:00:00";"1.86008";"0.17";"2004.11.08 15:13:00";"1.85420";"-100.81";"11448.73";"IS";"SL";"-99.96";"10.71";"3h 13m";""
"42";"GBPUSD_DukasM1_the5ers";"Buy";"2004.11.29 18:00:00";"1.89356";"0.15";"2004.11.30 03:36:00";"1.88700";"-99.50";"11349.23";"IS";"SL";"-98.40";"41.10";"9h 36m";""
"43";"GBPUSD_DukasM1_the5ers";"Buy";"2004.11.30 12:00:00";"1.89478";"0.16";"2004.11.30 13:45:00";"1.90403";"147.20";"11496.43";"IS";"PT";"-17.60";"148.00";"1h 45m";""
"44";"GBPUSD_DukasM1_the5ers";"Buy";"2004.12.24 11:00:00";"1.92389";"0.15";"2004.12.24 20:00:00";"1.91734";"-99.00";"11397.43";"IS";"SL";"-98.25";"73.20";"9h 0m";""
"45";"GBPUSD_DukasM1_the5ers";"Buy";"2005.01.03 11:00:00";"1.91240";"0.12";"2005.01.03 16:06:00";"1.90424";"-98.52";"11298.91";"IS";"SL";"-97.92";"35.88";"5h 6m";""
"46";"GBPUSD_DukasM1_the5ers";"Buy";"2005.01.12 16:00:00";"1.88547";"0.15";"2005.01.14 03:44:00";"1.87894";"-100.12";"11198.79";"IS";"SL";"-97.95";"119.55";"1d 11h 44m";""
"47";"GBPUSD_DukasM1_the5ers";"Buy";"2005.01.18 12:00:00";"1.86383";"0.14";"2005.01.19 10:39:00";"1.87436";"146.39";"11345.18";"IS";"PT";"-19.32";"147.42";"22h 39m";""
"48";"GBPUSD_DukasM1_the5ers";"Buy";"2005.02.04 13:00:00";"1.88478";"0.24";"2005.02.04 15:37:00";"1.89124";"153.84";"11499.02";"IS";"PT";"-90.24";"155.04";"2h 37m";""
"49";"GBPUSD_DukasM1_the5ers";"Buy";"2005.02.09 08:00:00";"1.85835";"0.18";"2005.02.10 15:34:00";"1.85292";"-99.91";"11399.11";"IS";"SL";"-97.74";"102.06";"1d 7h 34m";""
"50";"GBPUSD_DukasM1_the5ers";"Buy";"2005.02.24 20:00:00";"1.91269";"0.13";"2005.02.28 10:44:00";"1.92409";"146.94";"11546.04";"IS";"PT";"-83.20";"148.20";"3d 14h 44m";""
"51";"GBPUSD_DukasM1_the5ers";"Buy";"2005.03.08 11:00:00";"1.92130";"0.21";"2005.03.08 16:54:00";"1.92865";"153.30";"11699.34";"IS";"PT";"-58.38";"154.35";"5h 54m";""
"52";"GBPUSD_DukasM1_the5ers";"Buy";"2005.03.15 13:00:00";"1.91906";"0.17";"2005.03.15 18:05:00";"1.91330";"-98.77";"11600.58";"IS";"SL";"-97.92";"103.36";"5h 5m";""
"53";"GBPUSD_DukasM1_the5ers";"Buy";"2005.03.31 11:00:00";"1.88009";"0.2";"2005.03.31 16:08:00";"1.88792";"155.60";"11756.17";"IS";"PT";"-12.60";"156.60";"5h 8m";""
"54";"GBPUSD_DukasM1_the5ers";"Buy";"2005.04.15 11:00:00";"1.88145";"0.18";"2005.04.15 16:35:00";"1.88973";"148.14";"11904.31";"IS";"PT";"-16.74";"149.04";"5h 35m";""
"55";"GBPUSD_DukasM1_the5ers";"Buy";"2005.05.05 09:00:00";"1.90418";"0.22";"2005.05.06 02:50:00";"1.89970";"-100.18";"11804.14";"IS";"SL";"-98.56";"71.50";"17h 50m";""
"56";"GBPUSD_DukasM1_the5ers";"Buy";"2005.05.18 16:00:00";"1.83718";"0.19";"2005.05.20 15:50:00";"1.83193";"-102.49";"11701.64";"IS";"SL";"-99.75";"112.29";"1d 23h 50m";""
"57";"GBPUSD_DukasM1_the5ers";"Buy";"2005.05.25 17:00:00";"1.83240";"0.22";"2005.05.26 07:57:00";"1.82787";"-102.32";"11599.32";"IS";"SL";"-99.66";"18.92";"14h 57m";""
"58";"GBPUSD_DukasM1_the5ers";"Buy";"2005.05.30 06:00:00";"1.82428";"0.2";"2005.05.31 04:07:00";"1.81949";"-97.27";"11502.05";"IS";"SL";"-95.80";"20.60";"22h 7m";""
"59";"GBPUSD_DukasM1_the5ers";"Buy";"2005.07.25 12:00:00";"1.73793";"0.15";"2005.07.28 14:05:00";"1.74823";"151.98";"11654.03";"IS";"PT";"-66.75";"154.50";"3d 2h 5m";""
"60";"GBPUSD_DukasM1_the5ers";"Buy";"2005.08.03 11:00:00";"1.76973";"0.22";"2005.08.03 12:07:00";"1.77683";"155.10";"11809.13";"IS";"PT";"-6.82";"156.20";"1h 7m";""
"61";"GBPUSD_DukasM1_the5ers";"Buy";"2005.08.08 11:00:00";"1.77898";"0.19";"2005.08.08 12:08:00";"1.78692";"149.91";"11959.04";"IS";"PT";"-26.98";"150.86";"1h 8m";""
"62";"GBPUSD_DukasM1_the5ers";"Buy";"2005.08.16 11:00:00";"1.81297";"0.21";"2005.08.16 13:42:00";"1.80834";"-98.28";"11860.76";"IS";"SL";"-97.23";"24.99";"2h 42m";""
"63";"GBPUSD_DukasM1_the5ers";"Buy";"2005.08.19 13:00:00";"1.79588";"0.18";"2005.08.22 15:04:00";"1.80431";"150.42";"12011.18";"IS";"PT";"-81.00";"151.74";"3d 2h 4m";""
"64";"GBPUSD_DukasM1_the5ers";"Buy";"2005.08.31 16:00:00";"1.78948";"0.19";"2005.08.31 17:31:00";"1.79743";"150.10";"12161.28";"IS";"PT";"-86.07";"151.05";"1h 31m";""
"65";"GBPUSD_DukasM1_the5ers";"Buy";"2005.09.09 16:00:00";"1.83962";"0.16";"2005.09.12 06:01:00";"1.83372";"-95.58";"12065.70";"IS";"SL";"-94.40";"44.32";"2d 14h 1m";""
"66";"GBPUSD_DukasM1_the5ers";"Buy";"2005.09.14 16:00:00";"1.82839";"0.18";"2005.09.14 21:31:00";"1.82306";"-96.84";"11968.86";"IS";"SL";"-95.94";"28.62";"5h 31m";""
"67";"GBPUSD_DukasM1_the5ers";"Buy";"2005.09.30 14:00:00";"1.76599";"0.19";"2005.10.03 00:37:00";"1.76091";"-97.92";"11870.94";"IS";"SL";"-96.52";"128.63";"2d 10h 37m";""
"68";"GBPUSD_DukasM1_the5ers";"Buy";"2005.10.06 21:00:00";"1.77787";"0.15";"2005.10.07 09:49:00";"1.77151";"-96.50";"11774.44";"IS";"SL";"-95.40";"46.50";"12h 49m";""
"69";"GBPUSD_DukasM1_the5ers";"Buy";"2005.10.12 12:00:00";"1.74644";"0.19";"2005.10.12 15:41:00";"1.75446";"151.43";"11925.87";"IS";"PT";"-40.28";"152.38";"3h 41m";""
"70";"GBPUSD_DukasM1_the5ers";"Buy";"2005.10.19 11:00:00";"1.74998";"0.18";"2005.10.19 12:49:00";"1.75829";"148.68";"12074.55";"IS";"PT";"-5.94";"149.58";"1h 49m";""
"71";"GBPUSD_DukasM1_the5ers";"Buy";"2005.10.25 00:00:00";"1.76906";"0.18";"2005.10.25 02:12:00";"1.76370";"-97.38";"11977.17";"IS";"SL";"-96.48";"0.72";"2h 12m";""
"72";"GBPUSD_DukasM1_the5ers";"Buy";"2005.11.24 11:00:00";"1.72364";"0.22";"2005.11.25 09:34:00";"1.71918";"-99.74";"11877.43";"IS";"SL";"-98.12";"102.96";"22h 34m";""
"73";"GBPUSD_DukasM1_the5ers";"Buy";"2005.12.27 11:00:00";"1.73385";"0.25";"2005.12.27 19:41:00";"1.72995";"-98.75";"11778.68";"IS";"SL";"-97.50";"105.50";"8h 41m";""
"74";"GBPUSD_DukasM1_the5ers";"Buy";"2006.01.03 04:00:00";"1.72426";"0.31";"2006.01.03 07:17:00";"1.72924";"152.83";"11931.51";"IS";"PT";"-6.20";"154.38";"3h 17m";""
"75";"GBPUSD_DukasM1_the5ers";"Buy";"2006.01.18 11:00:00";"1.76806";"0.19";"2006.01.18 17:49:00";"1.76300";"-97.09";"11834.42";"IS";"SL";"-96.14";"37.62";"6h 49m";""
"76";"GBPUSD_DukasM1_the5ers";"Buy";"2006.01.20 13:00:00";"1.75919";"0.2";"2006.01.20 16:25:00";"1.76680";"151.20";"11985.62";"IS";"PT";"-20.80";"152.20";"3h 25m";""
"77";"GBPUSD_DukasM1_the5ers";"Buy";"2006.01.26 17:00:00";"1.78758";"0.19";"2006.01.26 20:01:00";"1.78236";"-100.13";"11885.49";"IS";"SL";"-99.18";"13.30";"3h 1m";""
"78";"GBPUSD_DukasM1_the5ers";"Buy";"2006.01.27 16:00:00";"1.78598";"0.16";"2006.01.27 17:20:00";"1.78004";"-95.84";"11789.65";"IS";"SL";"-95.04";"13.60";"1h 20m";""
"79";"GBPUSD_DukasM1_the5ers";"Buy";"2006.02.17 13:00:00";"1.73700";"0.23";"2006.02.20 03:04:00";"1.74364";"151.03";"11940.68";"IS";"PT";"-95.68";"152.72";"2d 14h 4m";""
"80";"GBPUSD_DukasM1_the5ers";"Buy";"2006.02.28 12:00:00";"1.74267";"0.26";"2006.02.28 15:24:00";"1.74851";"150.54";"12091.22";"IS";"PT";"-6.50";"151.84";"3h 24m";""
"81";"GBPUSD_DukasM1_the5ers";"Buy";"2006.03.02 20:00:00";"1.75122";"0.2";"2006.03.06 02:01:00";"1.75900";"153.66";"12244.87";"IS";"PT";"-22.60";"155.60";"3d 6h 1m";""
