"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"NAS100_DukasM1_Infinox";"Buy";"2012.04.13 16:30:00";"2732.45";"1.49";"2012.04.16 17:16:00";"2664.72";"-103.80";"9896.20";"IS";"SL";"-100.92";"0.00";"3d 0h 46m";""
"2";"NAS100_DukasM1_Infinox";"Buy";"2012.04.17 19:00:00";"2714.17";"1.23";"2012.04.19 20:20:00";"2698.14";"-21.29";"9874.91";"IS";"TrailingStop";"-19.72";"30.01";"2d 1h 20m";""
"3";"NAS100_DukasM1_Infinox";"Buy";"2012.04.25 17:00:00";"2711.17";"1.12";"2012.05.01 16:30:00";"2718.23";"3.61";"9878.51";"IS";"TrailingStop";"-16.86";"44.05";"5d 23h 30m";""
"4";"NAS100_DukasM1_Infinox";"Buy";"2012.05.10 01:08:00";"2623.15";"1.13";"2012.05.14 16:30:00";"2592.53";"-37.40";"9841.11";"IS";"TrailingStop";"-34.60";"22.05";"4d 15h 22m";""
"5";"NAS100_DukasM1_Infinox";"Buy";"2012.05.21 22:00:00";"2539.19";"0.99";"2012.05.23 16:31:00";"2519.36";"-20.82";"9820.29";"IS";"TrailingStop";"-19.63";"23.06";"1d 18h 31m";""
"6";"NAS100_DukasM1_Infinox";"Buy";"2012.05.25 16:30:00";"2534.12";"1.06";"2012.05.30 16:38:00";"2526.49";"-11.26";"9809.03";"IS";"TrailingStop";"-14.79";"38.77";"5d 0h 8m";""
"7";"NAS100_DukasM1_Infinox";"Buy";"2012.05.30 17:00:00";"2531.43";"1.13";"2012.06.01 16:30:00";"2479.66";"-59.85";"9749.18";"IS";"TrailingStop";"-58.50";"16.48";"1d 23h 30m";""
"8";"NAS100_DukasM1_Infinox";"Buy";"2012.06.05 20:00:00";"2478.82";"1.11";"2012.06.07 22:47:00";"2535.66";"61.79";"9810.97";"IS";"TrailingStop";"-7.17";"101.38";"2d 2h 47m";""
"9";"NAS100_DukasM1_Infinox";"Buy";"2012.06.08 18:00:00";"2549.56";"1.2";"2012.06.11 17:56:00";"2547.30";"-4.88";"9806.10";"IS";"TrailingStop";"-11.32";"35.38";"2d 23h 56m";""
"10";"NAS100_DukasM1_Infinox";"Buy";"2012.06.14 21:00:00";"2538.82";"1.32";"2012.06.21 17:05:00";"2601.53";"77.24";"9883.33";"IS";"TrailingStop";"-22.48";"124.59";"6d 20h 5m";""
"11";"NAS100_DukasM1_Infinox";"Buy";"2012.06.28 16:30:00";"2547.79";"1.61";"2012.07.06 19:49:00";"2602.69";"80.64";"9963.97";"IS";"TrailingStop";"-60.25";"181.08";"8d 3h 19m";""
"12";"NAS100_DukasM1_Infinox";"Buy";"2012.07.13 18:00:00";"2572.93";"1.17";"2012.07.17 17:38:00";"2561.09";"-16.70";"9947.28";"IS";"TrailingStop";"-13.85";"28.95";"3d 23h 38m";""
"13";"NAS100_DukasM1_Infinox";"Buy";"2012.07.17 21:00:00";"2591.87";"1.17";"2012.07.20 19:30:00";"2624.23";"35.71";"9982.99";"IS";"TrailingStop";"-9.54";"83.36";"2d 22h 30m";""
"14";"NAS100_DukasM1_Infinox";"Buy";"2012.07.26 17:00:00";"2589.08";"1.09";"2012.08.01 21:13:00";"2630.96";"41.65";"10024.64";"IS";"TrailingStop";"-22.62";"80.16";"6d 4h 13m";""
"15";"NAS100_DukasM1_Infinox";"Buy";"2012.09.28 10:30:00";"2823.40";"1.57";"2012.10.05 21:54:00";"2813.18";"-23.37";"10001.27";"IS";"TrailingStop";"-69.52";"35.43";"7d 11h 24m";""
"16";"NAS100_DukasM1_Infinox";"Buy";"2012.10.11 18:00:00";"2747.89";"1.5";"2012.10.18 19:34:00";"2755.01";"3.87";"10005.14";"IS";"TrailingStop";"-52.00";"55.38";"7d 1h 34m";""
"17";"NAS100_DukasM1_Infinox";"Buy";"2012.10.26 22:00:00";"2668.50";"1.13";"2012.11.02 20:36:00";"2671.25";"-1.88";"10003.26";"IS";"TrailingStop";"-32.34";"37.75";"6d 22h 36m";""
"18";"NAS100_DukasM1_Infinox";"Buy";"2012.11.06 19:00:00";"2690.35";"1.45";"2012.11.07 17:54:00";"2620.99";"-101.49";"9901.77";"IS";"SL";"-100.57";"8.86";"22h 54m";""
"19";"NAS100_DukasM1_Infinox";"Buy";"2012.11.16 23:00:00";"2535.96";"1.06";"2012.11.28 16:30:00";"2626.98";"88.86";"9990.63";"IS";"TrailingStop";"-1.91";"130.79";"11d 17h 30m";""
"20";"NAS100_DukasM1_Infinox";"Buy";"2012.12.19 04:09:00";"2707.19";"1.41";"2012.12.20 16:44:00";"2680.59";"-38.41";"9952.23";"IS";"TrailingStop";"-37.51";"8.74";"1d 12h 35m";""
"21";"NAS100_DukasM1_Infinox";"Buy";"2012.12.31 18:00:00";"2624.97";"1.3";"2013.01.07 16:30:00";"2712.64";"108.33";"10060.56";"IS";"TrailingStop";"-6.23";"163.60";"6d 22h 30m";""
"22";"NAS100_DukasM1_Infinox";"Buy";"2013.05.22 19:00:00";"3043.62";"0.63";"2013.06.20 22:23:00";"2884.46";"-113.40";"9947.16";"IS";"SL";"-100.27";"0.00";"29d 3h 23m";""
"23";"NAS100_DukasM1_Infinox";"Buy";"2013.06.25 02:00:00";"2858.91";"1.22";"2013.06.28 15:49:00";"2899.72";"47.32";"9994.48";"IS";"TrailingStop";"-27.71";"78.98";"3d 13h 49m";""
"24";"NAS100_DukasM1_Infinox";"Buy";"2013.06.28 18:00:00";"2912.88";"1.95";"2013.07.02 21:10:00";"2919.75";"8.03";"10002.51";"IS";"TrailingStop";"-28.85";"73.23";"4d 3h 10m";""
"25";"NAS100_DukasM1_Infinox";"Buy";"2013.07.03 18:00:00";"2934.90";"1.68";"2013.07.05 16:01:00";"2957.74";"36.04";"10038.55";"IS";"TrailingStop";"-5.41";"67.26";"1d 22h 1m";""
"26";"NAS100_DukasM1_Infinox";"Buy";"2013.08.20 04:00:00";"3078.24";"2.21";"2013.08.21 11:53:00";"3072.28";"-14.78";"10023.77";"IS";"TrailingStop";"-32.57";"41.12";"1d 7h 53m";""
