"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.04.16 03:11:00";"9525.38";"1.81";"2012.04.19 03:00:00";"9577.68";"54.01";"10054.01";"IS";"TrailingStop";"-82.30";"185.11";"2d 23h 49m";""
"2";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.04.23 03:09:00";"9638.19";"2.23";"2012.04.23 04:32:00";"9568.41";"-101.05";"9952.96";"IS";"SL";"-101.04";"7.36";"1h 23m";""
"3";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.04.27 06:31:00";"9561.98";"2.2";"2012.04.27 07:16:00";"9615.5";"76.46";"10029.42";"IS";"TrailingStop";"0.00";"180.10";"45m 0s";""
"4";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.14 03:28:00";"9010.23";"2.14";"2012.05.14 05:16:00";"8966.14";"-61.27";"9968.15";"IS";"TrailingStop";"-61.27";"28.99";"1h 48m";""
"5";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.17 06:31:00";"8801.68";"1.87";"2012.05.18 03:00:00";"8726.58";"-93.57";"9874.58";"IS";"TrailingStop";"-91.19";"101.27";"20h 29m";""
"6";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.24 08:19:00";"8557.05";"2.05";"2012.05.25 04:41:00";"8564.7";"7.65";"9882.23";"IS";"TrailingStop";"-12.27";"79.60";"20h 22m";""
"7";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.25 05:01:00";"8563.82";"1.94";"2012.05.29 03:01:00";"8556.17";"-19.23";"9863.01";"IS";"TrailingStop";"-11.73";"76.45";"3d 22h 0m";""
"8";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.29 04:37:00";"8580.74";"2.26";"2012.05.30 03:34:00";"8599.5";"24.73";"9887.74";"IS";"TrailingStop";"-42.03";"111.49";"22h 57m";""
"9";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.05.30 05:16:00";"8580.69";"2.03";"2012.05.31 03:04:00";"8583.32";"0.95";"9888.69";"IS";"TrailingStop";"-11.59";"69.20";"21h 48m";""
"10";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.06 03:03:00";"8440.58";"2.18";"2012.06.08 03:02:00";"8589.32";"205.24";"10093.93";"IS";"TrailingStop";"-39.68";"293.32";"1d 23h 59m";""
"11";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.11 03:45:00";"8640.03";"1.93";"2012.06.12 03:00:00";"8477.78";"-205.75";"9888.19";"IS";"TrailingStop";"-203.34";"32.30";"23h 15m";""
"12";"NIKKEI225_DukasM1_Infinox";"Buy";"2012.06.14 06:35:00";"8588.15";"1.93";"2012.06.15 04:26:00";"8560.73";"-36.76";"9851.43";"IS";"TrailingStop";"-42.01";"44.29";"21h 51m";""
