"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USDJPY_DukasM1_the5ers";"Buy";"2003.08.06 17:00:00";"120.350";"0.3";"2003.08.07 12:45:00";"119.845";"-101.16";"9898.84";"IS";"SL";"-99.07";"1.96";"19h 45m";""
"2";"USDJPY_DukasM1_the5ers";"Buy";"2003.08.19 11:00:00";"119.490";"0.33";"2003.08.19 17:34:00";"119.251";"-53.22";"9845.62";"IS";"TrailingStop";"-51.57";"64.74";"6h 34m";""
"3";"USDJPY_DukasM1_the5ers";"Buy";"2003.09.04 07:00:00";"116.820";"0.25";"2003.09.05 15:36:00";"116.432";"-64.84";"9780.77";"IS";"TrailingStop";"-63.43";"42.50";"1d 8h 36m";""
"4";"USDJPY_DukasM1_the5ers";"Buy";"2003.09.05 21:00:00";"116.832";"0.34";"2003.09.08 00:38:00";"117.563";"160.60";"9941.38";"IS";"PT";"-19.12";"162.53";"2d 3h 38m";""
"5";"USDJPY_DukasM1_the5ers";"Buy";"2003.09.12 18:00:00";"117.380";"0.33";"2003.09.16 03:35:00";"117.176";"-46.10";"9895.27";"IS";"TrailingStop";"-45.32";"66.90";"3d 9h 35m";""
"6";"USDJPY_DukasM1_the5ers";"Buy";"2003.09.25 21:00:00";"112.030";"0.22";"2003.09.26 18:41:00";"111.605";"-62.39";"9832.89";"IS";"TrailingStop";"-61.14";"36.40";"21h 41m";""
"7";"USDJPY_DukasM1_the5ers";"Buy";"2003.10.07 01:00:00";"111.040";"0.3";"2003.10.07 10:02:00";"110.596";"-88.60";"9744.29";"IS";"TrailingStop";"-87.10";"21.58";"9h 2m";""
"8";"USDJPY_DukasM1_the5ers";"Buy";"2003.10.15 15:00:00";"109.760";"0.24";"2003.10.16 14:34:00";"109.541";"-36.04";"9708.25";"IS";"TrailingStop";"-64.35";"84.75";"23h 34m";""
"9";"USDJPY_DukasM1_the5ers";"Buy";"2003.10.16 23:00:00";"109.930";"0.23";"2003.10.17 16:41:00";"109.288";"-97.86";"9610.39";"IS";"SL";"-96.56";"10.53";"17h 41m";""
"10";"USDJPY_DukasM1_the5ers";"Buy";"2003.10.20 08:00:00";"109.710";"0.25";"2003.10.21 02:33:00";"109.795";"12.48";"9622.87";"IS";"TrailingStop";"-65.39";"142.23";"18h 33m";""
"11";"USDJPY_DukasM1_the5ers";"Buy";"2003.10.30 17:00:00";"108.310";"0.32";"2003.10.31 06:42:00";"109.072";"157.64";"9780.51";"IS";"PT";"-39.76";"159.45";"13h 42m";""
"12";"USDJPY_DukasM1_the5ers";"Buy";"2003.11.21 04:00:00";"109.310";"0.29";"2003.11.21 09:23:00";"108.786";"-100.82";"9679.69";"IS";"SL";"-99.37";"1.90";"5h 23m";""
"13";"USDJPY_DukasM1_the5ers";"Buy";"2003.11.24 13:00:00";"109.130";"0.34";"2003.11.25 12:01:00";"109.850";"158.16";"9837.85";"IS";"PT";"-46.69";"160.08";"23h 1m";""
"14";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.02 11:00:00";"109.710";"0.28";"2003.12.02 13:55:00";"109.216";"-91.85";"9746.00";"IS";"TrailingStop";"-90.45";"18.31";"2h 55m";""
"15";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.26 22:01:00";"107.480";"0.45";"2003.12.29 00:47:00";"107.181";"-90.53";"9655.47";"IS";"TrailingStop";"-87.98";"8.83";"2d 2h 46m";""
"16";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.30 21:00:00";"107.030";"0.43";"2003.12.31 19:25:00";"107.603";"158.69";"9814.16";"IS";"PT";"-84.36";"161.12";"22h 25m";""
"17";"USDJPY_DukasM1_the5ers";"Buy";"2004.01.15 23:00:00";"106.460";"0.34";"2004.01.16 04:57:00";"106.014";"-101.08";"9713.08";"IS";"SL";"-99.16";"8.89";"5h 57m";""
