"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.14 17:01:00";"351.58";"0.38";"2003.05.14 21:51:00";"353.86";"86.43";"10086.43";"IS";"PT";"-78.96";"86.64";"4h 50m";""
"2";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.16 20:18:00";"355.22";"0.38";"2003.05.19 03:09:00";"355.55";"9.70";"10096.13";"IS";"Exit Signal";"-52.44";"16.15";"2d 6h 51m";""
"3";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.21 18:20:00";"369.30";"0.26";"2003.05.22 05:05:00";"370.19";"17.39";"10113.51";"IS";"Exit Signal";"-73.03";"70.07";"10h 45m";""
"4";"XAUUSD_DukasM1_Infinox";"Buy";"2003.05.27 12:00:00";"372.00";"0.29";"2003.05.27 13:00:00";"371.58";"-12.35";"10101.16";"IS";"Exit Signal";"-37.03";"2.75";"1h 0m";""
"5";"XAUUSD_DukasM1_Infinox";"Buy";"2003.06.05 22:26:00";"366.94";"0.35";"2003.06.06 02:07:00";"367.73";"24.95";"10126.11";"IS";"Exit Signal";"-21.35";"43.47";"3h 41m";""
"6";"XAUUSD_DukasM1_Infinox";"Buy";"2003.06.13 22:45:00";"355.77";"0.36";"2003.06.16 06:08:00";"357.01";"41.94";"10168.05";"IS";"Exit Signal";"-12.38";"55.55";"2d 7h 23m";""
"7";"XAUUSD_DukasM1_Infinox";"Buy";"2003.07.01 11:06:00";"348.78";"0.39";"2003.07.01 12:00:00";"348.17";"-24.01";"10144.04";"IS";"Exit Signal";"-46.06";"0.00";"54m 0s";""
"8";"XAUUSD_DukasM1_Infinox";"Buy";"2003.07.14 15:00:00";"345.38";"0.47";"2003.07.14 16:00:00";"345.29";"-4.49";"10139.55";"IS";"Exit Signal";"-43.29";"4.61";"1h 0m";""
"9";"XAUUSD_DukasM1_Infinox";"Buy";"2003.07.21 10:18:00";"347.73";"0.41";"2003.07.21 11:28:00";"347.00";"-30.16";"10109.39";"IS";"Exit Signal";"-45.63";"0.00";"1h 10m";""
"10";"XAUUSD_DukasM1_Infinox";"Buy";"2003.07.23 12:01:00";"352.32";"0.39";"2003.07.23 13:00:00";"351.47";"-33.37";"10076.03";"IS";"Exit Signal";"-33.15";"2.85";"59m 0s";""
